seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	3	1	0	30	98	100	30
4	3	1	0	30	200	244	30
128	3	1	0	30	4416	4520	34
512	3	1	0	30	17664	5536	82
2048	3	1	0	30	70656	6016	286
