seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	3	1	1	30	98	119	30
4	3	1	1	30	200	500	30
128	3	1	1	30	4416	16292	34
512	3	1	1	30	17664	59172	82
2048	3	1	1	30	70656	230532	286
