config	cell	arm	passes	processes
b	gqa2_s4	legacy_grid_stride	50	50
b	gqa2_s4	balanced	50	50
b	gqa2_s4	rotate	50	50
b	gqa2_s4	eft	50	50
b	gqa2_s4	wavefront	50	50
b	gqa2_s4	chain	50	50
b	gqa2_s128	legacy_grid_stride	50	50
b	gqa2_s128	balanced	50	50
b	gqa2_s128	rotate	50	50
b	gqa2_s128	eft	50	50
b	gqa2_s128	wavefront	50	50
b	gqa2_s128	chain	50	50
b	mha4_s4	legacy_grid_stride	50	50
b	mha4_s4	balanced	50	50
b	mha4_s4	rotate	50	50
b	mha4_s4	eft	50	50
b	mha4_s4	wavefront	50	50
b	mha4_s4	chain	50	50
b	mha4_s128	legacy_grid_stride	50	50
b	mha4_s128	balanced	50	50
b	mha4_s128	rotate	50	50
b	mha4_s128	eft	50	50
b	mha4_s128	wavefront	50	50
b	mha4_s128	chain	50	50
b	real_s4	legacy_grid_stride	50	50
b	real_s4	rotate	50	50
b	real_s4	eft	50	50
b	real_s4	wavefront	50	50
b	real_s4	chain	50	50
b	real_s128	legacy_grid_stride	50	50
b	real_s128	rotate	50	50
b	real_s128	eft	50	50
b	real_s128	wavefront	50	50
b	real_s128	chain	50	50
d	gqa2_s4	legacy_grid_stride	50	50
d	gqa2_s4	balanced	50	50
d	gqa2_s4	rotate	50	50
d	gqa2_s4	eft	50	50
d	gqa2_s4	wavefront	50	50
d	gqa2_s4	chain	50	50
d	gqa2_s128	legacy_grid_stride	50	50
d	gqa2_s128	balanced	50	50
d	gqa2_s128	rotate	50	50
d	gqa2_s128	eft	50	50
d	gqa2_s128	wavefront	50	50
d	gqa2_s128	chain	50	50
d	mha4_s4	legacy_grid_stride	50	50
d	mha4_s4	balanced	50	50
d	mha4_s4	rotate	50	50
d	mha4_s4	eft	50	50
d	mha4_s4	wavefront	50	50
d	mha4_s4	chain	50	50
d	mha4_s128	legacy_grid_stride	50	50
d	mha4_s128	balanced	50	50
d	mha4_s128	rotate	50	50
d	mha4_s128	eft	50	50
d	mha4_s128	wavefront	50	50
d	mha4_s128	chain	50	50
d	real_s4	legacy_grid_stride	50	50
d	real_s4	rotate	50	50
d	real_s4	eft	50	50
d	real_s4	wavefront	50	50
d	real_s4	chain	50	50
d	real_s128	legacy_grid_stride	50	50
d	real_s128	rotate	50	50
d	real_s128	eft	50	50
d	real_s128	wavefront	50	50
d	real_s128	chain	50	50
