slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles
0	0	0	1	1	0	0	0	1	0	1024	0	4096	5120	5120	0	10240	2149	0	11794	12554	12367	187	26497
1	2	0	0	0	128	128	16	1	8192	0	1024	137216	1024	1024	0	139264	2250	2817	368330	4780	4355	425	378177
2	1	0	0	0	128	128	16	1	8192	1024	1024	136192	1024	1024	0	139264	2217	1203	367607	3642	3216	426	374669
3	3	0	0	0	128	128	16	1	8192	1024	0	136192	2048	2048	0	139264	2620	1995	367540	4071	3646	425	376226
4	5	0	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1703	0	1302	217	30	187	3222
5	4	0	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1292	0	1503	217	30	187	3012
6	7	0	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1734	0	684	218	30	188	2636
7	6	0	3	0	0	0	0	1	0	0	0	0	1024	0	1024	1024	1832	0	687	218	30	188	2737
8	8	0	5	1	0	0	0	1	0	1024	0	3072	0	0	0	4096	2290	0	8880	217	30	187	11387
9	9	0	0	0	128	128	16	1	8192	1024	1024	135168	5120	5120	0	142336	2258	1444	367216	11758	11334	424	382676
10	10	0	1	1	0	0	0	1	0	0	0	5120	8192	7168	1024	13312	2066	0	11851	21683	21495	188	35600
11	11	0	0	0	128	128	16	1	8192	1024	2048	146432	1024	1024	0	150528	2329	6229	393729	3610	3187	423	405897
12	12	0	0	0	128	128	16	1	8192	1024	0	139264	1024	1024	0	141312	2298	2073	373568	3591	3167	424	381530
13	13	0	4	1	0	0	0	1	0	1024	0	45056	0	0	0	46080	1496	0	121008	217	30	187	122721
14	14	0	0	0	128	128	16	1	8192	1024	1024	467968	5120	4096	1024	475136	2342	2751	1262684	13138	12380	758	1280915
15	15	0	1	1	0	0	0	1	0	1024	0	4096	8192	8192	0	13312	1811	0	11509	21514	21326	188	34834
16	17	0	0	0	128	128	16	1	8192	1024	1024	137216	1024	1024	0	140288	2683	2451	369345	4166	3742	424	378645
17	16	0	0	0	128	128	16	1	8192	0	1024	136192	1024	1024	0	138240	1809	1553	367653	3983	3556	427	374998
18	18	0	0	0	128	128	16	1	8192	1024	0	136192	2048	1024	1024	139264	2335	1255	367278	3822	3399	423	374690
19	20	0	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1217	0	1549	217	30	187	2983
20	19	0	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1831	0	1322	217	30	187	3370
21	22	0	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1310	0	909	217	30	187	2436
22	21	0	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1731	0	699	218	30	188	2648
23	23	0	5	1	0	0	0	1	0	1024	0	4096	0	0	0	5120	2165	0	10743	217	30	187	13125
24	24	0	0	0	128	128	16	1	8192	1024	0	137216	4096	4096	0	142336	2259	2050	368542	11534	11110	424	384385
25	25	0	1	1	0	0	0	1	0	1024	0	4096	8192	7168	1024	13312	1926	0	11873	20885	20698	187	34684
26	26	0	0	0	128	128	16	1	8192	1024	2048	142336	1024	1024	0	146432	2334	6597	381050	4725	4301	424	394706
27	27	0	0	0	128	128	16	1	8192	1024	1024	139264	1024	1024	0	142336	4789	1210	375782	3627	3189	438	385408
28	28	0	4	1	0	0	0	1	0	1024	0	45056	0	0	0	46080	1798	0	123021	217	30	187	125036
29	29	0	0	0	128	128	16	1	8192	1024	1024	467968	5120	5120	0	475136	2932	2777	1264088	12676	11944	732	1282473
30	30	0	1	1	0	0	0	1	0	1024	0	4096	8192	8192	0	13312	1821	0	11819	21611	21423	188	35251
31	32	0	0	0	128	128	16	1	8192	1024	1024	137216	1024	1024	0	140288	2268	2807	368660	4822	4398	424	378557
32	31	0	0	0	128	128	16	1	8192	0	1024	136192	1024	1024	0	138240	2145	1259	367542	4003	3579	424	374949
