slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
26	1	0	0	0	1	0	1789794413215218688	1094516850012	1789794413215219712	1094516851356	1789794413215219712	1094516851356	1789794413215220736	1094516854930	1789794413215221760	1094516857222	1789794413215221760	1094516857361	0	0	0	0	89	8
27	0	32	16	32	1	3072	1789794413215224832	1094516865609	1789794413215225856	1094516866898	1789794413215225856	1094516867806	1789794413215235072	1094516890060	1789794413215235072	1094516891819	1789794413215235072	1094516892115	1094516868769	1094516889933	6705	16	0	0
28	4	0	0	0	1	0	1789794413215244288	1094516914792	1789794413215244288	1094516915533	1789794413215244288	1094516915533	1789794413215247360	1094516922417	1789794413215247360	1094516922448	1789794413215247360	1094516922580	0	0	0	0	0	0
29	0	32	16	32	1	3072	1789794413215250432	1094516928725	1789794413215250432	1094516930918	1789794413215251456	1094516931841	1789794413215265792	1094516969016	1789794413215266816	1094516970904	1789794413215266816	1094516971222	1094516931945	1094516968857	15244	32	0	0
30	1	0	0	0	1	0	1789794413215270912	1094516980267	1789794413215270912	1094516981553	1789794413215270912	1094516981553	1789794413215271936	1094516984908	1789794413215272960	1094516986956	1789794413215272960	1094516987096	0	0	0	0	93	8
31	0	32	16	32	1	3072	1789794413215275008	1094516992941	1789794413215276032	1094516995183	1789794413215277056	1094516996167	1789794413215283200	1094517013606	1789794413215284224	1094517015454	1789794413215284224	1094517015661	1094516996297	1094517013498	5942	16	0	0
32	2	0	0	0	1	0	1789794413215289344	1094517028331	1789794413215290368	1094517029681	1789794413215290368	1094517029681	1789794413215290368	1094517031674	1789794413215291392	1094517031739	1789794413215291392	1094517032272	0	0	0	0	0	0
33	3	0	0	0	1	0	1789794413215292416	1094517036362	1789794413215293440	1094517037855	1789794413215293440	1094517037855	1789794413215293440	1094517039189	1789794413215293440	1094517039219	1789794413215293440	1094517039349	0	0	0	0	0	0
34	5	0	0	0	1	0	1789794413215298560	1094517050108	1789794413215298560	1094517052125	1789794413215298560	1094517052125	1789794413215324160	1094517115608	1789794413215324160	1094517115639	1789794413215324160	1094517115768	0	0	0	0	52	2
35	0	32	16	32	1	3072	1789794413215330304	1094517131043	1789794413215331328	1094517134283	1789794413215332352	1094517135297	1789794413215340544	1094517157532	1789794413215342592	1094517160453	1789794413215342592	1094517160696	1094517135848	1094517157372	11830	16	0	0
36	1	0	0	0	1	0	1789794413215345664	1094517169307	1789794413215345664	1094517169988	1789794413215345664	1094517169988	1789794413215347712	1094517173331	1789794413215347712	1094517175213	1789794413215347712	1094517175349	0	0	0	0	95	8
37	0	32	16	32	1	3072	1789794413215350784	1094517183427	1789794413215351808	1094517185700	1789794413215352832	1094517187189	1789794413215360000	1094517205242	1789794413215361024	1094517208082	1789794413215361024	1094517208220	1094517187290	1094517205021	6401	16	0	0
38	4	0	0	0	1	0	1789794413215368192	1094517226860	1789794413215369216	1094517228212	1789794413215369216	1094517228212	1789794413215371264	1094517234681	1789794413215372288	1094517234714	1789794413215372288	1094517234848	0	0	0	0	0	0
39	0	32	16	32	1	3072	1789794413215374336	1094517240094	1789794413215374336	1094517242308	1789794413215375360	1094517243343	1789794413215389696	1094517279076	1789794413215389696	1094517281107	1789794413215390720	1094517281238	1094517243601	1094517278869	12502	32	0	0
40	1	0	0	0	1	0	1789794413215142912	1094516660495	1789794413215143936	1094516661648	1789794413215143936	1094516661648	1789794413215144960	1094516665239	1789794413215145984	1094516666520	1789794413215145984	1094516666655	0	0	0	0	97	8
41	0	32	16	32	1	3072	1789794413215148032	1094516672176	1789794413215149056	1094516674438	1789794413215149056	1094516675924	1789794413215157248	1094516695243	1789794413215157248	1094516696504	1789794413215157248	1094516696635	1094516676134	1094516695145	8264	16	0	0
42	2	0	0	0	1	0	1789794413215160320	1094516702917	1789794413215160320	1094516704352	1789794413215160320	1094516704352	1789794413215161344	1094516706265	1789794413215161344	1094516706295	1789794413215161344	1094516706760	0	0	0	0	0	0
43	3	0	0	0	1	0	1789794413215163392	1094516709818	1789794413215163392	1094516711109	1789794413215163392	1094516711109	1789794413215163392	1094516712016	1789794413215163392	1094516712049	1789794413215164416	1094516712431	0	0	0	0	0	0
44	5	0	0	0	1	0	1789794413215167488	1094516722454	1789794413215168512	1094516724362	1789794413215168512	1094516724362	1789794413215194112	1094516786952	1789794413215194112	1094516786982	1789794413215194112	1094516787117	0	0	0	0	54	2
45	0	32	16	32	1	3072	1789794413215200256	1094516804214	1789794413215201280	1094516807304	1789794413215202304	1094516809110	1789794413215213568	1094516837837	1789794413215215616	1094516841059	1789794413215215616	1094516841195	1094516809142	1094516837746	16537	16	0	0
46	1	0	0	0	1	0	1789794413215219712	1094516851548	1789794413215219712	1094516852705	1789794413215219712	1094516852705	1789794413215220736	1094516855824	1789794413215221760	1094516857228	1789794413215221760	1094516857364	0	0	0	0	99	8
47	0	32	16	32	1	3072	1789794413215224832	1094516865623	1789794413215225856	1094516867307	1789794413215225856	1094516868090	1789794413215236096	1094516893502	1789794413215237120	1094516896198	1789794413215237120	1094516896327	1094516868784	1094516893398	6516	16	0	0
48	4	0	0	0	1	0	1789794413215244288	1094516914117	1789794413215244288	1094516915659	1789794413215244288	1094516915659	1789794413215247360	1094516922276	1789794413215247360	1094516922309	1789794413215247360	1094516922445	0	0	0	0	0	0
49	0	32	16	32	1	3072	1789794413215250432	1094516928766	1789794413215250432	1094516930994	1789794413215251456	1094516932249	1789794413215266816	1094516970133	1789794413215267840	1094516973165	1789794413215267840	1094516973294	1094516932366	1094516969978	14213	32	0	0
50	1	0	0	0	1	0	1789794413215269888	1094516980187	1789794413215270912	1094516981567	1789794413215270912	1094516981567	1789794413215271936	1094516985362	1789794413215272960	1094516986965	1789794413215272960	1094516987101	0	0	0	0	91	8
51	0	32	16	32	1	3072	1789794413215275008	1094516992942	1789794413215276032	1094516995282	1789794413215277056	1094516996320	1789794413215285248	1094517016483	1789794413215285248	1094517017732	1789794413215285248	1094517017936	1094516996640	1094517016380	6041	16	0	0
52	2	0	0	0	1	0	1789794413215289344	1094517028406	1789794413215290368	1094517029787	1789794413215290368	1094517029787	1789794413215290368	1094517031646	1789794413215291392	1094517031712	1789794413215291392	1094517032274	0	0	0	0	0	0
53	3	0	0	0	1	0	1789794413215292416	1094517036383	1789794413215293440	1094517037869	1789794413215293440	1094517037869	1789794413215293440	1094517039229	1789794413215293440	1094517039261	1789794413215293440	1094517039390	0	0	0	0	0	0
54	5	0	0	0	1	0	1789794413215298560	1094517050212	1789794413215298560	1094517052266	1789794413215298560	1094517052266	1789794413215324160	1094517116312	1789794413215324160	1094517116342	1789794413215324160	1094517116471	0	0	0	0	57	2
55	0	32	16	32	1	3072	1789794413215330304	1094517131068	1789794413215331328	1094517134328	1789794413215332352	1094517135651	1789794413215341568	1094517157855	1789794413215342592	1094517160529	1789794413215342592	1094517160703	1094517136175	1094517157739	5521	16	0	0
56	1	0	0	0	1	0	1789794413215345664	1094517169315	1789794413215345664	1094517170414	1789794413215345664	1094517170414	1789794413215347712	1094517173829	1789794413215347712	1094517175224	1789794413215347712	1094517175359	0	0	0	0	109	8
57	0	32	16	32	1	3072	1789794413215351808	1094517184257	1789794413215351808	1094517185862	1789794413215352832	1094517187185	1789794413215362048	1094517209827	1789794413215363072	1094517212786	1789794413215363072	1094517213746	1094517187298	1094517209687	6753	16	0	0
58	4	0	0	0	1	0	1789794413215368192	1094517226882	1789794413215369216	1094517228176	1789794413215369216	1094517228176	1789794413215372288	1094517234899	1789794413215372288	1094517234930	1789794413215372288	1094517235059	0	0	0	0	0	0
59	0	32	16	32	1	3072	1789794413215374336	1094517240139	1789794413215374336	1094517242413	1789794413215375360	1094517243638	1789794413215390720	1094517283503	1789794413215391744	1094517285102	1789794413215391744	1094517285232	1094517243745	1094517283416	13510	32	0	0
60	1	0	0	0	1	0	1789794413215142912	1095106794806	1789794413215143936	1095106795970	1789794413215143936	1095106795970	1789794413215144960	1095106799404	1789794413215145984	1095106800964	1789794413215145984	1095106801101	0	0	0	0	92	8
61	0	32	16	32	1	3072	1789794413215148032	1095106806616	1789794413215149056	1095106808765	1789794413215149056	1095106809558	1789794413215157248	1095106829343	1789794413215157248	1095106831512	1789794413215158272	1095106831750	1095106809753	1095106829231	8507	16	0	0
62	2	0	0	0	1	0	1789794413215160320	1095106838032	1789794413215160320	1095106839175	1789794413215160320	1095106839175	1789794413215161344	1095106840727	1789794413215161344	1095106840758	1789794413215161344	1095106841133	0	0	0	0	0	0
63	3	0	0	0	1	0	1789794413215162368	1095106844315	1789794413215163392	1095106845556	1789794413215163392	1095106845556	1789794413215163392	1095106846839	1789794413215164416	1095106846882	1789794413215164416	1095106847164	0	0	0	0	0	0
64	5	0	0	0	1	0	1789794413215167488	1095106856990	1789794413215168512	1095106858904	1789794413215168512	1095106858904	1789794413215195136	1095106924933	1789794413215195136	1095106924964	1789794413215195136	1095106925094	0	0	0	0	53	2
65	0	32	16	32	1	3072	1789794413215200256	1095106938465	1789794413215201280	1095106941588	1789794413215202304	1095106943467	1789794413215212544	1095106970512	1789794413215214592	1095106974781	1789794413215214592	1095106974959	1095106943549	1095106970338	12117	16	0	0
66	1	0	0	0	1	0	1789794413215218688	1095106984534	1789794413215218688	1095106986063	1789794413215218688	1095106986063	1789794413215220736	1095106990448	1789794413215221760	1095106992011	1789794413215221760	1095106992154	0	0	0	0	106	8
67	0	32	16	32	1	3072	1789794413215224832	1095106999284	1789794413215224832	1095107001533	1789794413215225856	1095107002536	1789794413215234048	1095107023557	1789794413215235072	1095107026170	1789794413215235072	1095107026594	1095107003698	1095107023297	6706	16	0	0
68	4	0	0	0	1	0	1789794413215244288	1095107050058	1789794413215245312	1095107051219	1789794413215245312	1095107051219	1789794413215247360	1095107057830	1789794413215247360	1095107057860	1789794413215247360	1095107057989	0	0	0	0	0	0
69	0	32	16	32	1	3072	1789794413215249408	1095107063255	1789794413215250432	1095107065567	1789794413215251456	1095107066525	1789794413215264768	1095107101661	1789794413215266816	1095107105344	1789794413215266816	1095107105515	1095107066553	1095107101490	14755	32	0	0
70	1	0	0	0	1	0	1789794413215269888	1095107115001	1789794413215270912	1095107116317	1789794413215270912	1095107116317	1789794413215271936	1095107119701	1789794413215272960	1095107121702	1789794413215272960	1095107121833	0	0	0	0	90	8
71	0	32	16	32	1	3072	1789794413215275008	1095107126939	1789794413215276032	1095107129157	1789794413215276032	1095107130066	1789794413215283200	1095107147787	1789794413215284224	1095107150062	1789794413215284224	1095107150245	1095107130092	1095107147529	7568	16	0	0
72	2	0	0	0	1	0	1789794413215289344	1095107162995	1789794413215290368	1095107164262	1789794413215290368	1095107164262	1789794413215290368	1095107166156	1789794413215290368	1095107166191	1789794413215290368	1095107166329	0	0	0	0	0	0
73	3	0	0	0	1	0	1789794413215292416	1095107169933	1789794413215293440	1095107171864	1789794413215293440	1095107171864	1789794413215293440	1095107172855	1789794413215293440	1095107172885	1789794413215293440	1095107173015	0	0	0	0	0	0
74	5	0	0	0	1	0	1789794413215298560	1095107185486	1789794413215299584	1095107187392	1789794413215299584	1095107187392	1789794413215325184	1095107252744	1789794413215325184	1095107252774	1789794413215325184	1095107252903	0	0	0	0	52	2
75	0	32	16	32	1	3072	1789794413215330304	1095107266386	1789794413215331328	1095107269074	1789794413215332352	1095107270118	1789794413215340544	1095107291932	1789794413215341568	1095107295266	1789794413215342592	1095107295562	1095107270318	1095107291775	11841	16	0	0
76	1	0	0	0	1	0	1789794413215345664	1095107304221	1789794413215345664	1095107305558	1789794413215345664	1095107305558	1789794413215347712	1095107308921	1789794413215347712	1095107310757	1789794413215347712	1095107310888	0	0	0	0	103	8
77	0	32	16	32	1	3072	1789794413215351808	1095107318662	1789794413215351808	1095107320471	1789794413215352832	1095107321485	1789794413215358976	1095107338886	1789794413215361024	1095107341843	1789794413215361024	1095107342066	1095107321510	1095107338669	7414	16	0	0
78	4	0	0	0	1	0	1789794413215368192	1095107361745	1789794413215369216	1095107363035	1789794413215369216	1095107363035	1789794413215371264	1095107369377	1789794413215371264	1095107369410	1789794413215371264	1095107369560	0	0	0	0	0	0
79	0	32	16	32	1	3072	1789794413215373312	1095107374605	1789794413215374336	1095107376845	1789794413215375360	1095107377667	1789794413215387648	1095107410565	1789794413215389696	1095107414146	1789794413215389696	1095107414374	1095107377781	1095107410395	13527	32	0	0
80	1	0	0	0	1	0	1789794413215142912	1095106794851	1789794413215143936	1095106795985	1789794413215143936	1095106795985	1789794413215144960	1095106799204	1789794413215145984	1095106800970	1789794413215145984	1095106801111	0	0	0	0	89	8
81	0	32	16	32	1	3072	1789794413215148032	1095106806618	1789794413215149056	1095106808821	1789794413215149056	1095106810089	1789794413215157248	1095106829663	1789794413215158272	1095106831799	1789794413215158272	1095106831931	1095106810197	1095106829548	8750	16	0	0
82	2	0	0	0	1	0	1789794413215160320	1095106838078	1789794413215161344	1095106839337	1789794413215161344	1095106839337	1789794413215161344	1095106840746	1789794413215161344	1095106840783	1789794413215161344	1095106841129	0	0	0	0	0	0
