model	seq	variant	metric	rounds	median	ci_low	ci_high
gqa2	4	cluster	l1_ms	25	0.33696	0.336192	0.337376
gqa2	4	cluster	l2_ms	25	0.398176	0.398048	0.39888
gqa2	4	cluster	ratio	25	1.182508783591302	1.180394761814386	1.1848675433581095
gqa2	4	cluster	notify_ms	25	0.08102399999999998	0.08044800000000002	0.08185599999999998
gqa2	4	cluster	wait_ms	25	0.024480000000000002	0.024063999999999974	0.02479999999999999
gqa2	4	cluster	barrier_ms	25	0.036192	0.035040000000000016	0.036928000000000016
gqa2	4	cluster	loop_ms	25	-0.008191999999999977	-0.009056000000000008	-0.007935999999999999
gqa2	4	cluster	gap_ms	25	0.061504	0.060832	0.06230399999999997
gqa2	4	cluster	closure_us	25	0.0	0.0	0.0
gqa2	4	load_lines	l1_ms	25	0.335168	0.334944	0.335424
gqa2	4	load_lines	l2_ms	25	0.372512	0.371328	0.372992
gqa2	4	load_lines	ratio	25	1.1101170648139336	1.1075279076424005	1.1119915982432689
gqa2	4	load_lines	notify_ms	25	0.04854400000000003	0.04735999999999996	0.048831999999999987
gqa2	4	load_lines	wait_ms	25	0.023616000000000026	0.022592	0.024512000000000034
gqa2	4	load_lines	barrier_ms	25	0.0368	0.036063999999999985	0.037119999999999986
gqa2	4	load_lines	loop_ms	25	0.0016639999999999988	0.0012479999999999714	0.0025600000000000067
gqa2	4	load_lines	gap_ms	25	0.037024	0.036063999999999985	0.03753599999999996
gqa2	4	load_lines	closure_us	25	0.0	0.0	0.0
gqa2	128	cluster	l1_ms	25	0.608032	0.60736	0.60864
gqa2	128	cluster	l2_ms	25	0.724	0.723616	0.724384
gqa2	128	cluster	ratio	25	1.1907268038524288	1.1896442854135971	1.1914994220867923
gqa2	128	cluster	notify_ms	25	0.11315200000000003	0.11193600000000004	0.114784
gqa2	128	cluster	wait_ms	25	0.04668800000000006	0.04611200000000004	0.04697600000000002
gqa2	128	cluster	barrier_ms	25	0.03388799999999992	0.032864000000000004	0.03545599999999993
gqa2	128	cluster	loop_ms	25	-0.009440000000000004	-0.011199999999999988	-0.00860800000000006
