slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations
0	1	0	0	0	1	0	1789572716755519488	52840926194103	1789572716755520512	52840926195331	1789572716755520512	52840926195331	1789572716755521536	52840926197828	1789572716755521536	52840926199693	1789572716755521536	52840926199844	0	0	0	0
1	0	32	16	16	1	1536	1789572716755523584	52840926204856	1789572716755524608	52840926207167	1789572716755524608	52840926207830	1789572716755535872	52840926233631	1789572716755536896	52840926235773	1789572716755536896	52840926236036	52840926207873	52840926233513	12885	32
2	2	0	0	0	1	0	1789572716755539968	52840926243567	1789572716755539968	52840926245095	1789572716755539968	52840926245095	1789572716755540992	52840926247143	1789572716755540992	52840926247175	1789572716755540992	52840926247624	0	0	0	0
3	2	0	0	0	1	0	1789572716755544064	52840926253996	1789572716755544064	52840926255475	1789572716755544064	52840926255475	1789572716755545088	52840926257521	1789572716755545088	52840926257551	1789572716755545088	52840926257730	0	0	0	0
4	3	0	0	0	1	0	1789572716755547136	52840926263670	1789572716755548160	52840926264992	1789572716755548160	52840926264992	1789572716755548160	52840926265904	1789572716755548160	52840926265937	1789572716755548160	52840926266067	0	0	0	0
5	5	0	0	0	1	0	1789572716755552256	52840926276671	1789572716755553280	52840926278652	1789572716755553280	52840926278652	1789572716755578880	52840926342777	1789572716755578880	52840926342810	1789572716755578880	52840926342941	0	0	0	0
6	0	32	16	16	1	1536	1789572716755584000	52840926354670	1789572716755585024	52840926357477	1789572716755585024	52840926358154	1789572716755594240	52840926382264	1789572716755596288	52840926386245	1789572716755596288	52840926386363	52840926358512	52840926382128	9858	32
7	1	0	0	0	1	0	1789572716755598336	52840926392436	1789572716755599360	52840926393821	1789572716755599360	52840926393821	1789572716755600384	52840926396460	1789572716755601408	52840926398198	1789572716755601408	52840926398322	0	0	0	0
8	0	32	16	16	1	1536	1789572716755603456	52840926404764	1789572716755604480	52840926407139	1789572716755604480	52840926407782	1789572716755613696	52840926430206	1789572716755614720	52840926432317	1789572716755614720	52840926432594	52840926407793	52840926430102	12769	32
9	4	0	0	0	1	0	1789572716755619840	52840926444915	1789572716755619840	52840926446305	1789572716755619840	52840926446305	1789572716755622912	52840926453392	1789572716755622912	52840926453427	1789572716755622912	52840926453561	0	0	0	0
10	0	32	16	16	1	1536	1789572716755624960	52840926459193	1789572716755625984	52840926461546	1789572716755627008	52840926462219	1789572716755642368	52840926502657	1789572716755644416	52840926506636	1789572716755644416	52840926506754	52840926462231	52840926502495	23838	64
11	1	0	0	0	1	0	1789572716755646464	52840926512677	1789572716755647488	52840926514067	1789572716755647488	52840926514067	1789572716755648512	52840926516584	1789572716755648512	52840926518471	1789572716755648512	52840926518593	0	0	0	0
12	0	32	16	16	1	1536	1789572716755651584	52840926524043	1789572716755651584	52840926526444	1789572716755652608	52840926527288	1789572716755660800	52840926547389	1789572716755661824	52840926549823	1789572716755661824	52840926549945	52840926527307	52840926547275	12107	32
13	2	0	0	0	1	0	1789572716755666944	52840926564205	1789572716755667968	52840926565493	1789572716755667968	52840926565493	1789572716755667968	52840926567478	1789572716755667968	52840926567512	1789572716755668992	52840926567812	0	0	0	0
14	2	0	0	0	1	0	1789572716755671040	52840926573460	1789572716755671040	52840926574903	1789572716755671040	52840926574903	1789572716755672064	52840926576550	1789572716755672064	52840926576583	1789572716755672064	52840926576706	0	0	0	0
15	3	0	0	0	1	0	1789572716755675136	52840926583720	1789572716755675136	52840926585237	1789572716755675136	52840926585237	1789572716755676160	52840926586318	1789572716755676160	52840926586350	1789572716755676160	52840926586472	0	0	0	0
16	5	0	0	0	1	0	1789572716755680256	52840926596168	1789572716755680256	52840926598184	1789572716755680256	52840926598184	1789572716755705856	52840926662165	1789572716755705856	52840926662195	1789572716755705856	52840926662321	0	0	0	0
17	0	32	16	16	1	1536	1789572716755710976	52840926675568	1789572716755712000	52840926677253	1789572716755712000	52840926678196	1789572716755723264	52840926705494	1789572716755724288	52840926708583	1789572716755724288	52840926708703	52840926678207	52840926705399	16959	32
18	1	0	0	0	1	0	1789572716755727360	52840926714991	1789572716755727360	52840926716414	1789572716755727360	52840926716414	1789572716755728384	52840926719165	1789572716755729408	52840926720875	1789572716755729408	52840926721001	0	0	0	0
19	0	32	16	16	1	1536	1789572716755731456	52840926726897	1789572716755732480	52840926729531	1789572716755733504	52840926730199	1789572716755742720	52840926753828	1789572716755743744	52840926756481	1789572716755743744	52840926756691	52840926730210	52840926753715	12606	32
20	4	0	0	0	1	0	1789572716755748864	52840926768786	1789572716755748864	52840926770153	1789572716755748864	52840926770153	1789572716755751936	52840926777247	1789572716755751936	52840926777277	1789572716755751936	52840926777397	0	0	0	0
21	0	32	16	16	1	1536	1789572716755753984	52840926783024	1789572716755755008	52840926785451	1789572716755755008	52840926786112	1789572716755772416	52840926830123	1789572716755774464	52840926833306	1789572716755774464	52840926833593	52840926786161	52840926829990	21959	64
22	1	0	0	0	1	0	1789572716755777536	52840926841769	1789572716755778560	52840926843149	1789572716755778560	52840926843149	1789572716755779584	52840926845733	1789572716755779584	52840926847759	1789572716755779584	52840926847878	0	0	0	0
23	0	32	16	16	1	1536	1789572716755781632	52840926853073	1789572716755782656	52840926855709	1789572716755783680	52840926856367	1789572716755791872	52840926876631	1789572716755791872	52840926879015	1789572716755792896	52840926879334	52840926856378	52840926876494	12324	32
24	2	0	0	0	1	0	1789572716755796992	52840926891860	1789572716755798016	52840926893210	1789572716755798016	52840926893210	1789572716755799040	52840926895281	1789572716755799040	52840926895312	1789572716755799040	52840926895548	0	0	0	0
25	2	0	0	0	1	0	1789572716755801088	52840926901786	1789572716755802112	52840926903011	1789572716755802112	52840926903011	1789572716755802112	52840926904712	1789572716755802112	52840926904745	1789572716755803136	52840926905147	0	0	0	0
26	3	0	0	0	1	0	1789572716755805184	52840926911773	1789572716755806208	52840926913273	1789572716755806208	52840926913273	1789572716755806208	52840926914650	1789572716755806208	52840926914682	1789572716755806208	52840926914803	0	0	0	0
27	5	0	0	0	1	0	1789572716755811328	52840926926898	1789572716755812352	52840926928888	1789572716755812352	52840926928888	1789572716755837952	52840926993398	1789572716755837952	52840926993428	1789572716755837952	52840926993549	0	0	0	0
28	0	32	16	16	1	1536	1789572716755843072	52840927005928	1789572716755843072	52840927007335	1789572716755844096	52840927007967	1789572716755854336	52840927034973	1789572716755855360	52840927037866	1789572716755855360	52840927037986	52840927008488	52840927034857	16265	32
29	1	0	0	0	1	0	1789572716755857408	52840927043852	1789572716755858432	52840927045393	1789572716755858432	52840927045393	1789572716755859456	52840927048109	1789572716755860480	52840927049836	1789572716755860480	52840927049977	0	0	0	0
