key	placement	status	simulated	makespan_ns	floor_ns
32x16x32s2k1_k2_r1	eft	ok	1	457640.61734	325536
32x16x16s2k1_k4_r1	eft	ok	1	457640.61734	325536
32x16x32s2k1_k4_r1	eft	ok	1	457640.61734	325536
128x128x16s3k1_k1_r2	chain	ok	1	474409.426182	305328
128x128x16s3k1_k2_r2	chain	ok	1	477247.922796	305328
128x128x16s3k1_k4_r2	chain	ok	1	477247.922796	305328
128x128x16s3k1_k1_r1	wavefront	ok	1	525187.456725	435984
128x128x16s3k1_k1_r1	rotate	ok	1	526723.456725	305328
128x128x16s3k1_k1_r1	chain	ok	1	552824.821615	380082
128x128x16s3k1_k2_r1	wavefront	ok	1	555720.679667	435984
128x128x16s3k1_k4_r1	wavefront	ok	1	555720.679667	435984
128x128x16s3k1_k2_r1	rotate	ok	1	557256.679667	305328
128x128x16s3k1_k4_r1	rotate	ok	1	557256.679667	305328
128x128x16s3k1_k2_r1	chain	ok	1	568091.433086	380082
128x128x16s3k1_k4_r1	chain	ok	1	568091.433086	380082
128x128x16s3k1_k1_r2	balanced	ok	1	963310.668329	305328
128x128x16s3k1_k2_r2	balanced	ok	1	972132.509384	305328
128x128x16s3k1_k4_r2	balanced	ok	1	972132.509384	305328
32x16x16s2k1_k1_r5	wavefront	ok	0	143454	143454
32x16x32s2k1_k1_r5	wavefront	ok	0	143454	143454
32x16x16s2k1_k2_r5	wavefront	ok	0	143454	143454
32x16x32s2k1_k2_r5	wavefront	ok	0	143454	143454
32x16x16s2k1_k4_r5	wavefront	ok	0	143454	143454
32x16x32s2k1_k4_r5	wavefront	ok	0	143454	143454
32x32x16s2k1_k1_r5	wavefront	ok	0	150724.4	150724.4
32x32x16s2k1_k2_r5	wavefront	ok	0	150724.4	150724.4
32x32x16s2k1_k4_r5	wavefront	ok	0	150724.4	150724.4
32x16x16s2k1_k1_r5	legacy_grid_stride	ok	0	183706	183706
32x16x32s2k1_k1_r5	legacy_grid_stride	ok	0	183706	183706
32x16x16s2k1_k2_r5	legacy_grid_stride	ok	0	183706	183706
32x16x32s2k1_k2_r5	legacy_grid_stride	ok	0	183706	183706
32x16x16s2k1_k4_r5	legacy_grid_stride	ok	0	183706	183706
32x16x32s2k1_k4_r5	legacy_grid_stride	ok	0	183706	183706
32x32x16s2k1_k1_r2	eft	ok	0	194224	194224
32x32x16s2k1_k2_r2	eft	ok	0	194224	194224
32x32x16s2k1_k4_r2	eft	ok	0	194224	194224
32x32x16s2k1_k1_r5	legacy_grid_stride	ok	0	195453.2	195453.2
32x32x16s2k1_k2_r5	legacy_grid_stride	ok	0	195453.2	195453.2
32x32x16s2k1_k4_r5	legacy_grid_stride	ok	0	195453.2	195453.2
32x16x16s2k1_k1_r2	eft	ok	0	199716	199716
32x16x32s2k1_k1_r2	eft	ok	0	199716	199716
32x16x16s2k1_k2_r2	eft	ok	0	199716	199716
32x16x32s2k1_k2_r2	eft	ok	0	199716	199716
32x16x16s2k1_k4_r2	eft	ok	0	199716	199716
32x16x32s2k1_k4_r2	eft	ok	0	199716	199716
32x16x16s2k1_k1_r2	legacy_grid_stride	ok	0	224536	224536
32x16x32s2k1_k1_r2	legacy_grid_stride	ok	0	224536	224536
32x16x16s2k1_k2_r2	legacy_grid_stride	ok	0	224536	224536
32x16x32s2k1_k2_r2	legacy_grid_stride	ok	0	224536	224536
32x16x16s2k1_k4_r2	legacy_grid_stride	ok	0	224536	224536
32x16x32s2k1_k4_r2	legacy_grid_stride	ok	0	224536	224536
32x16x16s2k1_k1_r5	balanced	ok	0	232624	232624
32x16x32s2k1_k1_r5	balanced	ok	0	232624	232624
32x16x16s2k1_k2_r5	balanced	ok	0	232624	232624
32x16x32s2k1_k2_r5	balanced	ok	0	232624	232624
32x16x16s2k1_k4_r5	balanced	ok	0	232624	232624
32x16x32s2k1_k4_r5	balanced	ok	0	232624	232624
32x32x16s2k1_k1_r2	legacy_grid_stride	ok	0	236283.2	236283.2
32x32x16s2k1_k2_r2	legacy_grid_stride	ok	0	236283.2	236283.2
32x32x16s2k1_k4_r2	legacy_grid_stride	ok	0	236283.2	236283.2
32x16x16s2k1_k1_r2	balanced	ok	0	273622	273622
32x16x32s2k1_k1_r2	balanced	ok	0	273622	273622
