cell	kernel_span_ns	kernel_span_ms	measured_l2_ms	hop_samples	hop_p50_ns	hop_p90_ns	hop_max_ns	hop_negative_count	hop_negative_slots	workers_used	grid	busy_total_ns	busy_max_worker_ns	busy_mean_worker_ns	idle_total_ns	idle_fraction_of_worker_time	wait_total_ns	publish_total_ns	hol_reclaimable_ns	hol_fraction_of_kernel	hol_worker_p50_ns	hol_worker_p90_ns	hol_worker_max_ns	hol_workers_nonzero	dag_same_worker_edges	dag_cross_worker_edges	dag_cross_worker_fraction	cp_reconstructed_ns	cp_reconstructed_ms	cp_nodes	cp_error_vs_l2_ms	cp_chain_span_ns	cp_split_task_ns	cp_split_wait_ns	cp_split_prerun_barrier_ns	cp_split_publish_ns	cp_split_gap_ns	cp_with_publish_ns	cp_with_publish_ms	cp_with_publish_error	work_lb_ns	work_lb_ms	queue_lb_ns	queue_lb_ms	cp_lb_nosync_ns	cp_lb_nosync_ms	cp_lb_sync_ns	cp_lb_sync_ms	hop_p50_used_ns	run_clk_p50_cycles	run_clk_max_cycles	run_globaltimer_zero_slots	run_globaltimer_zero_fraction	model	fixture	seq	past	placement	schedule_policy	stage_count	slot_count	event_count	traced_launch	globaltimer_resolution_ns	commit	l1_ms
trace_w1_gqa2_s4	420864	0.420864	0.428032	156	1024	2048	44032	0	none	16	256	1680384	345088	105024.0	5053440	0.7504562043795621	3558400	281600	1274880	0.18932481751824817	18432	256000	256000	8	48	1028	0.9553903345724907	367616	0.367616	28	0.14114832535885172	419840	351232	52224	2048	38912	-24576	412672	0.412672	0.03588516746411492	6564.0	0.006564	345088	0.345088	136192	0.136192	146432	0.146432	1024	7630	106219	8	0.04	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s4_p3	4	3	0	critical_path	30	200	188	l2_forward_last_timed_sample	unset	unset	0.383168
trace_w1_gqa2_s128	586752	0.586752	0.592896	2728	1024	1024	51200	0	none	256	256	26475520	500736	103420.0	123732992	0.8237415466841187	90652672	5945344	79889408	0.531856729930192	316416	326656	329728	256	1040	278932	0.9962853428199963	523264	0.523264	34	0.11744386873920558	586752	507904	50176	0	44032	-15360	573440	0.57344	0.03281519861830748	103420.0	0.10342	500736	0.500736	187392	0.187392	197632	0.197632	1024	2551	134733	210	0.04755434782608696	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s128_p3	128	3	0	critical_path	30	4416	3412	l2_forward_last_timed_sample	unset	unset	0.534624
trace_w1_mha4_s4	844800	0.8448	0.84992	380	1024	7168	45056	0	none	16	256	3775488	699392	235968.0	9741312	0.7206818181818182	7779328	697344	7692288	0.5690909090909091	652288	661504	661504	16	176	3396	0.9507278835386338	736256	0.736256	60	0.13373493975903614	844800	704512	75776	3072	90112	-28672	830464	0.830464	0.022891566265060274	14748.0	0.014748	699392	0.699392	136192	0.136192	146432	0.146432	1024	4902	106507	23	0.044921875	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s4_p3	4	3	0	critical_path	60	512	412	l2_forward_last_timed_sample	unset	unset	0.758624
trace_w1_mha4_s128	1269760	1.26976	1.277952	5584	1024	1024	54272	0	none	256	256	57964544	1075200	226424.0	267094016	0.8216796875	218943488	17333248	207584256	0.638605720766129	824320	856064	866304	256	4144	1084692	0.9961941008563273	1116160	1.11616	80	0.12660256410256404	1269760	1084416	80896	1024	106496	-3072	1251328	1.251328	0.02083333333333332	226424.0	0.226424	1075200	1.0752	196608	0.196608	206848	0.206848	1024	2447	134941	1727	0.14488255033557046	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s128_p3	128	3	0	critical_path	60	11920	7852	l2_forward_last_timed_sample	unset	unset	1.072256
trace_w2_gqa2_s4	461824	0.461824	0.470016	180	1024	25600	50176	0	none	16	256	1801216	371712	112576.0	5587968	0.7562361419068736	4000768	319488	1347584	0.18237250554323725	28672	270336	270336	8	48	1108	0.9584775086505191	393216	0.393216	30	0.16339869281045746	461824	377856	33792	1024	46080	3072	441344	0.441344	0.061002178649237425	7036.0	0.007036	371712	0.371712	245760	0.24576	263168	0.263168	1024	7582	107307	1	0.005	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s4_p3	4	3	0	critical_path	30	200	188	l2_forward_last_timed_sample	unset	unset	0.405504
trace_w2_gqa2_s128	638976	0.638976	0.646144	3776	1024	25600	57344	0	none	256	256	27859968	532480	108828.0	135717888	0.8296837439903846	99879936	7231488	86979584	0.5317320212339743	349184	355328	359424	256	2072	545140	0.9962135333289475	549888	0.549888	34	0.14896988906497624	638976	534528	75776	2048	52224	-25600	610304	0.610304	0.05546751188589555	108828.0	0.108828	532480	0.53248	338944	0.338944	356352	0.356352	1024	2552	134796	169	0.03826992753623189	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s128_p3	128	3	0	critical_path	30	4416	3412	l2_forward_last_timed_sample	unset	unset	0.569184
trace_w2_mha4_s4	926720	0.92672	0.934912	444	1024	27648	50176	0	none	16	256	4017152	743424	251072.0	10810368	0.7290745856353591	8704000	811008	8433664	0.5687845303867404	711680	715776	715776	16	176	3604	0.9534391534391534	781312	0.781312	58	0.16429353778751365	926720	748544	128000	4096	83968	-37888	886784	0.886784	0.05147864184008757	15692.0	0.015692	743424	0.743424	482304	0.482304	518144	0.518144	1024	4877	106841	5	0.009765625	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s4_p3	4	3	0	critical_path	60	512	412	l2_forward_last_timed_sample	unset	unset	0.813280
trace_w2_mha4_s128	1314816	1.314816	1.324032	9744	1024	24576	61440	0	none	256	256	58284032	1069056	227672.0	278308864	0.8268411701713395	230397952	17864704	217905152	0.6473848812305296	860160	897024	905216	256	8288	2149540	0.9961591007253591	1117184	1.117184	78	0.15622583139984542	1314816	1085440	154624	3072	102400	-30720	1242112	1.242112	0.06187161639597834	227672.0	0.227672	1069056	1.069056	679936	0.679936	715776	0.715776	1024	2432	134867	1169	0.09807046979865772	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s128_p3	128	3	0	critical_path	60	11920	7852	l2_forward_last_timed_sample	unset	unset	1.133728
trace_w4_gqa2_s4	463872	0.463872	0.471904	180	1024	25600	50176	0	none	16	256	1790976	368640	111936.0	5630976	0.7586920529801324	4044800	316416	1360896	0.1833609271523179	32768	270336	270336	8	48	1108	0.9584775086505191	388096	0.388096	30	0.1775954431409778	463872	372736	67584	3072	49152	-28672	440320	0.44032	0.06692886688818064	6996.0	0.006996	368640	0.36864	239616	0.239616	257024	0.257024	1024	7576	106398	5	0.025	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s4_p3	4	3	0	critical_path	30	200	188	l2_forward_last_timed_sample	unset	unset	0.406528
trace_w4_gqa2_s128	640000	0.64	0.647296	3776	1024	24576	57344	0	none	256	256	27915264	530432	109044.0	135924736	0.82961875	99934208	7240704	86464512	0.5277375	346112	354304	357376	256	2072	545140	0.9962135333289475	549888	0.549888	34	0.15048447696262598	640000	534528	84992	2048	45056	-26624	604160	0.60416	0.06664030057346246	109044.0	0.109044	530432	0.530432	337920	0.33792	355328	0.355328	1024	2551	134835	116	0.026268115942028984	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s128_p3	128	3	0	critical_path	30	4416	3412	l2_forward_last_timed_sample	unset	unset	0.569344
