1.051648	1.031168	0.980526
1.101696	1.081216	0.981410
1.095584	1.076224	0.982329
1.050624	1.032928	0.983157
1.096928	1.079296	0.983926
1.048896	1.032192	0.984075
1.094656	1.077248	0.984097
1.092608	1.077024	0.985737
1.095648	1.080064	0.985776
1.094400	1.079008	0.985936
1.093632	1.078272	0.985955
1.096704	1.081344	0.985994
1.047776	1.033216	0.986104
1.093408	1.078272	0.986157
1.092352	1.077248	0.986173
1.093632	1.079200	0.986804
1.093440	1.079072	0.986860
1.091584	1.077248	0.986867
1.092608	1.078272	0.986879
1.092608	1.078272	0.986879
1.092608	1.078272	0.986879
1.092608	1.078272	0.986879
1.092480	1.078240	0.986966
1.094560	1.080320	0.986990
1.092864	1.078944	0.987263
1.043392	1.030144	0.987303
1.091552	1.078048	0.987629
1.091584	1.078080	0.987629
1.090560	1.077248	0.987793
1.091584	1.078272	0.987805
1.091584	1.078272	0.987805
1.092352	1.079296	0.988048
1.091904	1.079296	0.988453
1.089536	1.077248	0.988722
1.090560	1.078272	0.988732
1.090560	1.078272	0.988732
1.091584	1.079296	0.988743
1.090528	1.078272	0.988761
1.089536	1.078272	0.989662
1.090560	1.079296	0.989671
1.087328	1.076224	0.989788
1.090400	1.079296	0.989817
1.088512	1.077952	0.990299
1.085728	1.075200	0.990303
1.089536	1.079072	0.990396
1.089600	1.079296	0.990543
1.065984	1.057696	0.992225
1.085440	1.077024	0.992246
1.085440	1.077024	0.992246
1.086432	1.078080	0.992313
