producer	consumer	seq	past	kappa	refs_before	refs_after	waits_before	waits_after	event_before_ns	event_after_ns	delta_ns
l0.s05.rope	l0.s06.append	4	3	0	232	228	332	328	86794.016243254664	83920.212578394683	-2873.8036648599809
l0.s05.rope	l0.s06.append	4	3	1	232	228	524	520	86894.754072067124	84020.950407207143	-2873.8036648599809
l1.s20.rope	l1.s21.append	4	3	0	232	228	332	328	86794.016243254664	83920.212578394683	-2873.8036648599809
l1.s20.rope	l1.s21.append	4	3	1	232	228	524	520	86894.754072067124	84020.950407207143	-2873.8036648599809
