fusion_count	ctas_per_sm	shared	registers	task_refs	waits	task_ns	event_ns	total_ns	pairs
2	2	24576	212	5184	12756	304915.18355910387	108324.78802778097	413239.97158688481	l0.s05.rope:l0.s06.append,l1.s20.rope:l1.s21.append,
1	2	24576	212	5312	12884	305007.83235213289	111782.54165788165	416790.37401001452	l1.s20.rope:l1.s21.append,
1	2	24576	212	5312	12884	305007.83235213289	111782.54165788165	416790.37401001452	l0.s05.rope:l0.s06.append,
0	2	24576	212	5440	13012	305100.4811451619	115240.29528798233	420340.77643314423	
