fusion_count	ctas_per_sm	shared	registers	task_refs	waits	task_ns	event_ns	total_ns	pairs
4	2	24576	212	12432	26020	612459.40363681025	225553.12125813717	838012.52489494742	l0.s05.rope:l0.s06.append,l1.s20.rope:l1.s21.append,l2.s35.rope:l2.s36.append,l3.s50.rope:l3.s51.append,
3	2	24576	212	12688	26276	612417.1678129374	229613.66194913146	842030.82976206881	l1.s20.rope:l1.s21.append,l2.s35.rope:l2.s36.append,l3.s50.rope:l3.s51.append,
3	2	24576	212	12688	26276	612417.1678129374	229613.66194913146	842030.82976206881	l0.s05.rope:l0.s06.append,l2.s35.rope:l2.s36.append,l3.s50.rope:l3.s51.append,
2	2	24576	212	12944	26532	612374.93198906456	233674.20264012576	846049.13462919032	l2.s35.rope:l2.s36.append,l3.s50.rope:l3.s51.append,
3	2	24576	212	12688	26276	612417.1678129374	229613.66194913146	842030.82976206881	l0.s05.rope:l0.s06.append,l1.s20.rope:l1.s21.append,l3.s50.rope:l3.s51.append,
2	2	24576	212	12944	26532	612374.93198906456	233674.20264012576	846049.13462919032	l1.s20.rope:l1.s21.append,l3.s50.rope:l3.s51.append,
2	2	24576	212	12944	26532	612374.93198906456	233674.20264012576	846049.13462919032	l0.s05.rope:l0.s06.append,l3.s50.rope:l3.s51.append,
1	2	24576	212	13200	26788	612332.69616519171	237734.74333112006	850067.43949631182	l3.s50.rope:l3.s51.append,
3	2	24576	212	12688	26276	612417.1678129374	229613.66194913146	842030.82976206881	l0.s05.rope:l0.s06.append,l1.s20.rope:l1.s21.append,l2.s35.rope:l2.s36.append,
2	2	24576	212	12944	26532	612374.93198906456	233674.20264012576	846049.13462919032	l1.s20.rope:l1.s21.append,l2.s35.rope:l2.s36.append,
2	2	24576	212	12944	26532	612374.93198906456	233674.20264012576	846049.13462919032	l0.s05.rope:l0.s06.append,l2.s35.rope:l2.s36.append,
1	2	24576	212	13200	26788	612332.69616519171	237734.74333112006	850067.43949631182	l2.s35.rope:l2.s36.append,
2	2	24576	212	12944	26532	612374.93198906456	233674.20264012576	846049.13462919032	l0.s05.rope:l0.s06.append,l1.s20.rope:l1.s21.append,
1	2	24576	212	13200	26788	612332.69616519171	237734.74333112006	850067.43949631182	l1.s20.rope:l1.s21.append,
1	2	24576	212	13200	26788	612332.69616519171	237734.74333112006	850067.43949631182	l0.s05.rope:l0.s06.append,
0	2	24576	212	13456	27044	612290.46034131886	241795.28402211436	854085.74436343322	
