fusion_count	ctas_per_sm	shared	registers	task_refs	waits	task_ns	event_ns	total_ns	pairs
4	2	24576	212	528	1108	580420.91933450138	162668.93669298591	743089.85602748732	l0.s05.rope:l0.s06.append,l1.s20.rope:l1.s21.append,l2.s35.rope:l2.s36.append,l3.s50.rope:l3.s51.append,
3	2	24576	212	536	1116	580523.18351222854	165561.57745349882	746084.76096572739	l1.s20.rope:l1.s21.append,l2.s35.rope:l2.s36.append,l3.s50.rope:l3.s51.append,
3	2	24576	212	536	1116	580523.18351222854	165561.57745349882	746084.76096572739	l0.s05.rope:l0.s06.append,l2.s35.rope:l2.s36.append,l3.s50.rope:l3.s51.append,
2	2	24576	212	544	1124	580625.4476899557	168454.21821401172	749079.66590396746	l2.s35.rope:l2.s36.append,l3.s50.rope:l3.s51.append,
3	2	24576	212	536	1116	580523.18351222854	165561.57745349882	746084.76096572739	l0.s05.rope:l0.s06.append,l1.s20.rope:l1.s21.append,l3.s50.rope:l3.s51.append,
2	2	24576	212	544	1124	580625.4476899557	168454.21821401172	749079.66590396746	l1.s20.rope:l1.s21.append,l3.s50.rope:l3.s51.append,
2	2	24576	212	544	1124	580625.4476899557	168454.21821401172	749079.66590396746	l0.s05.rope:l0.s06.append,l3.s50.rope:l3.s51.append,
1	2	24576	212	552	1132	580727.71186768287	171346.85897452463	752074.57084220753	l3.s50.rope:l3.s51.append,
3	2	24576	212	536	1116	580523.18351222854	165561.57745349882	746084.76096572739	l0.s05.rope:l0.s06.append,l1.s20.rope:l1.s21.append,l2.s35.rope:l2.s36.append,
2	2	24576	212	544	1124	580625.4476899557	168454.21821401172	749079.66590396746	l1.s20.rope:l1.s21.append,l2.s35.rope:l2.s36.append,
2	2	24576	212	544	1124	580625.4476899557	168454.21821401172	749079.66590396746	l0.s05.rope:l0.s06.append,l2.s35.rope:l2.s36.append,
1	2	24576	212	552	1132	580727.71186768287	171346.85897452463	752074.57084220753	l2.s35.rope:l2.s36.append,
2	2	24576	212	544	1124	580625.4476899557	168454.21821401172	749079.66590396746	l0.s05.rope:l0.s06.append,l1.s20.rope:l1.s21.append,
1	2	24576	212	552	1132	580727.71186768287	171346.85897452463	752074.57084220753	l1.s20.rope:l1.s21.append,
1	2	24576	212	552	1132	580727.71186768287	171346.85897452463	752074.57084220753	l0.s05.rope:l0.s06.append,
0	2	24576	212	560	1140	580829.97604541003	174239.49973503753	755069.4757804476	
