producer	consumer	seq	past	kappa	refs_before	refs_after	waits_before	waits_after	event_before_ns	event_after_ns	delta_ns
l0.s05.rope	l0.s06.append	128	3	0	13456	13200	10192	9936	232953.44083905336	228892.90014805907	-4060.5406909942976
l0.s05.rope	l0.s06.append	128	3	1	13456	13200	27044	26788	241795.28402211436	237734.74333112006	-4060.5406909942976
l1.s20.rope	l1.s21.append	128	3	0	13456	13200	10192	9936	232953.44083905336	228892.90014805907	-4060.5406909942976
l1.s20.rope	l1.s21.append	128	3	1	13456	13200	27044	26788	241795.28402211436	237734.74333112006	-4060.5406909942976
l2.s35.rope	l2.s36.append	128	3	0	13456	13200	10192	9936	232953.44083905336	228892.90014805907	-4060.5406909942976
l2.s35.rope	l2.s36.append	128	3	1	13456	13200	27044	26788	241795.28402211436	237734.74333112006	-4060.5406909942976
l3.s50.rope	l3.s51.append	128	3	0	13456	13200	10192	9936	232953.44083905336	228892.90014805907	-4060.5406909942976
l3.s50.rope	l3.s51.append	128	3	1	13456	13200	27044	26788	241795.28402211436	237734.74333112006	-4060.5406909942976
