producer	consumer	seq	past	kappa	refs_before	refs_after	waits_before	waits_after	event_before_ns	event_after_ns	delta_ns
l0.s05.rope	l0.s06.append	4	3	0	560	552	748	740	174033.82666787875	171141.18590736584	-2892.6407605129061
l0.s05.rope	l0.s06.append	4	3	1	560	552	1140	1132	174239.49973503753	171346.85897452463	-2892.6407605129061
l1.s20.rope	l1.s21.append	4	3	0	560	552	748	740	174033.82666787875	171141.18590736584	-2892.6407605129061
l1.s20.rope	l1.s21.append	4	3	1	560	552	1140	1132	174239.49973503753	171346.85897452463	-2892.6407605129061
l2.s35.rope	l2.s36.append	4	3	0	560	552	748	740	174033.82666787875	171141.18590736584	-2892.6407605129061
l2.s35.rope	l2.s36.append	4	3	1	560	552	1140	1132	174239.49973503753	171346.85897452463	-2892.6407605129061
l3.s50.rope	l3.s51.append	4	3	0	560	552	748	740	174033.82666787875	171141.18590736584	-2892.6407605129061
l3.s50.rope	l3.s51.append	4	3	1	560	552	1140	1132	174239.49973503753	171346.85897452463	-2892.6407605129061
