slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles
0	1	0	0	0	1	0	1789561886330723328	47543153008187	1789561886330724352	47543153009416	1789561886330724352	47543153009416	1789561886330725376	47543153013015	1789561886330726400	47543153014899	1789561886330726400	47543153015023
1	0	32	16	16	1	1536	1789561886330728448	47543153020989	1789561886330729472	47543153023426	1789561886330729472	47543153024140	1789561886330738688	47543153048040	1789561886330739712	47543153050369	1789561886330739712	47543153051682
2	2	0	0	0	1	0	1789561886330741760	47543153058186	1789561886330742784	47543153059474	1789561886330742784	47543153059474	1789561886330742784	47543153061149	1789561886330742784	47543153061181	1789561886330742784	47543153061304
3	2	0	0	0	1	0	1789561886330745856	47543153067794	1789561886330745856	47543153069194	1789561886330745856	47543153069194	1789561886330746880	47543153070843	1789561886330746880	47543153070896	1789561886330746880	47543153071039
4	3	0	0	0	1	0	1789561886330748928	47543153076990	1789561886330749952	47543153078418	1789561886330749952	47543153078418	1789561886330749952	47543153079799	1789561886330749952	47543153079830	1789561886330749952	47543153079948
5	5	0	0	0	1	0	1789561886330753024	47543153089392	1789561886330754048	47543153091443	1789561886330754048	47543153091443	1789561886330778624	47543153158982	1789561886330778624	47543153159013	1789561886330778624	47543153159148
6	0	32	16	16	1	1536	1789561886330781696	47543153168598	1789561886330782720	47543153170946	1789561886330783744	47543153171989	1789561886330792960	47543153199004	1789561886330793984	47543153202413	1789561886330793984	47543153202572
7	1	0	0	0	1	0	1789561886330797056	47543153208797	1789561886330797056	47543153210189	1789561886330797056	47543153210189	1789561886330798080	47543153212815	1789561886330799104	47543153214666	1789561886330799104	47543153214788
8	0	32	16	16	1	1536	1789561886330800128	47543153219522	1789561886330801152	47543153222067	1789561886330802176	47543153223058	1789561886330810368	47543153248043	1789561886330811392	47543153250295	1789561886330811392	47543153250839
9	4	0	0	0	1	0	1789561886330815488	47543153261888	1789561886330816512	47543153263090	1789561886330816512	47543153263090	1789561886330818560	47543153269695	1789561886330818560	47543153269726	1789561886330818560	47543153269846
10	0	32	16	16	1	1536	1789561886330820608	47543153275166	1789561886330821632	47543153277564	1789561886330821632	47543153278516	1789561886330838016	47543153323424	1789561886330840064	47543153328508	1789561886330840064	47543153328629
11	1	0	0	0	1	0	1789561886330842112	47543153334208	1789561886330842112	47543153335656	1789561886330842112	47543153335656	1789561886330843136	47543153338145	1789561886330844160	47543153340050	1789561886330844160	47543153340170
12	0	32	16	16	1	1536	1789561886330845184	47543153345287	1789561886330846208	47543153347628	1789561886330846208	47543153348290	1789561886330853376	47543153367497	1789561886330854400	47543153369999	1789561886330854400	47543153370369
13	2	0	0	0	1	0	1789561886330857472	47543153376923	1789561886330857472	47543153378199	1789561886330857472	47543153378199	1789561886330858496	47543153380237	1789561886330858496	47543153380268	1789561886330858496	47543153380847
14	2	0	0	0	1	0	1789561886330861568	47543153388103	1789561886330861568	47543153389536	1789561886330861568	47543153389536	1789561886330862592	47543153391225	1789561886330862592	47543153391255	1789561886330862592	47543153391373
15	3	0	0	0	1	0	1789561886330864640	47543153397960	1789561886330865664	47543153399529	1789561886330865664	47543153399529	1789561886330865664	47543153400392	1789561886330865664	47543153400422	1789561886330865664	47543153400547
16	5	0	0	0	1	0	1789561886330868736	47543153410147	1789561886330869760	47543153412172	1789561886330869760	47543153412172	1789561886330892288	47543153475430	1789561886330892288	47543153475464	1789561886330892288	47543153475585
17	0	32	16	16	1	1536	1789561886330897408	47543153490358	1789561886330898432	47543153491759	1789561886330898432	47543153492681	1789561886330908672	47543153521173	1789561886330909696	47543153523996	1789561886330909696	47543153524360
18	1	0	0	0	1	0	1789561886330912768	47543153530489	1789561886330912768	47543153531821	1789561886330912768	47543153531821	1789561886330913792	47543153534383	1789561886330914816	47543153536590	1789561886330914816	47543153536714
19	0	32	16	16	1	1536	1789561886330915840	47543153541512	1789561886330916864	47543153543792	1789561886330917888	47543153545254	1789561886330926080	47543153569118	1789561886330927104	47543153571802	1789561886330927104	47543153571928
20	4	0	0	0	1	0	1789561886330931200	47543153582773	1789561886330931200	47543153583976	1789561886330931200	47543153583976	1789561886330934272	47543153590859	1789561886330934272	47543153590890	1789561886330934272	47543153591020
21	0	32	16	16	1	1536	1789561886330936320	47543153595912	1789561886330936320	47543153598226	1789561886330937344	47543153598980	1789561886330952704	47543153643448	1789561886330954752	47543153648577	1789561886330954752	47543153648696
22	1	0	0	0	1	0	1789561886330956800	47543153654151	1789561886330957824	47543153655423	1789561886330957824	47543153655423	1789561886330957824	47543153658000	1789561886330958848	47543153659824	1789561886330958848	47543153659943
23	0	32	16	16	1	1536	1789561886330960896	47543153665475	1789561886330961920	47543153667132	1789561886330961920	47543153667781	1789561886330969088	47543153688418	1789561886330970112	47543153690684	1789561886330970112	47543153691069
24	2	0	0	0	1	0	1789561886330972160	47543153697312	1789561886330973184	47543153698700	1789561886330973184	47543153698700	1789561886330973184	47543153700836	1789561886330974208	47543153700866	1789561886330974208	47543153700992
25	2	0	0	0	1	0	1789561886330976256	47543153707817	1789561886330976256	47543153709212	1789561886330976256	47543153709212	1789561886330977280	47543153711179	1789561886330977280	47543153711209	1789561886330977280	47543153711330
26	3	0	0	0	1	0	1789561886330980352	47543153718557	1789561886330980352	47543153719821	1789561886330980352	47543153719821	1789561886330981376	47543153720874	1789561886330981376	47543153720904	1789561886330981376	47543153721027
27	5	0	0	0	1	0	1789561886330984448	47543153730946	1789561886330985472	47543153732995	1789561886330985472	47543153732995	1789561886331009024	47543153798373	1789561886331009024	47543153798404	1789561886331009024	47543153798520
28	0	32	16	16	1	1536	1789561886331013120	47543153811238	1789561886331014144	47543153813706	1789561886331015168	47543153815057	1789561886331024384	47543153842190	1789561886331025408	47543153845334	1789561886331025408	47543153845614
29	1	0	0	0	1	0	1789561886331027456	47543153851682	1789561886331028480	47543153853039	1789561886331028480	47543153853039	1789561886331029504	47543153855507	1789561886331029504	47543153857345	1789561886331029504	47543153857466
30	0	32	16	16	1	1536	1789561886331031552	47543153862480	1789561886331032576	47543153865009	1789561886331032576	47543153866031	1789561886331041792	47543153890717	1789561886331042816	47543153893388	1789561886331042816	47543153893625
31	4	0	0	0	1	0	1789561886331046912	47543153904985	1789561886331047936	47543153906302	1789561886331047936	47543153906302	1789561886331049984	47543153912937	1789561886331049984	47543153912968	1789561886331049984	47543153913086
