worker	slot	stage	logical_task	dependency_begin	dependency_count	wait_begin	wait_count
0	0	0	0	0	0	0	0
0	1	2	0	1	1	0	3
0	2	5	0	4	1	3	1
0	3	6	0	5	1	4	0
0	4	8	12	7	3	4	3
0	5	9	0	10	1	7	15
0	6	10	0	11	1	22	31
0	7	11	0	12	1	53	3
0	8	13	0	14	2	56	127
0	9	14	0	16	2	183	3
0	10	15	0	18	1	186	31
0	11	17	0	20	1	217	3
0	12	20	0	23	1	220	1
0	13	21	0	24	1	221	0
0	14	23	12	26	3	221	3
0	15	24	0	29	2	224	15
0	16	25	0	31	1	239	31
0	17	26	0	32	1	270	3
0	18	28	0	34	2	273	127
0	19	29	0	36	2	400	3
1	0	0	1	0	0	403	0
1	1	2	1	1	1	403	3
1	2	5	1	4	1	406	1
1	3	6	1	5	1	407	0
1	4	8	13	7	3	407	3
1	5	9	1	10	1	410	15
1	6	10	1	11	1	425	31
1	7	11	1	12	1	456	3
1	8	13	1	14	2	459	127
1	9	14	1	16	2	586	3
1	10	15	1	18	1	589	31
1	11	17	1	20	1	620	3
1	12	20	1	23	1	623	1
1	13	21	1	24	1	624	0
1	14	23	13	26	3	624	3
1	15	24	1	29	2	627	15
1	16	25	1	31	1	642	31
1	17	26	1	32	1	673	3
1	18	28	1	34	2	676	127
1	19	29	1	36	2	803	3
2	0	0	2	0	0	806	0
2	1	2	2	1	1	806	3
2	2	5	2	4	1	809	1
2	3	6	2	5	1	810	0
2	4	8	14	7	3	810	3
2	5	9	2	10	1	813	15
2	6	10	2	11	1	828	31
2	7	11	2	12	1	859	3
2	8	13	2	14	2	862	127
2	9	14	2	16	2	989	3
2	10	15	2	18	1	992	31
2	11	17	2	20	1	1023	3
2	12	20	2	23	1	1026	1
2	13	21	2	24	1	1027	0
2	14	23	14	26	3	1027	3
2	15	24	2	29	2	1030	15
2	16	25	2	31	1	1045	31
2	17	26	2	32	1	1076	3
2	18	28	2	34	2	1079	127
2	19	29	2	36	2	1206	3
3	0	0	3	0	0	1209	0
3	1	2	3	1	1	1209	3
3	2	5	3	4	1	1212	1
3	3	6	3	5	1	1213	0
3	4	8	15	7	3	1213	3
3	5	9	3	10	1	1216	15
3	6	10	3	11	1	1231	31
3	7	11	3	12	1	1262	3
3	8	13	3	14	2	1265	127
3	9	14	3	16	2	1392	3
3	10	15	3	18	1	1395	31
3	11	17	3	20	1	1426	3
3	12	20	3	23	1	1429	1
3	13	21	3	24	1	1430	0
3	14	23	15	26	3	1430	3
3	15	24	3	29	2	1433	15
3	16	25	3	31	1	1448	31
3	17	26	3	32	1	1479	3
3	18	28	3	34	2	1482	127
3	19	29	3	36	2	1609	3
4	0	2	4	1	1	1612	4
4	1	5	4	4	1	1616	1
4	2	6	4	5	1	1617	0
4	3	8	8	7	3	1617	3
