candidate	work_lb_ns	cp_lb_ns	queue_lb_lb_ns	priority_ns
32x16x16s2split1kappa1	2761361.4405144537	2097058.2574564132	267745.13996257266	2761361.4405144537
32x16x16s2split1kappa2	2761361.4405144537	2097058.2574564132	267745.13996257266	2761361.4405144537
32x16x16s2split1kappa4	2761361.4405144537	2097058.2574564132	267745.13996257266	2761361.4405144537
32x16x16s2split2kappa1	2855522.2896525827	1130255.0352637004	269898.73660256393	2855522.2896525827
32x16x16s2split2kappa2	2855522.2896525827	1130255.0352637004	269898.73660256393	2855522.2896525827
32x16x16s2split2kappa4	2855522.2896525827	1130255.0352637004	269898.73660256393	2855522.2896525827
32x16x16s2split4kappa1	2983609.3878592192	641291.13272871799	211244.21163032833	2983609.3878592192
32x16x16s2split4kappa2	2983609.3878592192	641291.13272871799	211244.21163032833	2983609.3878592192
32x16x16s2split4kappa4	2983609.3878592192	641291.13272871799	211244.21163032833	2983609.3878592192
32x16x16s2split8kappa1	3239783.5842759549	403225.48405737203	221141.16912872932	3239783.5842759549
32x16x16s2split8kappa2	3239783.5842759549	403225.48405737203	221141.16912872932	3239783.5842759549
32x16x16s2split8kappa4	3239783.5842759549	403225.48405737203	221141.16912872932	3239783.5842759549
32x16x16s2split16kappa1	3752131.9770430285	297025.26491398935	262059.50528856419	3752131.9770430285
32x16x16s2split16kappa2	3752131.9770430285	297025.26491398935	262059.50528856419	3752131.9770430285
32x16x16s2split16kappa4	3752131.9770430285	297025.26491398935	262059.50528856419	3752131.9770430285
32x16x16s2split32kappa1	4776828.76266116	269590.36572687933	339371.22790286242	4776828.76266116
32x16x16s2split32kappa2	4776828.76266116	269590.36572687933	339371.22790286242	4776828.76266116
32x16x16s2split32kappa4	4776828.76266116	269590.36572687933	339371.22790286242	4776828.76266116
32x16x32s2split1kappa1	1505536.9696206732	1155189.9042855175	140955.16934341376	1505536.9696206732
32x16x32s2split1kappa2	1505536.9696206732	1155189.9042855175	140955.16934341376	1505536.9696206732
32x16x32s2split1kappa4	1505536.9696206732	1155189.9042855175	140955.16934341376	1505536.9696206732
32x16x32s2split2kappa1	1599697.8187588332	659320.85867825348	143108.76598340506	1599697.8187588332
32x16x32s2split2kappa2	1599697.8187588332	659320.85867825348	143108.76598340506	1599697.8187588332
32x16x32s2split2kappa4	1599697.8187588332	659320.85867825348	143108.76598340506	1599697.8187588332
32x16x32s2split4kappa1	1727784.9169619922	405824.04443599418	120679.9469023577	1727784.9169619922
32x16x32s2split4kappa2	1727784.9169619922	405824.04443599418	120679.9469023577	1727784.9169619922
32x16x32s2split4kappa4	1727784.9169619922	405824.04443599418	120679.9469023577	1727784.9169619922
32x16x32s2split8kappa1	1983959.1133693003	285491.93991101021	135105.11763715724	1983959.1133693003
32x16x32s2split8kappa2	1983959.1133693003	285491.93991101021	135105.11763715724	1983959.1133693003
32x16x32s2split8kappa4	1983959.1133693003	285491.93991101021	135105.11763715724	1983959.1133693003
32x16x32s2split16kappa1	2496307.5061854725	238158.49284080844	176023.45379699211	2496307.5061854725
32x16x32s2split16kappa2	2496307.5061854725	238158.49284080844	176023.45379699211	2496307.5061854725
32x16x32s2split16kappa4	2496307.5061854725	238158.49284080844	176023.45379699211	2496307.5061854725
