rank	key	estimated	actual	re_solved	residency	flow_ns	simulated_ns
1	128x64x128s2k1;128x32x128s2k1;128x128x64s2k1;128x64x64s3k2;128x32x128s2k1;16x256x64s2k1;kappa=1;residency=1;Ec=1088;Rq=64	1	1	0	1	6.59188e+06	6.50896e+06
2	128x64x128s2k1;128x32x128s2k1;128x128x64s3k1;128x64x64s3k2;128x32x128s2k1;16x256x64s2k1;kappa=1;residency=1;Ec=1088;Rq=64	1	1	0	1	6.59188e+06	6.50896e+06
3	128x64x128s2k1;128x32x128s2k1;128x128x64s2k1;128x64x64s4k2;128x32x128s2k1;16x256x64s2k1;kappa=1;residency=1;Ec=1088;Rq=64	1	1	0	1	6.59188e+06	6.50896e+06
