model	seq	nodes	grid	solve_us	greedy_makespan_ns	max_queue	same_worker_edges	cross_worker_edges	workers_used
gqa2	4	200	340	449.148	149020.5322	20	116	1176	32
mha4	4	512	340	1106.785	298498.8451	40	280	3828	48
gqa2	128	4416	340	18285.564	156886.4325	28	2372	546504	340
mha4	128	11920	340	60056.051	318530.6304	64	8540	2153664	340
