model	seq	past	candidate	status	makespan_ns	busiest_worker_ns	busiest_worker	total_block_ns	solo_work_ns	critical_path_ns	cross_worker_edges	same_worker_edges	max_queue	eval_us
gqa2	4	3	legacy_grid_stride	ok	233537.4608	226766.6767	0	2016716.116	1045379.551	141342.2867	1108	184	30	50.831
gqa2	4	3	rotate	ok	149919.3553	25278.17692	196	11649432.45	1045379.551	141342.2867	1292	0	1	64.629
gqa2	4	3	balanced	ok	288123.1597	160737.6252	6	2632601.456	1045379.551	141342.2867	850	442	30	45.051
gqa2	4	3	eft	ok	149014.5184	141342.2867	0	2472388.394	1045379.551	141342.2867	1176	116	20	46.512
gqa2	4	3	band	ok	233537.4608	226766.6767	0	2016716.116	1045379.551	141342.2867	1108	184	30	52.434
gqa2	4	3	wavefront	ok	149905.967	141342.2867	0	2493765.614	1045379.551	141342.2867	1172	120	20	54.521
mha4	4	3	legacy_grid_stride	ok	467526.9284	453533.3534	0	4464904.485	2341022.665	282684.5734	3604	504	60	97.013
mha4	4	3	rotate	ok	300296.4912	28123.02073	12	60580231.03	2341022.665	282684.5734	4108	0	2	111.609
mha4	4	3	balanced	ok	571122.6308	249595.5241	4	3790509.344	2341022.665	282684.5734	2996	1112	60	79.709
mha4	4	3	eft	ok	298491.0242	282684.5734	0	9804467.053	2341022.665	282684.5734	3828	280	40	90.998
mha4	4	3	band	ok	467526.9284	453533.3534	0	4464904.485	2341022.665	282684.5734	3604	504	60	96.059
mha4	4	3	wavefront	ok	300289.0672	282684.5734	0	9876412.411	2341022.665	282684.5734	3828	280	40	103.549
gqa2	128	3	legacy_grid_stride	ok	246043.3491	239232.2628	0	60028797.25	3541706.421	146497.1951	545476	3400	34	2845.28
gqa2	128	3	rotate	ok	161533.9718	36842.74949	332	37205689.98	3541706.421	146497.1951	547472	1404	13	3106.877
gqa2	128	3	balanced	ok	253764.9718	72492.08645	320	55550301.06	3541706.421	146046.4821	543978	4898	34	2960.552
gqa2	128	3	eft	ok	160977.6101	152503.3231	1	34203409.18	3541706.421	146497.1695	546504	2372	28	4908.463
gqa2	128	3	band	ok	246043.3491	239232.2628	0	45708229.63	3541706.421	146497.1951	545140	3736	34	3935.858
gqa2	128	3	wavefront	ok	162058.9971	153967.6648	1	34368951.32	3541706.421	146133.2684	546160	2716	28	3062.045
mha4	128	3	legacy_grid_stride	ok	498865.1292	484784.3747	0	139521390.5	8117337.693	293018.6256	2150884	11320	80	9922.659
mha4	128	3	rotate	ok	328801.6999	54756.15452	16	87088417.18	8117337.693	292994.3902	2155964	6240	36	10442.951
mha4	128	3	balanced	ok	936420.0954	129865.2521	268	252264527.3	8117337.693	291285.575	2143888	18316	80	9495.074
mha4	128	3	eft	ok	327507.9511	307686.3036	2	83781528.81	8117337.693	292994.3902	2153664	8540	64	10443.186
mha4	128	3	band	ok	498865.1292	484784.3747	0	103963793.3	8117337.693	293018.6256	2149540	12664	80	11058.517
mha4	128	3	wavefront	ok	329845.8806	313935.5947	1	84675119.46	8117337.693	292994.3902	2152964	9240	64	10819.779
