model	seq	variant	metric	rounds	median	ci_low	ci_high
gqa2	4	occ1	l1_ms	25	0.375808	0.37376	0.37664
gqa2	4	occ1	l2_ms	25	0.411648	0.410624	0.411968
gqa2	4	occ1	ratio	25	1.0957191780821918	1.0920041899441342	1.0961341961852862
gqa2	4	occ1	l05_ms	25	0.376832	0.374784	0.377856
gqa2	4	occ1	notify_ms	25	0.05449599999999999	0.05427199999999999	0.05651200000000001
gqa2	4	occ1	wait_ms	25	0.029696	0.02454400000000001	0.029920000000000002
gqa2	4	occ1	barrier_ms	25	0.041983999999999966	0.041184	0.04214399999999996
gqa2	4	occ1	loop_ms	25	-0.006144000000000038	-0.007168000000000008	-0.005983999999999989
gqa2	4	occ1	gap_ms	25	0.03584000000000004	0.03379199999999999	0.03612800000000005
gqa2	4	occ1	closure_us	25	0.0	0.0	0.0
gqa2	4	occ2	l1_ms	25	0.37488	0.37376	0.40448
gqa2	4	occ2	l2_ms	25	0.411808	0.41072	0.438176
gqa2	4	occ2	ratio	25	1.0978122073720948	1.0858585858585859	1.0987875683060109
gqa2	4	occ2	l05_ms	25	0.3768	0.374848	0.39632
gqa2	4	occ2	notify_ms	25	0.05120000000000002	0.0504	0.05536000000000002
gqa2	4	occ2	wait_ms	25	0.03276800000000002	0.027488000000000012	0.03379199999999999
gqa2	4	occ2	barrier_ms	25	0.04105599999999998	0.040959999999999996	0.041983999999999966
gqa2	4	occ2	loop_ms	25	-0.007039999999999991	-0.008223999999999954	-0.006143999999999983
gqa2	4	occ2	gap_ms	25	0.036736000000000046	0.03459200000000001	0.03686400000000001
gqa2	4	occ2	closure_us	25	0.0	0.0	0.0
gqa2	128	occ1	l1_ms	25	0.523264	0.521216	0.56544
gqa2	128	occ1	l2_ms	25	0.567104	0.566272	0.608256
gqa2	128	occ1	ratio	25	1.075858940923007	1.0742753623188406	1.0840073529411762
gqa2	128	occ1	l05_ms	25	0.524288	0.523264	0.562176
gqa2	128	occ1	notify_ms	25	0.06441599999999997	0.06252800000000003	0.06751999999999991
gqa2	128	occ1	wait_ms	25	0.026624000000000092	0.024863999999999997	0.029535999999999896
gqa2	128	occ1	barrier_ms	25	0.03827200000000003	0.03801599999999994	0.03920000000000001
gqa2	128	occ1	loop_ms	25	-0.011264000000000052	-0.012288000000000077	-0.009216000000000002
gqa2	128	occ1	gap_ms	25	0.042815999999999965	0.04198400000000002	0.043935999999999975
gqa2	128	occ1	closure_us	25	0.0	0.0	0.0
gqa2	128	occ2	l1_ms	25	0.564416	0.52224	0.565472
gqa2	128	occ2	l2_ms	25	0.60624	0.566944	0.607232
gqa2	128	occ2	ratio	25	1.0755846796972095	1.0745795345149782	1.084313725490196
gqa2	128	occ2	l05_ms	25	0.561152	0.523264	0.562112
gqa2	128	occ2	notify_ms	25	0.06668800000000003	0.06246400000000002	0.06963200000000003
