slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	prefetch_wait_cycles	prefetch_issued
0	1	0	0	0	1	0	1789817918622507008	6190976017717	1789817918622508032	6190976021445	1789817918622508032	6190976021445	1789817918622509056	6190976023852	1789817918622509056	6190976024687	1789817918622509056	6190976024825	0	0	0	0	2429	1
1	0	32	16	32	1	3072	1789817918622512128	6190976030167	1789817918622513152	6190976033302	1789817918622513152	6190976034220	1789817918622520320	6190976052536	1789817918622521344	6190976054783	1789817918622521344	6190976055095	6190976034340	6190976052415	5623	16	688	0
2	2	0	0	0	1	0	1789817918622525440	6190976063313	1789817918622525440	6190976065527	1789817918622525440	6190976065527	1789817918622526464	6190976067283	1789817918622526464	6190976067316	1789817918622526464	6190976067468	0	0	0	0	454	0
3	3	0	0	0	1	0	1789817918622528512	6190976070865	1789817918622528512	6190976072724	1789817918622528512	6190976072724	1789817918622529536	6190976074003	1789817918622529536	6190976074040	1789817918622529536	6190976074171	0	0	0	0	310	0
4	5	0	0	0	1	0	1789817918622533632	6190976084094	1789817918622534656	6190976086727	1789817918622534656	6190976086727	1789817918622560256	6190976151294	1789817918622560256	6190976151326	1789817918622560256	6190976151456	0	0	0	0	785	0
5	0	32	16	32	1	3072	1789817918622565376	6190976163688	1789817918622566400	6190976167620	1789817918622567424	6190976169278	1789817918622578688	6190976197397	1789817918622579712	6190976201418	1789817918622579712	6190976201566	6190976169383	6190976197244	11377	16	966	0
6	1	0	0	0	1	0	1789817918622583808	6190976210592	1789817918622584832	6190976214738	1789817918622584832	6190976214738	1789817918622586880	6190976218382	1789817918622586880	6190976219140	1789817918622586880	6190976219271	0	0	0	0	2371	1
7	0	32	16	32	1	3072	1789817918622589952	6190976225485	1789817918622590976	6190976228727	1789817918622590976	6190976229569	1789817918622599168	6190976249240	1789817918622600192	6190976251579	1789817918622600192	6190976251800	6190976230405	6190976249039	6771	16	541	0
8	4	0	0	0	1	0	1789817918622609408	6190976273905	1789817918622609408	6190976276271	1789817918622609408	6190976276271	1789817918622612480	6190976282952	1789817918622612480	6190976282984	1789817918622612480	6190976283116	0	0	0	0	1054	0
9	0	32	16	32	1	3072	1789817918622614528	6190976289043	1789817918622616576	6190976292131	1789817918622616576	6190976293021	1789817918622629888	6190976327647	1789817918622631936	6190976331152	1789817918622631936	6190976331386	6190976293045	6190976327423	14713	32	1015	0
10	1	0	0	0	1	0	1789817918622636032	6190976342712	1789817918622638080	6190976346757	1789817918622638080	6190976346757	1789817918622639104	6190976349244	1789817918622639104	6190976350291	1789817918622639104	6190976350421	0	0	0	0	2808	1
