stages 30
levels 28
widest_level 2
barriers_saved 2

position	stage	level
0	0	0
1	1	1
2	2	2
3	3	3
4	4	4
5	5	5
6	7	5
7	6	6
8	8	7
9	9	8
10	10	9
11	11	10
12	12	11
13	13	12
14	14	13
15	15	14
16	16	15
17	17	16
18	18	17
19	19	18
20	20	19
21	22	19
22	21	20
23	23	21
24	24	22
25	25	23
26	26	24
27	27	25
28	28	26
29	29	27
