model	arm	variants	l05_ms	l1_ms	l2_ms	pass	max_rel	smem	ctas_per_sm	grid	hash
gqa2	uniform	1	0.172032	0.169248	0.185344	25/25	0.0018315018	10496	2	256	8a737188b958a2ae
gqa2	split_only	1	0.172032	0.163840	0.185088	25/25	0.0018315018	10496	2	256	181f00ee09cbc404
gqa2	per_op	2	0.171776	0.164800	0.183072	25/25	0.0018315018	10496	2	256	181f00ee09cbc404
gqa2	best_uniform	1	0.175104	0.173248	0.189440	25/25	0.0018315018	31488	2	256	8a737188b958a2ae
mha4	uniform	1	0.320480	0.325632	0.358400	25/25	0.0063868612	10496	2	256	472fe4e8596656af
mha4	split_only	1	0.319488	0.316672	0.362496	25/25	0.0063868612	10496	2	256	8e7d8380a8c19ba0
mha4	per_op	1	0.319488	0.317440	0.362368	25/25	0.0063868612	10496	2	256	8e7d8380a8c19ba0
mha4	best_uniform	1	0.320512	0.325664	0.358400	25/25	0.0063868612	10496	2	256	472fe4e8596656af
