model	arm	variants	l05_ms	l1_ms	l2_ms	pass	max_rel	smem	ctas_per_sm	grid	hash
gqa2	uniform	1	0.169856	0.166976	0.184320	400/400	0.0018315018	10496	2	256	8a737188b958a2ae
gqa2	split_only	1	0.168960	0.163040	0.183200	400/400	0.0018315018	10496	2	256	181f00ee09cbc404
gqa2	per_op	2	0.167936	0.163776	0.181488	400/400	0.0018315018	10496	2	256	181f00ee09cbc404
gqa2	best_uniform	1	0.172080	0.172256	0.188448	400/400	0.0018315018	31488	2	256	8a737188b958a2ae
mha4	uniform	1	0.318464	0.324640	0.357376	400/400	0.0063868612	10496	2	256	472fe4e8596656af
mha4	split_only	1	0.316352	0.316416	0.359424	400/400	0.0063868612	10496	2	256	8e7d8380a8c19ba0
mha4	per_op	1	0.316144	0.316416	0.359424	400/400	0.0063868612	10496	2	256	8e7d8380a8c19ba0
mha4	best_uniform	1	0.318464	0.324608	0.357376	400/400	0.0063868612	10496	2	256	472fe4e8596656af
