stage	logical_stage	combine	task_ns	count
0	0	0	2048	128
1	1	0	5564	128
2	2	0	6160	64
3	3	0	6104	64
4	4	0	1168	512
5	5	0	1028	256
6	6	0	868	256
7	7	0	948	256
8	8	0	19118	512
9	9	0	15060	128
10	10	0	2048	128
11	11	0	6592	256
12	12	0	6352	256
13	13	0	3072	128
14	14	0	14832	128
15	15	0	2048	128
16	16	0	6480	128
17	17	0	6616	64
18	18	0	6672	64
19	19	0	1150	512
20	20	0	1024	256
21	21	0	728	256
22	22	0	920	256
23	23	0	19394	512
24	24	0	14784	128
25	25	0	2048	128
26	26	0	6536	256
27	27	0	6480	256
28	28	0	3072	128
29	29	0	14792	128
