m	n	k	stages	split	kappa	residency	status	work_lb_ns	cp_lb_ns	priority_ns	estimated_work_ns	estimated_stage_cp_ns	register_seed	key
32	16	16	2	1	1	1	project	8134.407757575757	0.0	685096.000001	87692288.0	278896.0	88	32x16x16s2k1_k1_r1
32	16	16	2	1	1	2	project	8134.407757575757	0.0	342548.000001	87692288.0	278896.0	88	32x16x16s2k1_k1_r2
32	16	16	2	1	1	5	project	8134.407757575757	0.0	278896.000001	87692288.0	278896.0	88	32x16x16s2k1_k1_r5
32	16	16	2	1	2	1	project	8134.407757575757	0.0	685096.000002	87692288.0	278896.0	88	32x16x16s2k1_k2_r1
32	16	16	2	1	2	2	project	8134.407757575757	0.0	342548.000002	87692288.0	278896.0	88	32x16x16s2k1_k2_r2
32	16	16	2	1	2	5	project	8134.407757575757	0.0	278896.000002	87692288.0	278896.0	88	32x16x16s2k1_k2_r5
32	16	16	2	1	4	1	project	8134.407757575757	0.0	685096.000004	87692288.0	278896.0	88	32x16x16s2k1_k4_r1
32	16	16	2	1	4	2	project	8134.407757575757	0.0	342548.000004	87692288.0	278896.0	88	32x16x16s2k1_k4_r2
32	16	16	2	1	4	5	project	8134.407757575757	0.0	278896.000004	87692288.0	278896.0	88	32x16x16s2k1_k4_r5
32	16	32	2	1	1	1	project	8134.407757575757	0.0	685096.000001	87692288.0	278896.0	88	32x16x32s2k1_k1_r1
32	16	32	2	1	1	2	project	8134.407757575757	0.0	342548.000001	87692288.0	278896.0	88	32x16x32s2k1_k1_r2
32	16	32	2	1	1	5	project	8134.407757575757	0.0	278896.000001	87692288.0	278896.0	88	32x16x32s2k1_k1_r5
32	16	32	2	1	2	1	project	8134.407757575757	0.0	685096.000002	87692288.0	278896.0	88	32x16x32s2k1_k2_r1
32	16	32	2	1	2	2	project	8134.407757575757	0.0	342548.000002	87692288.0	278896.0	88	32x16x32s2k1_k2_r2
32	16	32	2	1	2	5	project	8134.407757575757	0.0	278896.000002	87692288.0	278896.0	88	32x16x32s2k1_k2_r5
32	16	32	2	1	4	1	project	8134.407757575757	0.0	685096.000004	87692288.0	278896.0	88	32x16x32s2k1_k4_r1
32	16	32	2	1	4	2	project	8134.407757575757	0.0	342548.000004	87692288.0	278896.0	88	32x16x32s2k1_k4_r2
32	16	32	2	1	4	5	project	8134.407757575757	0.0	278896.000004	87692288.0	278896.0	88	32x16x32s2k1_k4_r5
32	32	16	2	1	1	1	project	8134.407757575757	0.0	554529.6000010001	70979788.80000001	293488.79999999993	88	32x32x16s2k1_k1_r1
32	32	16	2	1	1	2	project	8134.407757575757	0.0	293488.80000099994	70979788.80000001	293488.79999999993	88	32x32x16s2k1_k1_r2
32	32	16	2	1	1	5	project	8134.407757575757	0.0	293488.80000099994	70979788.80000001	293488.79999999993	88	32x32x16s2k1_k1_r5
32	32	16	2	1	2	1	project	8134.407757575757	0.0	554529.6000020001	70979788.80000001	293488.79999999993	88	32x32x16s2k1_k2_r1
32	32	16	2	1	2	2	project	8134.407757575757	0.0	293488.80000199995	70979788.80000001	293488.79999999993	88	32x32x16s2k1_k2_r2
32	32	16	2	1	2	5	project	8134.407757575757	0.0	293488.80000199995	70979788.80000001	293488.79999999993	88	32x32x16s2k1_k2_r5
32	32	16	2	1	4	1	project	8134.407757575757	0.0	554529.6000040001	70979788.80000001	293488.79999999993	88	32x32x16s2k1_k4_r1
32	32	16	2	1	4	2	project	8134.407757575757	0.0	293488.8000039999	70979788.80000001	293488.79999999993	88	32x32x16s2k1_k4_r2
32	32	16	2	1	4	5	project	8134.407757575757	0.0	293488.8000039999	70979788.80000001	293488.79999999993	88	32x32x16s2k1_k4_r5
128	128	16	3	1	1	1	project	8134.407757575757	0.0	606396.000001	54316032.0	606396.0	220	128x128x16s3k1_k1_r1
128	128	16	3	1	1	2	project	8134.407757575757	0.0	606396.000001	54316032.0	606396.0	220	128x128x16s3k1_k1_r2
128	128	16	3	1	2	1	project	8134.407757575757	0.0	606396.000002	54316032.0	606396.0	220	128x128x16s3k1_k2_r1
128	128	16	3	1	2	2	project	8134.407757575757	0.0	606396.000002	54316032.0	606396.0	220	128x128x16s3k1_k2_r2
128	128	16	3	1	4	1	project	8134.407757575757	0.0	606396.000004	54316032.0	606396.0	220	128x128x16s3k1_k4_r1
128	128	16	3	1	4	2	project	8134.407757575757	0.0	606396.000004	54316032.0	606396.0	220	128x128x16s3k1_k4_r2
