key	placement	status	simulated	makespan_ns	floor_ns
32x16x16s2k1_k1_r5	eft	ok	1	449428.527613	283596
32x16x32s2k1_k1_r5	eft	ok	1	449428.527613	283596
32x16x16s2k1_k2_r5	eft	ok	1	454967.281032	283596
32x16x32s2k1_k2_r5	eft	ok	1	454967.281032	283596
32x16x16s2k1_k4_r5	eft	ok	1	454967.281032	283596
32x16x32s2k1_k4_r5	eft	ok	1	454967.281032	283596
32x16x16s2k1_k1_r5	rotate	ok	1	463262.753876	278896
32x16x32s2k1_k1_r5	rotate	ok	1	463262.753876	278896
32x16x16s2k1_k2_r5	rotate	ok	1	463262.753876	278896
32x16x32s2k1_k2_r5	rotate	ok	1	463262.753876	278896
32x16x16s2k1_k4_r5	rotate	ok	1	463262.753876	278896
32x16x32s2k1_k4_r5	rotate	ok	1	463262.753876	278896
32x32x16s2k1_k1_r5	eft	ok	1	464000.527613	298188.8
32x32x16s2k1_k2_r5	eft	ok	1	469560.081032	298188.8
32x32x16s2k1_k4_r5	eft	ok	1	469560.081032	298188.8
32x32x16s2k1_k1_r5	rotate	ok	1	477855.553876	293488.8
32x32x16s2k1_k2_r5	rotate	ok	1	477855.553876	293488.8
32x32x16s2k1_k4_r5	rotate	ok	1	477855.553876	293488.8
32x32x16s2k1_k1_r5	chain	ok	1	563900.803909	293488.8
32x32x16s2k1_k1_r2	rotate	ok	1	566616.594643	293488.8
32x32x16s2k1_k1_r2	eft	ok	1	566616.594643	392728.8
32x16x16s2k1_k1_r5	chain	ok	1	569627.970543	278896
32x16x32s2k1_k1_r5	chain	ok	1	569627.970543	278896
32x32x16s2k1_k2_r5	chain	ok	1	570983.925539	293488.8
32x32x16s2k1_k4_r5	chain	ok	1	570983.925539	293488.8
32x16x16s2k1_k2_r5	chain	ok	1	573872.595559	278896
32x16x32s2k1_k2_r5	chain	ok	1	573872.595559	278896
32x16x16s2k1_k4_r5	chain	ok	1	573872.595559	278896
32x16x32s2k1_k4_r5	chain	ok	1	573872.595559	278896
32x16x16s2k1_k1_r2	rotate	ok	1	604821.17466	349566
32x16x32s2k1_k1_r2	rotate	ok	1	604821.17466	349566
32x32x16s2k1_k2_r2	rotate	ok	1	604975.067617	293488.8
