m	n	k	stages	split	kappa	residency	status	work_lb_ns	cp_lb_ns	priority_ns	estimated_work_ns	estimated_stage_sum_ns	register_seed	key
32	16	16	2	1	1	1	project	676782.725430303	0.0	21414872.000001	2741103616.0	3731810.7142857146	0	32x16x16s2k1_k1_r1
32	16	16	2	1	1	2	project	676782.725430303	0.0	10707436.000001	2741103616.0	3731810.7142857146	0	32x16x16s2k1_k1_r2
32	16	16	2	1	2	1	project	676782.725430303	0.0	21414872.000002	2741103616.0	3731810.7142857146	0	32x16x16s2k1_k2_r1
32	16	16	2	1	2	2	project	676782.725430303	0.0	10707436.000002	2741103616.0	3731810.7142857146	0	32x16x16s2k1_k2_r2
32	16	16	2	1	4	1	project	676782.725430303	0.0	21414872.000004	2741103616.0	3731810.7142857146	0	32x16x16s2k1_k4_r1
32	16	16	2	1	4	2	project	676782.725430303	0.0	10707436.000004	2741103616.0	3731810.7142857146	0	32x16x16s2k1_k4_r2
64	128	16	2	2	1	1	project	676782.725430303	0.0	14438834.880000995	1848170864.6399994	5813926.197142857	0	64x128x16s2k2_k1_r1
64	128	16	2	2	1	2	project	676782.725430303	0.0	7219417.440000998	1848170864.6399994	5813926.197142857	0	64x128x16s2k2_k1_r2
64	128	16	2	2	2	1	project	676782.725430303	0.0	14438834.880001996	1848170864.6399994	5813926.197142857	0	64x128x16s2k2_k2_r1
64	128	16	2	2	2	2	project	676782.725430303	0.0	7219417.440001997	1848170864.6399994	5813926.197142857	0	64x128x16s2k2_k2_r2
64	128	16	2	2	4	1	project	676782.725430303	0.0	14438834.880003994	1848170864.6399994	5813926.197142857	0	64x128x16s2k2_k4_r1
64	128	16	2	2	4	2	project	676782.725430303	0.0	7219417.440003998	1848170864.6399994	5813926.197142857	0	64x128x16s2k2_k4_r2
128	128	16	2	4	1	1	project	676782.725430303	0.0	13892642.560001	1778258247.68	5535798.802857143	0	128x128x16s2k4_k1_r1
128	128	16	2	4	1	2	project	676782.725430303	0.0	6946321.2800010005	1778258247.68	5535798.802857143	0	128x128x16s2k4_k1_r2
128	128	16	2	4	2	1	project	676782.725430303	0.0	13892642.560002001	1778258247.68	5535798.802857143	0	128x128x16s2k4_k2_r1
128	128	16	2	4	2	2	project	676782.725430303	0.0	6946321.280002	1778258247.68	5535798.802857143	0	128x128x16s2k4_k2_r2
128	128	16	2	4	4	1	project	676782.725430303	0.0	13892642.560004	1778258247.68	5535798.802857143	0	128x128x16s2k4_k4_r1
128	128	16	2	4	4	2	project	676782.725430303	0.0	6946321.280004	1778258247.68	5535798.802857143	0	128x128x16s2k4_k4_r2
128	128	32	2	4	1	1	project	676782.725430303	0.0	13892642.560001	1778258247.68	5535798.802857143	0	128x128x32s2k4_k1_r1
128	128	32	2	4	1	2	project	676782.725430303	0.0	6946321.2800010005	1778258247.68	5535798.802857143	0	128x128x32s2k4_k1_r2
128	128	32	2	4	2	1	project	676782.725430303	0.0	13892642.560002001	1778258247.68	5535798.802857143	0	128x128x32s2k4_k2_r1
128	128	32	2	4	2	2	project	676782.725430303	0.0	6946321.280002	1778258247.68	5535798.802857143	0	128x128x32s2k4_k2_r2
128	128	32	2	4	4	1	project	676782.725430303	0.0	13892642.560004	1778258247.68	5535798.802857143	0	128x128x32s2k4_k4_r1
128	128	32	2	4	4	2	project	676782.725430303	0.0	6946321.280004	1778258247.68	5535798.802857143	0	128x128x32s2k4_k4_r2
128	128	16	3	1	1	1	project	676782.725430303	0.0	13401984.000001	1715453952.0	11615458.642857142	0	128x128x16s3k1_k1_r1
128	128	16	3	1	1	2	project	676782.725430303	0.0	11615458.642858142	1715453952.0	11615458.642857142	0	128x128x16s3k1_k1_r2
128	128	16	3	1	2	1	project	676782.725430303	0.0	13401984.000002	1715453952.0	11615458.642857142	0	128x128x16s3k1_k2_r1
128	128	16	3	1	2	2	project	676782.725430303	0.0	11615458.642859142	1715453952.0	11615458.642857142	0	128x128x16s3k1_k2_r2
128	128	16	3	1	4	1	project	676782.725430303	0.0	13401984.000004	1715453952.0	11615458.642857142	0	128x128x16s3k1_k4_r1
128	128	16	3	1	4	2	project	676782.725430303	0.0	11615458.64286114	1715453952.0	11615458.642857142	0	128x128x16s3k1_k4_r2
