space	tasks	nominal_read_bytes	nominal_write_bytes	physical_read_bytes	physical_write_bytes	no_producer_read_bytes	produced_read_bytes	external_write_bytes
l0.s00.embed	4	16416	16384	16416	16384	16416	0	0
l0.s01.norm	4	32768	16384	32768	16384	16384	16384	0
l0.s02.proj	64	16777216	131072	9437184	16384	8388608	1048576	0
l0.s03.proj	32	6291456	32768	2621440	4096	2097152	524288	0
l0.s04.proj	32	6291456	32768	2621440	4096	2097152	524288	0
l0.s05.rope	128	24576	16384	24576	16384	8192	16384	0
l0.s06.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s07.append	32	4096	4096	4096	4096	0	4096	4096
l0.s08.append	32	4096	4096	4096	4096	0	4096	4096
l0.s09.attn	128	221184	16384	221184	16384	98304	122880	0
l0.s10.proj	128	25165824	131072	10485760	16384	8388608	2097152	0
l0.s11.norm	4	32768	16384	32768	16384	16384	16384	0
l0.s12.proj	64	41943040	524288	34603008	65536	33554432	1048576	0
l0.s13.proj	64	41943040	524288	34603008	65536	33554432	1048576	0
l0.s14.act	4	131072	65536	131072	65536	0	131072	0
l0.s15.proj	128	100663296	131072	41943040	16384	33554432	8388608	0
l0.s16.norm	4	32768	16384	32768	16384	16384	16384	0
l0.s17.proj	64	16777216	131072	9437184	16384	8388608	1048576	0
l0.s18.proj	32	6291456	32768	2621440	4096	2097152	524288	0
l0.s19.proj	32	6291456	32768	2621440	4096	2097152	524288	0
l0.s20.rope	128	24576	16384	24576	16384	8192	16384	0
l0.s21.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s22.append	32	4096	4096	4096	4096	0	4096	4096
l0.s23.append	32	4096	4096	4096	4096	0	4096	4096
l0.s24.attn	128	221184	16384	221184	16384	98304	122880	0
l0.s25.proj	128	25165824	131072	10485760	16384	8388608	2097152	0
l0.s26.norm	4	32768	16384	32768	16384	16384	16384	0
l0.s27.proj	64	41943040	524288	34603008	65536	33554432	1048576	0
l0.s28.proj	64	41943040	524288	34603008	65536	33554432	1048576	0
l0.s29.act	4	131072	65536	131072	65536	0	131072	0
l0.s30.proj	128	100663296	131072	41943040	16384	33554432	8388608	0
l0.s31.norm	4	32768	16384	32768	16384	16384	16384	0
l0.s32.proj	64	16777216	131072	9437184	16384	8388608	1048576	0
l0.s33.proj	32	6291456	32768	2621440	4096	2097152	524288	0
l0.s34.proj	32	6291456	32768	2621440	4096	2097152	524288	0
l0.s35.rope	128	24576	16384	24576	16384	8192	16384	0
l0.s36.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s37.append	32	4096	4096	4096	4096	0	4096	4096
l0.s38.append	32	4096	4096	4096	4096	0	4096	4096
l0.s39.attn	128	221184	16384	221184	16384	98304	122880	0
l0.s40.proj	128	25165824	131072	10485760	16384	8388608	2097152	0
l0.s41.norm	4	32768	16384	32768	16384	16384	16384	0
l0.s42.proj	64	41943040	524288	34603008	65536	33554432	1048576	0
l0.s43.proj	64	41943040	524288	34603008	65536	33554432	1048576	0
l0.s44.act	4	131072	65536	131072	65536	0	131072	0
l0.s45.proj	128	100663296	131072	41943040	16384	33554432	8388608	0
l0.s46.norm	4	32768	16384	32768	16384	16384	16384	0
l0.s47.proj	64	16777216	131072	9437184	16384	8388608	1048576	0
l0.s48.proj	32	6291456	32768	2621440	4096	2097152	524288	0
l0.s49.proj	32	6291456	32768	2621440	4096	2097152	524288	0
l0.s50.rope	128	24576	16384	24576	16384	8192	16384	0
l0.s51.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s52.append	32	4096	4096	4096	4096	0	4096	4096
l0.s53.append	32	4096	4096	4096	4096	0	4096	4096
l0.s54.attn	128	221184	16384	221184	16384	98304	122880	0
l0.s55.proj	128	25165824	131072	10485760	16384	8388608	2097152	0
l0.s56.norm	4	32768	16384	32768	16384	16384	16384	0
l0.s57.proj	64	41943040	524288	34603008	65536	33554432	1048576	0
l0.s58.proj	64	41943040	524288	34603008	65536	33554432	1048576	0
l0.s59.act	4	131072	65536	131072	65536	0	131072	0
l0.s60.proj	128	100663296	131072	41943040	16384	33554432	8388608	0
