model	seq	k	index	candidate	simulated	predicted_ns	batch_us
gqa2	4	1	0	rotate	1	377996.726153	61.037
gqa2	4	1	1	wavefront	1	377996.726153	61.037
gqa2	4	1	2	legacy_grid_stride	0	482838.366029	61.037
gqa2	4	1	3	band	0	482838.366029	61.037
gqa2	4	1	4	balanced	0	604779.073854	61.037
gqa2	4	2	0	rotate	1	377996.726153	54.919
gqa2	4	2	1	wavefront	1	377996.726153	54.919
gqa2	4	2	2	legacy_grid_stride	0	482838.366029	54.919
gqa2	4	2	3	band	0	482838.366029	54.919
gqa2	4	2	4	balanced	0	604779.073854	54.919
gqa2	4	3	0	rotate	1	377996.726153	79.297
gqa2	4	3	1	wavefront	1	377996.726153	79.297
gqa2	4	3	2	legacy_grid_stride	1	575860.694807	79.297
gqa2	4	3	3	band	1	575860.694807	79.297
gqa2	4	3	4	balanced	0	604779.073854	79.297
gqa2	4	4	0	rotate	1	377996.726153	78.079
gqa2	4	4	1	wavefront	1	377996.726153	78.079
gqa2	4	4	2	legacy_grid_stride	1	575860.694807	78.079
gqa2	4	4	3	band	1	575860.694807	78.079
gqa2	4	4	4	balanced	0	604779.073854	78.079
gqa2	4	5	0	rotate	1	377996.726153	94.509
gqa2	4	5	1	wavefront	1	377996.726153	94.509
gqa2	4	5	2	legacy_grid_stride	1	575860.694807	94.509
gqa2	4	5	3	band	1	575860.694807	94.509
gqa2	4	5	4	balanced	1	777056.702618	94.509
gqa2	128	1	0	rotate	1	399351.538613	739.555
gqa2	128	1	1	wavefront	1	399351.538613	739.555
gqa2	128	1	2	legacy_grid_stride	0	490422.333139	739.555
gqa2	128	1	3	band	0	490422.333139	739.555
gqa2	128	1	4	balanced	0	502798.594692	739.555
gqa2	128	2	0	rotate	1	399351.538613	734.517
gqa2	128	2	1	wavefront	1	399351.538613	734.517
gqa2	128	2	2	legacy_grid_stride	0	490422.333139	734.517
gqa2	128	2	3	band	0	490422.333139	734.517
gqa2	128	2	4	balanced	0	502798.594692	734.517
gqa2	128	3	0	rotate	1	399351.538613	1147.096
gqa2	128	3	1	wavefront	1	399351.538613	1147.096
gqa2	128	3	2	legacy_grid_stride	1	592650.391567	1147.096
gqa2	128	3	3	band	1	592650.391567	1147.096
gqa2	128	3	4	balanced	0	502798.594692	1147.096
gqa2	128	4	0	rotate	1	399351.538613	1137
gqa2	128	4	1	wavefront	1	399351.538613	1137
gqa2	128	4	2	legacy_grid_stride	1	592650.391567	1137
gqa2	128	4	3	band	1	592650.391567	1137
gqa2	128	4	4	balanced	0	502798.594692	1137
gqa2	128	5	0	rotate	1	399351.538613	1355.534
gqa2	128	5	1	wavefront	1	399351.538613	1355.534
gqa2	128	5	2	legacy_grid_stride	1	592650.391567	1355.534
gqa2	128	5	3	band	1	592650.391567	1355.534
gqa2	128	5	4	balanced	1	962709.657603	1355.534
gqa2	512	1	0	rotate	1	599411.56682	3288.32
gqa2	512	1	1	wavefront	1	599411.56682	3288.32
gqa2	512	1	2	legacy_grid_stride	0	592096.471621	3288.32
gqa2	512	1	3	band	0	592096.471621	3288.32
gqa2	512	1	4	balanced	0	1006323.88889	3288.32
gqa2	512	2	0	rotate	1	599411.56682	3231.541
gqa2	512	2	1	wavefront	1	599411.56682	3231.541
gqa2	512	2	2	legacy_grid_stride	0	592096.471621	3231.541
gqa2	512	2	3	band	0	592096.471621	3231.541
gqa2	512	2	4	balanced	0	1006323.88889	3231.541
gqa2	512	3	0	rotate	1	599411.56682	4937.752
gqa2	512	3	1	wavefront	1	599411.56682	4937.752
gqa2	512	3	2	legacy_grid_stride	1	792710.419773	4937.752
gqa2	512	3	3	band	1	798887.478778	4937.752
gqa2	512	3	4	balanced	0	1006323.88889	4937.752
gqa2	512	4	0	rotate	1	599411.56682	4965.625
gqa2	512	4	1	wavefront	1	599411.56682	4965.625
gqa2	512	4	2	legacy_grid_stride	1	792710.419773	4965.625
gqa2	512	4	3	band	1	798887.478778	4965.625
gqa2	512	4	4	balanced	0	1006323.88889	4965.625
gqa2	512	5	0	rotate	1	599411.56682	5826.736
gqa2	512	5	1	wavefront	1	599411.56682	5826.736
gqa2	512	5	2	legacy_grid_stride	1	792710.419773	5826.736
gqa2	512	5	3	band	1	798887.478778	5826.736
gqa2	512	5	4	balanced	1	1873659.30634	5826.736
mha4	4	1	0	rotate	1	760067.36072	115.505
mha4	4	1	1	wavefront	1	760067.36072	115.505
mha4	4	1	2	legacy_grid_stride	0	965676.732058	115.505
mha4	4	1	3	band	0	965676.732058	115.505
mha4	4	1	4	balanced	0	1202387.90351	115.505
mha4	4	2	0	rotate	1	760067.36072	106.443
mha4	4	2	1	wavefront	1	760067.36072	106.443
mha4	4	2	2	legacy_grid_stride	0	965676.732058	106.443
mha4	4	2	3	band	0	965676.732058	106.443
mha4	4	2	4	balanced	0	1202387.90351	106.443
