model	seq	candidate	prepare_us	coarse_us	full_us	coarse_ns	full_ns	binding_cp_ns	semantic_cp_ns	queue_lb_ns
gqa2	4	legacy_grid_stride	39.542	9.113	23.814	482838.366029	575860.694807	482838.366029	300592.466274	482838.366029
gqa2	4	rotate	39.542	5.874	20.758	300592.466274	377996.726153	300592.466274	300592.466274	52573.7545242
gqa2	4	balanced	39.542	9.012	20.637	604779.073854	777056.702618	604779.073854	300592.466274	344878.38145
gqa2	4	band	39.542	5.876	15.566	482838.366029	575860.694807	482838.366029	300592.466274	482838.366029
gqa2	4	wavefront	39.542	5.883	15.894	300592.466274	377996.726153	300592.466274	300592.466274	300592.466274
gqa2	128	legacy_grid_stride	2500.67	76.972	225.859	490422.333139	592650.391567	490422.333139	302182.209878	490422.333139
gqa2	128	rotate	2500.67	62.581	210.397	311683.636266	399351.538613	311683.636266	302182.209878	75095.4927997
gqa2	128	balanced	2500.67	66.939	218.678	502798.594692	962709.657603	502798.594692	302182.209878	139565.823728
gqa2	128	band	2500.67	62.225	212.882	490422.333139	592650.391567	490422.333139	302182.209878	490422.333139
gqa2	128	wavefront	2500.67	61.675	208.74	311683.636266	399351.538613	311683.636266	302182.209878	311683.636266
gqa2	512	legacy_grid_stride	35451.816	357.433	910.911	592096.471621	792710.419773	592096.471621	307105.286843	592096.471621
gqa2	512	rotate	35451.816	378.834	981.879	413357.774748	599411.56682	413357.774748	307105.286843	182045.32335
gqa2	512	balanced	35451.816	281.761	884.972	1006323.88889	1873659.30634	1006323.88889	307105.286843	316995.409371
gqa2	512	band	35451.816	290.623	915.659	592096.471621	798887.478778	592096.471621	307105.286843	592096.471621
gqa2	512	wavefront	35451.816	323.602	878.832	413357.774748	599411.56682	413357.774748	307105.286843	413357.774748
mha4	4	legacy_grid_stride	83.096	13.597	38.594	965676.732058	1155795.29803	965676.732058	601184.932549	965676.732058
mha4	4	rotate	83.096	10.578	37.452	601184.932549	760067.36072	601184.932549	601184.932549	105147.509048
mha4	4	balanced	83.096	13.16	30.464	1202387.90351	1532895.74579	1202387.90351	601184.932549	539407.72892
mha4	4	band	83.096	9.805	27.488	965676.732058	1155795.29803	965676.732058	601184.932549	965676.732058
mha4	4	wavefront	83.096	9.911	30.862	601184.932549	760067.36072	601184.932549	601184.932549	601184.932549
mha4	128	legacy_grid_stride	10199.761	208.46	579.522	991359.864666	1222597.86284	991359.864666	604364.419756	991359.864666
mha4	128	rotate	10199.761	206.345	569.464	633882.470919	836000.156937	633882.470919	604364.419756	135715.555062
mha4	128	balanced	10199.761	176.932	576.232	1942241.90832	3553260.51267	1942241.90832	604364.419756	273291.997105
mha4	128	band	10199.761	167.904	559.444	991359.864666	1222597.86284	991359.864666	604364.419756	991359.864666
mha4	128	wavefront	10199.761	163.08	560.562	633882.470919	836000.156937	633882.470919	604364.419756	633882.470919
mha4	512	legacy_grid_stride	145561.384	1148.798	2480.201	1226253.73679	1722916.38956	1226253.73679	614210.573687	1226253.73679
mha4	512	rotate	145561.384	1067.442	2477.199	868776.343045	1336318.68365	868776.343045	614210.573687	413157.25135
mha4	512	balanced	145561.384	823.973	2285.749	3894916.88076	7321170.414	3894916.88076	614210.573687	774969.352377
mha4	512	band	145561.384	853.57	2453.312	1226253.73679	1736505.91937	1226253.73679	614210.573687	1226253.73679
mha4	512	wavefront	145561.384	900.477	2233.656	868776.343045	1336318.68365	868776.343045	614210.573687	868776.343045
real	4	legacy_grid_stride	620.84	58.041	149.983	7177929.61842	7368048.18439	7177929.61842	4899234.03323	7177929.61842
real	4	rotate	620.84	40.244	139.556	4899234.03323	5058116.4614	4899234.03323	4899234.03323	1597034.63191
real	4	balanced	620.84	46.574	145.639	63188605.8139	64580098.6872	63188605.8139	4899234.03323	10607289.8847
real	4	band	620.84	41.243	134.85	7177929.61842	7368048.18439	7177929.61842	4899234.03323	7177929.61842
real	4	wavefront	620.84	40.015	134.952	4899234.03323	5058116.4614	4899234.03323	4899234.03323	4899234.03323
real	128	legacy_grid_stride	242049.983	1306.672	2873.3	7486571.823	8020986.19717	7486571.823	4907521.74536	7486571.823
real	128	rotate	242049.983	1169.862	2782.368	5215240.80545	5720534.86746	5215240.80545	4907521.74536	2123351.20626
real	128	balanced	242049.983	943.372	2526.844	15852768.6348	18754451.6751	15852768.6348	4907521.74536	5719063.68387
real	128	band	242049.983	938.318	2750.845	7486571.823	8020986.19717	7486571.823	4907521.74536	7486571.823
real	128	wavefront	242049.983	1006.34	2624.272	5215240.80545	5720534.86746	5215240.80545	4907521.74536	5215240.80545
