slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
26	1	0	0	0	1	0	1789794416969971712	1098105543338	1789794416969971712	1098105544564	1789794416969971712	1098105544564	1789794416969972736	1098105547357	1789794416969973760	1098105549141	1789794416969973760	1098105549272	0	0	0	0	89	8
27	0	32	16	64	1	6144	1789794416969975808	1098105553833	1789794416969976832	1098105555964	1789794416969976832	1098105557065	1789794416969980928	1098105567708	1789794416969981952	1098105569427	1789794416969981952	1098105569557	1098105557091	1098105567614	3186	8	0	0
28	4	0	0	0	1	0	1789794416969984000	1098105574363	1789794416969984000	1098105575641	1789794416969984000	1098105575641	1789794416969987072	1098105582129	1789794416969987072	1098105582159	1789794416969987072	1098105582289	0	0	0	0	0	0
29	0	32	16	64	1	6144	1789794416969989120	1098105587196	1789794416969989120	1098105589289	1789794416969990144	1098105590396	1789794416969997312	1098105608800	1789794416969998336	1098105610681	1789794416969998336	1098105610810	1098105590422	1098105608706	3269	16	0	0
30	1	0	0	0	1	0	1789794416970000384	1098105615850	1789794416970000384	1098105617093	1789794416970000384	1098105617093	1789794416970001408	1098105619898	1789794416970002432	1098105621725	1789794416970002432	1098105621855	0	0	0	0	89	8
31	0	32	16	64	1	6144	1789794416970004480	1098105627059	1789794416970005504	1098105629105	1789794416970005504	1098105630203	1789794416970009600	1098105639466	1789794416970009600	1098105640425	1789794416970009600	1098105640697	1098105630229	1098105639372	2042	8	0	0
32	2	0	0	0	1	0	1789794416970011648	1098105645925	1789794416970012672	1098105647175	1789794416970012672	1098105647175	1789794416970013696	1098105648716	1789794416970013696	1098105648746	1789794416970013696	1098105648875	0	0	0	0	0	0
33	3	0	0	0	1	0	1789794416970014720	1098105652204	1789794416970014720	1098105653317	1789794416970014720	1098105653317	1789794416970015744	1098105654264	1789794416970015744	1098105654294	1789794416970015744	1098105654423	0	0	0	0	0	0
34	5	0	0	0	1	0	1789794416970017792	1098105659592	1789794416970017792	1098105661222	1789794416970017792	1098105661222	1789794416970021888	1098105669824	1789794416970021888	1098105669854	1789794416970021888	1098105669984	0	0	0	0	52	2
35	0	32	16	64	1	6144	1789794416970023936	1098105675190	1789794416970024960	1098105677307	1789794416970024960	1098105678396	1789794416970029056	1098105687703	1789794416970029056	1098105689608	1789794416970029056	1098105689737	1098105678422	1098105687609	1646	8	0	0
36	1	0	0	0	1	0	1789794416970031104	1098105694909	1789794416970032128	1098105696226	1789794416970032128	1098105696226	1789794416970033152	1098105699030	1789794416970034176	1098105700829	1789794416970034176	1098105700960	0	0	0	0	89	8
37	0	32	16	64	1	6144	1789794416970036224	1098105706674	1789794416970037248	1098105708783	1789794416970037248	1098105709885	1789794416970041344	1098105719183	1789794416970041344	1098105720129	1789794416970041344	1098105720259	1098105709911	1098105719089	1916	8	0	0
38	4	0	0	0	1	0	1789794416970043392	1098105725249	1789794416970044416	1098105726521	1789794416970044416	1098105726521	1789794416970046464	1098105732874	1789794416970046464	1098105732904	1789794416970046464	1098105733034	0	0	0	0	0	0
39	0	32	16	64	1	6144	1789794416970048512	1098105737885	1789794416970049536	1098105740011	1789794416970049536	1098105741137	1789794416970057728	1098105759450	1789794416970057728	1098105761566	1789794416970057728	1098105761698	1098105741163	1098105759356	3223	16	0	0
40	1	0	0	0	1	0	1789794416969820160	1098695557147	1789794416969821184	1098695558505	1789794416969821184	1098695558505	1789794416969822208	1098695561418	1789794416969823232	1098695563146	1789794416969823232	1098695563277	0	0	0	0	89	8
41	0	32	16	64	1	6144	1789794416969824256	1098695567885	1789794416969825280	1098695570076	1789794416969826304	1098695571106	1789794416969829376	1098695580647	1789794416969830400	1098695581865	1789794416969830400	1098695582161	1098695571270	1098695580553	1796	8	0	0
42	2	0	0	0	1	0	1789794416969832448	1098695587438	1789794416969833472	1098695588712	1789794416969833472	1098695588712	1789794416969833472	1098695590239	1789794416969833472	1098695590269	1789794416969833472	1098695590398	0	0	0	0	0	0
43	3	0	0	0	1	0	1789794416969835520	1098695594035	1789794416969835520	1098695595165	1789794416969835520	1098695595165	1789794416969835520	1098695596099	1789794416969835520	1098695596129	1789794416969835520	1098695596259	0	0	0	0	0	0
44	5	0	0	0	1	0	1789794416969838592	1098695601674	1789794416969838592	1098695603344	1789794416969838592	1098695603344	1789794416969841664	1098695611461	1789794416969841664	1098695611491	1789794416969841664	1098695611621	0	0	0	0	52	2
45	0	32	16	64	1	6144	1789794416969843712	1098695616864	1789794416969844736	1098695619040	1789794416969845760	1098695620169	1789794416969848832	1098695629510	1789794416969849856	1098695631396	1789794416969849856	1098695631526	1098695620201	1098695629416	1416	8	0	0
46	1	0	0	0	1	0	1789794416969851904	1098695636766	1789794416969852928	1098695638054	1789794416969852928	1098695638054	1789794416969853952	1098695640912	1789794416969853952	1098695642649	1789794416969853952	1098695642780	0	0	0	0	89	8
47	0	32	16	64	1	6144	1789794416969856000	1098695647570	1789794416969857024	1098695649767	1789794416969858048	1098695650949	1789794416969861120	1098695660412	1789794416969862144	1098695661366	1789794416969862144	1098695661658	1098695650975	1098695660318	1505	8	0	0
48	4	0	0	0	1	0	1789794416969864192	1098695666776	1789794416969864192	1098695668094	1789794416969864192	1098695668094	1789794416969867264	1098695674490	1789794416969867264	1098695674520	1789794416969867264	1098695674649	0	0	0	0	0	0
49	0	32	16	64	1	6144	1789794416969869312	1098695679576	1789794416969870336	1098695681761	1789794416969870336	1098695682801	1789794416969877504	1098695701067	1789794416969878528	1098695702692	1789794416969878528	1098695702822	1098695682896	1098695700973	3372	16	0	0
50	1	0	0	0	1	0	1789794416969880576	1098695708235	1789794416969880576	1098695709510	1789794416969880576	1098695709510	1789794416969882624	1098695712363	1789794416969882624	1098695714103	1789794416969882624	1098695714234	0	0	0	0	89	8
