cell	solver	model	seq	phase	count	total_ms
llama_s16	skeleton	auto.cu.export	16	price_cache_hit	12123	0
llama_s16	skeleton	auto.cu.export	16	release_cache_hit	13924190	0
llama_s16	skeleton	auto.cu.export	16	resource_probe	38871	21317
llama_s16	skeleton	auto.cu.export	16	search_evaluations	37637	0
llama_s16	skeleton	auto.cu.export	16	search_rounds	4	0
llama_s16	skeleton	auto.cu.export	16	simulate	16	416.589
llama_s16	skeleton	auto.cu.export	16	skeleton	16	23064.4
llama_s16	skeleton	auto.cu.export	16	total	1	3.22044e+06
qwen3_s1	skeleton	selected.cu.export	1	bridge_and_plan	1	17556.9
qwen3_s1	skeleton	selected.cu.export	1	cache_hit	26653945	0
qwen3_s1	skeleton	selected.cu.export	1	cache_miss	2902	0
qwen3_s1	skeleton	selected.cu.export	1	derive	17	393.539
qwen3_s1	skeleton	selected.cu.export	1	flow	46158	162462
qwen3_s1	skeleton	selected.cu.export	1	flow_report	16	69.4279
qwen3_s1	skeleton	selected.cu.export	1	import	1	35.0466
qwen3_s1	skeleton	selected.cu.export	1	instantiate	17	32.4442
qwen3_s1	skeleton	selected.cu.export	1	instantiate_and_derive	46157	1.53962e+06
qwen3_s1	skeleton	selected.cu.export	1	materialize	16	1750.54
qwen3_s1	skeleton	selected.cu.export	1	megakernel_compile	3	149322
qwen3_s1	skeleton	selected.cu.export	1	piece_pricing_and_release	46174	1.54813e+06
qwen3_s1	skeleton	selected.cu.export	1	prepare_relations	17	1.14023e+06
qwen3_s1	skeleton	selected.cu.export	1	price_cache_hit	15600	0
qwen3_s1	skeleton	selected.cu.export	1	release_cache_hit	32085102	0
qwen3_s1	skeleton	selected.cu.export	1	resource_probe	47392	21498.1
qwen3_s1	skeleton	selected.cu.export	1	search_evaluations	46158	0
qwen3_s1	skeleton	selected.cu.export	1	search_rounds	5	0
qwen3_s1	skeleton	selected.cu.export	1	simulate	16	146.397
qwen3_s1	skeleton	selected.cu.export	1	skeleton	16	54842.5
qwen3_s1	skeleton	selected.cu.export	1	total	1	4.82087e+06
qwen3_s4	skeleton	auto.cu.export	4	bridge_and_plan	1	17205.7
qwen3_s4	skeleton	auto.cu.export	4	cache_hit	25153088	0
qwen3_s4	skeleton	auto.cu.export	4	cache_miss	2840	0
qwen3_s4	skeleton	auto.cu.export	4	derive	17	382.976
qwen3_s4	skeleton	auto.cu.export	4	flow	43724	165430
qwen3_s4	skeleton	auto.cu.export	4	flow_report	16	90.0592
qwen3_s4	skeleton	auto.cu.export	4	import	1	39.7285
qwen3_s4	skeleton	auto.cu.export	4	instantiate	17	29.9771
qwen3_s4	skeleton	auto.cu.export	4	instantiate_and_derive	43723	753027
qwen3_s4	skeleton	auto.cu.export	4	materialize	16	1762.43
qwen3_s4	skeleton	auto.cu.export	4	megakernel_compile	3	145767
qwen3_s4	skeleton	auto.cu.export	4	piece_pricing_and_release	43740	2.13731e+06
qwen3_s4	skeleton	auto.cu.export	4	prepare_relations	17	1.0969e+06
qwen3_s4	skeleton	auto.cu.export	4	price_cache_hit	14013	0
qwen3_s4	skeleton	auto.cu.export	4	release_cache_hit	30722087	0
qwen3_s4	skeleton	auto.cu.export	4	resource_probe	44958	21337.9
qwen3_s4	skeleton	auto.cu.export	4	search_evaluations	43724	0
qwen3_s4	skeleton	auto.cu.export	4	search_rounds	5	0
qwen3_s4	skeleton	auto.cu.export	4	simulate	16	258.364
qwen3_s4	skeleton	auto.cu.export	4	skeleton	16	55744.1
qwen3_s4	skeleton	auto.cu.export	4	total	1	4.58265e+06
