cell	key	grid	residency	flow_ns	simulated_ns	floor_ns	cp_ns	queue_ns	placed	affinity	home	spread_other	candidate_sum	transitions	adjacent_slots	interleaving	moved_count	moved_fraction	home_evidence	evidence
llama_s1	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	128	1	3410016.9561034916	4419059.8634483712	4702959.971330042	2516853.0126708169	3244315.1136622559	10151	2516	658	6977	93704	9586	10023	0.95640027935747784	9464	0.9323219387252487	matrix/llama_s1/selected.cu.m1A.metrics.tsv + matrix/llama_s1/selected.cu.m1B.metrics.tsv	matrix/llama_s1/selected.cu.m1B.metrics.tsv
llama_s1	32x32x64s3k1;32x16x64s2k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	128	1	3410016.9561034916	3424876.3375097173	2940899.1844773879	2516853.0126708169	2745077.6917690551	10151	2838	7313	0	10151	9650	10023	0.96278559313578771	0	0.0	matrix/llama_s1/selected.cu.m1A.metrics.tsv + matrix/llama_s1/selected.cu.m1A.metrics.tsv	matrix/llama_s1/selected.cu.m1A.metrics.tsv
llama_s4	32x32x64s3k1;32x16x64s3k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	128	1	3413495.5951972995	4292148.7202645084	4346686.9534034776	2517053.3095539361	3518319.4891622891	14525	1436	1124	11965	141972	13960	14397	0.96964645412238659	13191	0.90815834767642	matrix/llama_s4/selected.cu.m1A.metrics.tsv + matrix/llama_s4/selected.cu.m1B.metrics.tsv	matrix/llama_s4/selected.cu.m1B.metrics.tsv
llama_s4	32x32x64s3k1;32x16x64s3k1;32x16x64s3k1;32x128x64s3k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=1	128	1	3413495.5951972995	3451745.5497145853	2955272.9711955283	2517053.3095539361	2769818.5747016491	14525	2796	11729	0	14525	14024	14397	0.97409182468569844	0	0.0	matrix/llama_s4/selected.cu.m1A.metrics.tsv + matrix/llama_s4/selected.cu.m1A.metrics.tsv	matrix/llama_s4/selected.cu.m1A.metrics.tsv
qwen3_s1	32x32x64s3k1;32x16x32s3k1;32x16x64s3k1;32x64x64s3k1;32x16x64s3k1;32x256x16s4k1;kappa=1;residency=2	256	2	5126155.6337834205	5123926.7905820934	6287386.7611436043	5731172.7917685788	5982720.5538050197	20840	4971	3325	12544	190611	20246	20584	0.98357947920715116	15918	0.7638195777351248	matrix/qwen3_s1/selected.cu.m3A.metrics.tsv + matrix/qwen3_s1/selected.cu.m3B.metrics.tsv	matrix/qwen3_s1/selected.cu.m3B.metrics.tsv
qwen3_s1	32x32x64s3k1;32x16x32s3k1;32x16x64s3k1;32x64x64s3k1;32x16x64s3k1;32x256x16s4k1;kappa=1;residency=2	256	2	5126155.6337834205	5125635.5244159875	6287386.7611436043	5731172.7917685788	4991779.7344094887	20840	4960	15880	0	20840	20246	20584	0.98357947920715116	0	0.0	matrix/qwen3_s1/selected.cu.m3A.metrics.tsv + matrix/qwen3_s1/selected.cu.m3A.metrics.tsv	matrix/qwen3_s1/selected.cu.m3A.metrics.tsv
