cell	arm	l05_ms	l1_ms	l2_ms	L2_over_floor	flow_ns	simulated_ns	residency	moved_fraction	flow_over_measured	fluid_over_measured	actual_limit	prediction_scope
llama_s4	template	5.31696	5.2625519999999995	4.444592	1.7642178676424591	3413495.5951972995	3451745.5497145853	1	0.0	0.7680110109538287	0.7766169650025436	1	
llama_s1	early_R9	8.4840955	6.254848	6.065151999999999	2.4083333869464107	5460052.694710295				0.9002334475228808			R9 snapshot geometry; uncolocated global pool, not original R9 placement
llama_s4	early_R9	6.971112	6.534152	7.341056	2.913928244159167	4972548.982822366				0.6773615380161064			R9 snapshot geometry; uncolocated global pool, not original R9 placement
