cell	arm	spaces	tasks	nominal_read_bytes	nominal_write_bytes	physical_read_bytes	physical_write_bytes	no_producer_read_bytes	produced_read_bytes	external_write_bytes	physical_over_nominal	evidence
llama_s1	legacy	356	131676	3773566984.0	4139272704.0	2557128712.0	66243072.0	2472067080.0	85061632.0	289280.0	0.33153354389049516	traffic/legacy/llama_s1
llama_s1	skeleton	243	10151	4417753096.0	32907264.0	2533810184.0	1591808.0	2472067080.0	61743104.0	289280.0	0.5696687203514222	traffic/skeleton/llama_s1
llama_s4	legacy	356	163672	7454687264.0	264972288.0	3129573408.0	38692864.0	2473787424.0	655785984.0	1157120.0	0.41041528459362814	traffic/legacy/llama_s4
llama_s4	skeleton	243	14525	4423565344.0	34652160.0	2721939488.0	6367232.0	2473787424.0	248152064.0	1157120.0	0.611972546775053	traffic/skeleton/llama_s4
llama_s16	legacy	356	181168	7594180736.0	284073984.0	5122687104.0	154771456.0	2480668800.0	2642018304.0	4628480.0	0.6698766094224483	traffic/legacy/llama_s16
llama_s64	legacy	356	282720	15591145984.0	360480768.0	15591145984.0	360480768.0	4979687936.0	10611458048.0	18513920.0	1.0	traffic/legacy/llama_s64
qwen3_s1	legacy	676	189337	5259460616.0	5944886016.0	3565891592.0	95453952.0	3442085896.0	123805696.0	418560.0	0.32677903176817746	traffic/legacy/qwen3_s1
qwen3_s1	skeleton	479	20840	6812647432.0	47587328.0	3551125512.0	2605824.0	3442085896.0	109039616.0	418560.0	0.5180189104782181	traffic/skeleton/qwen3_s1
qwen3_s4	legacy	676	235984	10392231968.0	381815808.0	4370653216.0	56847360.0	3445637152.0	925016064.0	1674240.0	0.4109412421450914	traffic/legacy/qwen3_s4
qwen3_s16	legacy	676	263896	10633838720.0	413085696.0	7192936576.0	227389440.0	3459842176.0	3733094400.0	6696960.0	0.6717096756136618	traffic/legacy/qwen3_s16
qwen3_s64	legacy	676	420880	22047031808.0	538165248.0	22047031808.0	538165248.0	6957564416.0	15089467392.0	26787840.0	1.0	traffic/legacy/qwen3_s64
