cell	model	seq	arm	l05_ms	l1_ms	l2_ms	T_dram_ms	T_compute_ms	T_floor_ms	L2_over_floor	L2_over_legacy	L2_over_L1	L2_over_L05	D	bubble_ns
llama_s1	llama	1	legacy	5.747704000000001	5.788512	5.422432000000001	2.5184021584694984	0.013731520267284712	2.5184021584694984	2.153123948756207	1.0	0.936757494844962	0.9434083592335305	228	12736.97298916887
llama_s1	llama	1	skeleton	5.51936	5.4712	4.446912	2.5184021584694984	0.013731520267284712	2.5184021584694984	1.7657672286552157	0.8200954848304229	0.812785494955403	0.8056934137291281	163	11831.34872104602
llama_s4	llama	4	legacy	6.308352	6.45808	6.474679999999999	2.5192988244356407	0.05492608106913885	2.5192988244356407	2.5700325571542395	1.0	1.002570423407576	1.026366315639964	228	17348.163050720872
llama_s4	llama	4	skeleton	5.32204	5.166352	4.4468879999999995	2.5192988244356407	0.05492608106913885	2.5192988244356407	1.7651292323355752	0.6868120123311113	0.8607404218682737	0.8355607999939871	163	11825.70046358502
llama_s16	llama	16	legacy	6.583928	6.671104	7.1162399999999995	2.5228854883002074	0.2197043242765554	2.5228854883002074	2.820674990205188	1.0	1.066725987182931	1.0808502158589826	228	20146.291717981545
llama_s64	llama	64	legacy	11.81832	11.8580485	12.677351999999999	2.537232143758475	0.8788172971062216	2.537232143758475	4.996528217248845	1.0	1.0690926082820456	1.0726864732043133	228	44474.20989579616
qwen3_s1	qwen3	1	legacy	8.8023285	8.939392	8.24576	3.5064962188630084	0.01911751538273007	3.5064962188630084	2.3515667735907932	1.0	0.9224072509629291	0.9367703102650623	424	11177.508917775926
qwen3_s1	qwen3	1	skeleton	7.561456	7.501087999999999	8.041976	3.5064962188630084	0.01911751538273007	3.5064962188630084	2.293450640767448	0.9752862076994722	1.0721079395415707	1.063548607569759	311	14583.536273752385
qwen3_s4	qwen3	4	legacy	9.313880000000001	9.5833595	9.314824	3.507788001727491	0.07647006153092029	3.507788001727491	2.655469485445728	1.0	0.9719789808573913	1.0001013541080623	424	13695.839618567237
qwen3_s16	qwen3	16	legacy	9.6109995	9.8628325	10.679808999999999	3.512955133185421	0.30588024612368114	3.512955133185421	3.0401210932392218	1.0	1.0828338613679183	1.1112069041310426	424	16902.957233053246
qwen3_s64	qwen3	64	legacy	17.042944	15.970136	17.0185035	3.53362365901714	1.2235209844947246	3.53362365901714	4.81616186165496	1.0	1.0656454960684119	0.9985659461182295	424	31803.96188911052
