cell	interpretation	key	T	T_floor	T_dram	T_s	T_sf	T_sf_infinite	T_np0	synchronization	fixed	contention	chain_delay	pg_upper_bound	chain_depth	bubble_ns	colocated_edges	sync_omitted_edges	actual_legacy_ms	flow_over_actual_legacy
llama_s1	legacy uniform geometry; pure home, not actual legacy placement	flow-audit	5570757.4820598867	2518402.1584694986	2518402.1584694986	4498643.511021263	2701549.6907006428	2692115.9545260109	4259906.1682326784	1072113.9710386237	1797093.8203206202	9433.7361746318638	173713.79605651228	1310851.3138272082	228	13387.523349080649	0	0	5.422432000000001	1.0273540511084114
llama_s4	legacy uniform geometry; pure home, not actual legacy placement	flow-audit	4578557.6604325231	2519298.8244356406	2519298.8244356406	3407760.2637585592	2653091.4085639394	2651116.582048527	3218494.142239382	1170797.3966739639	754668.85519461986	1974.8265154124238	131817.75761288637	1360063.5181931411	228	9031.8369999863262	0	0	6.474679999999999	0.707148100050122
llama_s16	legacy uniform geometry; pure home, not actual legacy placement	flow-audit	4624556.5679461621	2522885.4883002075	2522885.4883002075	3455049.6404766203	2698649.7685406073	2682910.4739953917	3506983.1296409783	1169506.9274695418	756399.87193601299	15739.294545215555	160024.98569518421	1117573.4383051838	228	9217.8556124822571	0	0	7.1162399999999995	0.6498595561625469
llama_s64	legacy uniform geometry; pure home, not actual legacy placement	flow-audit	8036011.1867809445	2537232.1437584748	2537232.1437584748	6026788.3342538215	5232679.8037414551	5215281.6056467732	6638048.0764492704	2009222.8525271229	794108.53051236644	17398.198094681837	2678049.4618882984	1397963.1103316741	228	24117.451943081007	0	0	12.677351999999999	0.6338872018999666
qwen3_s1	legacy uniform geometry; pure home, not actual legacy placement	flow-audit	8490983.2705666833	3506496.2188630085	3506496.2188630085	6449400.5944769308	3799151.6111444337	3794982.3513208297	6490052.6232677074	2041582.6760897525	2650248.9833324971	4169.2598236040212	288486.13245782116	2000930.6472989758	424	11755.865687980366	0	0	8.24576	1.029739317002518
qwen3_s4	legacy uniform geometry; pure home, not actual legacy placement	flow-audit	7038380.4607624374	3507788.0017274912	3507788.0017274912	4915975.2732286137	3725233.5206650412	3720906.7421803391	5101250.6234085923	2122405.1875338238	1190741.7525635725	4326.7784847021103	213118.74045284791	1937129.8373538451	424	8326.8690071578931	0	0	9.314824	0.7556106761397142
qwen3_s16	legacy uniform geometry; pure home, not actual legacy placement	flow-audit	7114441.1003619963	3512955.1331854211	3512955.1331854211	4992282.966193106	3798835.3048284906	3782775.4700888512	5513615.5410020053	2122158.1341688903	1193447.6613646154	16059.834739639424	269820.33690343006	1600825.559359991	424	8494.0706773032434	0	0	10.679808999999999	0.666158083947194
qwen3_s64	legacy uniform geometry; pure home, not actual legacy placement	flow-audit	11878367.563103845	3533623.65901714	3533623.65901714	8951562.6679801997	7497267.1670663068	7241168.7378766388	9815006.1105251908	2926804.8951236457	1454295.5009138929	256098.42918966804	3707545.0788594987	2063361.4525786545	424	19680.999773789401	0	0	17.0185035	0.6979678068112067
