family	model	n	complete	spearman	ratio_p0	ratio_p10	ratio_p50	ratio_p90	ratio_p100	flow_ms_max	fluid_ms_max	nonprefix_edges_min	nonprefix_edges_max	varying_spaces_max	evidence
validation	llama	100	True	0.9942874287428742	0.8900407327065349	0.9577919868542917	1.0027600020115222	1.0234161763069212	1.0709136820039071	12.63802	530.139	161	273	16	validation/llama/samples.tsv
validation	qwen3	100	True	0.9907350735073507	0.8356274190031039	0.9558293688558736	1.0066082294575116	1.031249197399409	1.0811818740657655	17.221003	665.42	281	477	29	validation/qwen3/samples.tsv
validation_colocated	llama	100	True	0.9946714671467146	0.8894989714055883	0.9577144570302879	1.0027087531999914	1.0236418380917314	1.074358812469357	9.494698	155.811	161	273	16	validation_colocated/llama/samples.tsv
validation_colocated	qwen3	80	False	0.9882325363338021	0.8454062058247515	0.9429712244235052	1.0036564099425709	1.0304726569140277	1.081181874065765	13.954593	231.87	281	477	29	validation_colocated/qwen3/samples.tsv
