cell	category	links	potentially_fusible	wait_ns	publication_ns	hop_ns	fixed_ns	evidence
llama_s1	attention	16	False	28229.891375505118	17186.054442732413	0.0	19796.771279050176	matrix/llama_s1/selected.cu.m1B.flow.tsv
llama_s1	embedding	1	False	0.0	1074.1284026707756	0.0	1046.6571693548449	matrix/llama_s1/selected.cu.m1B.flow.tsv
llama_s1	gemm	64	False	112919.56550202052	68744.21777092955	79066.35526399998	157865.13498911087	matrix/llama_s1/selected.cu.m1B.flow.tsv
llama_s1	lm_head	1	False	0.0	0.0	1235.411801	4501.442346592938	matrix/llama_s1/selected.cu.m1B.flow.tsv
llama_s1	rmsnorm	33	True	56459.78275101025	35446.2372881356	39533.17763199999	72819.68801430981	matrix/llama_s1/selected.cu.m1B.flow.tsv
llama_s1	rope	16	True	28229.891375505118	0.0	19766.588815999996	13439.067930250169	matrix/llama_s1/selected.cu.m1B.flow.tsv
llama_s1	swiglu	16	True	28229.891375505118	17186.054442732413	19766.588815999996	19951.888499129935	matrix/llama_s1/selected.cu.m1B.flow.tsv
llama_s4	attention	16	False	28229.891375505118	17186.054442732413	0.0	19796.771279050176	matrix/llama_s4/selected.cu.m1B.flow.tsv
llama_s4	embedding	1	False	0.0	1074.1284026707756	0.0	1046.6571693548449	matrix/llama_s4/selected.cu.m1B.flow.tsv
llama_s4	gemm	64	False	112919.56550202052	68744.21777092955	79066.35526399998	157865.13498911087	matrix/llama_s4/selected.cu.m1B.flow.tsv
llama_s4	lm_head	1	False	0.0	0.0	1235.411801	4501.442346592938	matrix/llama_s4/selected.cu.m1B.flow.tsv
llama_s4	rmsnorm	33	True	56459.78275101025	35446.2372881356	39533.17763199999	72819.68801430981	matrix/llama_s4/selected.cu.m1B.flow.tsv
llama_s4	rope	16	True	28229.891375505118	0.0	19766.588815999996	13439.067930250169	matrix/llama_s4/selected.cu.m1B.flow.tsv
llama_s4	swiglu	16	True	28229.891375505118	17186.054442732413	19766.588815999996	19951.888499129935	matrix/llama_s4/selected.cu.m1B.flow.tsv
qwen3_s1	attention	28	False	49402.30990713397	30075.59527478173	0.0	34734.093328853836	matrix/qwen3_s1/selected.cu.m3B.flow.tsv
qwen3_s1	embedding	1	False	0.0	1074.1284026707756	0.0	1046.6571693548449	matrix/qwen3_s1/selected.cu.m3B.flow.tsv
qwen3_s1	gemm	112	False	197609.23962853538	120302.38109912664	138366.12171199982	258733.40495498496	matrix/qwen3_s1/selected.cu.m3B.flow.tsv
qwen3_s1	lm_head	1	False	0.0	0.0	1235.411801	4501.442346592938	matrix/qwen3_s1/selected.cu.m3B.flow.tsv
qwen3_s1	rmsnorm	85	True	148206.9297214018	61225.31895223414	103774.59128399988	184873.55535168017	matrix/qwen3_s1/selected.cu.m3B.flow.tsv
qwen3_s1	rope	28	True	0.0	0.0	0.0	23608.112468453874	matrix/qwen3_s1/selected.cu.m3B.flow.tsv
qwen3_s1	swiglu	28	True	49402.30990713397	30075.59527478173	34591.530427999984	32044.009976963487	matrix/qwen3_s1/selected.cu.m3B.flow.tsv
