cell	flow_ns	floor_ns	sync_ns	fixed_ns	contention_ns	chain_ns	closure_ns	pg_upper_ns	protocol_on_chain_ns	attention_chain_ns	attention_over_flow	chain_depth	flow_over_measured	fluid_over_measured	colocated_edges	sync_omitted_edges	evidence
llama_s1	3410016.9561034916	2518402.1584694986	554821.1226004139	301966.37484181393	0.0	34827.300191765185	0.0	891614.797633993	553073.8370557487	65725.53761452327	0.019274255366057057	163.0	0.7668280721776126	0.7701695777900973	64.0	64.0	matrix/llama_s1/selected.cu.m1B.flow.tsv
llama_s4	3413495.5951972995	2519298.8244356406	554695.9370484632	301643.8502343544	0.0	37856.98347884137	0.0	894196.7707616589	553073.8370557487	66815.09216224293	0.019573803539178446	163.0	0.7676144744813227	0.7762159851371534	64.0	64.0	matrix/llama_s4/selected.cu.m1B.flow.tsv
qwen3_s1	5126155.633783421	3506496.2188630085	967105.8316037892	545912.704569947	0.0	106640.8787466758	0.0	1619659.414920412	965341.4633927945	117801.74213141121	0.022980523914461454	311.0	0.6374248858468889	0.6371477346590059	168.0	168.0	matrix/qwen3_s1/selected.cu.m3B.flow.tsv
