model	variant	arm	seq	past	round	pass	l1_ms	l2_ms
gqa2	shard16	full	4	3	0	1	0.409600	0.471040
gqa2	shard16	full	4	3	1	1	0.409760	0.472064
gqa2	shard16	full	4	3	2	1	0.410848	0.475072
gqa2	shard16	full	4	3	3	1	0.409760	0.472128
gqa2	shard16	full	4	3	4	1	0.409600	0.472928
gqa2	shard16	full	4	3	5	1	0.410784	0.474080
gqa2	shard16	full	4	3	6	1	0.409600	0.472064
gqa2	shard16	full	4	3	7	1	0.409600	0.471040
gqa2	shard16	full	4	3	8	1	0.408800	0.471040
gqa2	shard16	full	4	3	9	1	0.408768	0.472064
gqa2	shard16	full	4	3	10	1	0.409600	0.471040
gqa2	shard16	full	4	3	11	1	0.407712	0.472064
gqa2	shard16	full	4	3	12	1	0.409600	0.471040
gqa2	shard16	full	4	3	13	1	0.408800	0.471840
gqa2	shard16	full	4	3	14	1	0.407776	0.471040
gqa2	shard16	full	4	3	15	1	0.410784	0.471936
gqa2	shard16	full	4	3	16	1	0.408768	0.471904
gqa2	shard16	full	4	3	17	1	0.408576	0.473088
gqa2	shard16	full	4	3	18	1	0.410624	0.472064
gqa2	shard16	full	4	3	19	1	0.408576	0.472064
gqa2	shard16	full	4	3	20	1	0.408512	0.474112
gqa2	shard16	full	4	3	21	1	0.410784	0.471040
gqa2	shard16	full	4	3	22	1	0.409600	0.473088
gqa2	shard16	full	4	3	23	1	0.409600	0.474112
gqa2	shard16	full	4	3	24	1	0.408736	0.471040
gqa2	shard16	full	4	3	25	1	0.408736	0.472064
gqa2	shard16	full	4	3	26	1	0.410624	0.472000
gqa2	shard16	full	4	3	27	1	0.410528	0.473024
gqa2	shard16	full	4	3	28	1	0.408576	0.472928
gqa2	shard16	full	4	3	29	1	0.409600	0.471808
gqa2	shard16	full	4	3	30	1	0.408608	0.471040
gqa2	shard16	full	4	3	31	1	0.409824	0.472064
gqa2	shard16	full	4	3	32	1	0.409600	0.471040
gqa2	shard16	full	4	3	33	1	0.408800	0.471936
gqa2	shard16	full	4	3	34	1	0.408768	0.473952
gqa2	shard16	full	4	3	35	1	0.408576	0.473088
gqa2	shard16	full	4	3	36	1	0.408704	0.473088
gqa2	shard16	full	4	3	37	1	0.408576	0.471040
