family	seq	grid	nodes	different_entries	template_file	selected_file
legacy_grid_stride	4	512	6128	5916	legacy_grid_stride.tsv	selected.tsv
rotate	4	512	6128	6124	rotate.tsv	selected.tsv
band	4	512	6128	5916	band.tsv	selected.tsv
wavefront	4	512	6128	1536	wavefront.tsv	selected.tsv
