cell	model	seq	past	rounds	midpoint_refine	floor_ns	binary_sha256	l05_ms_median	l05_ms_min	l05_ms_max	l1_ms_median	l1_ms_min	l1_ms_max	l2_ms_median	l2_ms_min	l2_ms_max	l2_over_l1_median	l1_over_l05_median	l2_over_l05_median	l2_over_floor_median
gqa2_s1	gqa2	1	3	25	0	54972.9	9ad9449be275a0f88c2da90e4f49dea9bcdc32cd637b9ab6c2be3f730f2effd8	0.205824	0.178176	0.262144	0.192512	0.174944	0.19456	0.137216	0.124928	0.140288	0.7134589947089947	0.9353233830845771	0.6617647058823529	2.496066243549094
gqa2_s4	gqa2	4	3	25	0	56953.7	c2673ccef2a91c6286083b4e98dd1c845cf4b189cab47411ce963102d5ae0d6b	0.182272	0.165888	0.271552	0.196672	0.1792	0.200736	0.153728	0.14	0.160768	0.7849786931818181	1.0793711656441716	0.8439429012345679	2.699174943857906
gqa2_s16	gqa2	16	3	25	0	64663.6	287a9f707c52d631745e1036fac93a168c8708d8cffce389ca04949b07bbc191	0.208864	0.185312	0.2704	0.215232	0.195232	0.216928	0.212992	0.192768	0.21616	0.9904306220095693	1.0320846631950278	1.0209897349471426	3.293846924699522
gqa2_s128	gqa2	128	3	25	0	108739.0	f551d49897b05d103726cc7d6c80c1bc88e7a2f5d44cf508692407cb89934d85	0.32256	0.321536	0.326656	0.336832	0.33552	0.33984	0.313344	0.3072	0.318272	0.9300911854103344	1.0442460317460318	0.9714285714285714	2.8816156116940563
