index	key	placement	tile_m	tile_n	tile_k	stages	split_k	kappa	residency	floor_ns	predicted_ns	source	cg
0	32x16x64s2split8kappa1r5	eft	32	16	64	2	8	1	5	304047	596272	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand0.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand0.mlir
1	32x16x64s2split8kappa2r5	eft	32	16	64	2	8	2	5	304047	609996	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand1.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand1.mlir
2	32x16x64s2split8kappa4r5	eft	32	16	64	2	8	4	5	304047	609996	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand2.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand2.mlir
3	32x16x64s2split16kappa1r5	eft	32	16	64	2	16	1	5	324343	634346	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand3.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand3.mlir
4	32x16x64s2split16kappa2r5	eft	32	16	64	2	16	2	5	324343	651962	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand4.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand4.mlir
5	32x16x64s2split16kappa4r5	eft	32	16	64	2	16	4	5	324343	651962	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand5.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand5.mlir
6	32x16x64s2split32kappa1r5	eft	32	16	64	2	32	1	5	324343	634346	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand6.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand6.mlir
7	32x16x64s2split32kappa2r5	eft	32	16	64	2	32	2	5	324343	651962	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand7.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand7.mlir
8	32x16x64s2split32kappa4r5	eft	32	16	64	2	32	4	5	324343	651962	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand8.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand8.mlir
9	32x16x64s2split4kappa1r4	eft	32	16	64	2	4	1	4	235267	483872	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand9.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand9.mlir
10	32x16x64s2split4kappa2r4	eft	32	16	64	2	4	2	4	235267	501842	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand10.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand10.mlir
11	32x16x64s2split4kappa4r4	eft	32	16	64	2	4	4	4	235267	501842	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand11.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/mha4_s128/auto.cu.cand11.mlir
