family	seq	grid	nodes	different_entries	template_file	selected_file
legacy_grid_stride	128	512	14592	14016	legacy_grid_stride.tsv	selected.tsv
rotate	128	512	14592	14432	rotate.tsv	selected.tsv
band	128	512	14592	14016	band.tsv	selected.tsv
wavefront	128	512	14592	10484	wavefront.tsv	selected.tsv
