dump	source	window	config	candidate	suite
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_chain.cu	1	a	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	1	a	rotate	placement
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s4_chain.cu	1	a	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	1	a	rotate	placement
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s128_chain.cu	1	a	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	1	a	rotate	placement
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s4_chain.cu	1	a	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	1	a	rotate	placement
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_chain.cu	1	b	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	1	b	rotate	placement
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s4_chain.cu	1	b	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	1	b	rotate	placement
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s128_chain.cu	1	b	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	1	b	rotate	placement
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s4_chain.cu	1	b	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	1	b	rotate	placement
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_chain.cu	2	d	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	2	d	rotate	placement
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s4_chain.cu	2	d	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	2	d	rotate	placement
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s128_chain.cu	2	d	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	2	d	rotate	placement
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s4_chain.cu	2	d	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	2	d	rotate	placement
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_chain.cu	2	w	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	2	w	rotate	placement
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s4_chain.cu	2	w	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	2	w	rotate	placement
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s128_chain.cu	2	w	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	2	w	rotate	placement
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s4_chain.cu	2	w	chain	placement
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	2	w	rotate	placement
docs/experiments/WINDOW/raw/final/trace_w1_gqa2_s128	docs/experiments/WINDOW/raw/src/gqa2_w1.cu	1	w1	legacy_grid_stride	window
docs/experiments/WINDOW/raw/final/trace_w1_gqa2_s4	docs/experiments/WINDOW/raw/src/gqa2_w1.cu	1	w1	legacy_grid_stride	window
docs/experiments/WINDOW/raw/final/trace_w1_mha4_s128	docs/experiments/WINDOW/raw/src/mha4_w1.cu	1	w1	legacy_grid_stride	window
docs/experiments/WINDOW/raw/final/trace_w1_mha4_s4	docs/experiments/WINDOW/raw/src/mha4_w1.cu	1	w1	legacy_grid_stride	window
docs/experiments/WINDOW/raw/final/trace_w2_gqa2_s128	docs/experiments/WINDOW/raw/src/gqa2_w2.cu	2	w2	legacy_grid_stride	window
docs/experiments/WINDOW/raw/final/trace_w2_gqa2_s4	docs/experiments/WINDOW/raw/src/gqa2_w2.cu	2	w2	legacy_grid_stride	window
docs/experiments/WINDOW/raw/final/trace_w2_mha4_s128	docs/experiments/WINDOW/raw/src/mha4_w2.cu	2	w2	legacy_grid_stride	window
docs/experiments/WINDOW/raw/final/trace_w2_mha4_s4	docs/experiments/WINDOW/raw/src/mha4_w2.cu	2	w2	legacy_grid_stride	window
docs/experiments/WINDOW/raw/final/trace_w4_gqa2_s128	docs/experiments/WINDOW/raw/src/gqa2_w4.cu	4	w4	legacy_grid_stride	window
docs/experiments/WINDOW/raw/final/trace_w4_gqa2_s4	docs/experiments/WINDOW/raw/src/gqa2_w4.cu	4	w4	legacy_grid_stride	window
docs/experiments/WINDOW/raw/final/trace_w4_mha4_s128	docs/experiments/WINDOW/raw/src/mha4_w4.cu	4	w4	legacy_grid_stride	window
docs/experiments/WINDOW/raw/final/trace_w4_mha4_s4	docs/experiments/WINDOW/raw/src/mha4_w4.cu	4	w4	legacy_grid_stride	window
