kernel_span_ns	kernel_span_ms	measured_l2_ms	hop_samples	hop_p50_ns	hop_p90_ns	hop_max_ns	hop_negative_count	hop_negative_slots	workers_used	grid	busy_total_ns	busy_max_worker_ns	busy_mean_worker_ns	idle_total_ns	idle_fraction_of_worker_time	wait_total_ns	publish_total_ns	hol_reclaimable_ns	hol_fraction_of_kernel	hol_worker_p50_ns	hol_worker_p90_ns	hol_worker_max_ns	hol_workers_nonzero	dag_same_worker_edges	dag_cross_worker_edges	dag_cross_worker_fraction	cp_reconstructed_ns	cp_reconstructed_ms	cp_nodes	cp_error_vs_l2_ms	cp_chain_span_ns	cp_split_task_ns	cp_split_wait_ns	cp_split_prerun_barrier_ns	cp_split_publish_ns	cp_split_gap_ns	cp_with_publish_ns	cp_with_publish_ms	cp_with_publish_error	work_lb_ns	work_lb_ms	queue_lb_ns	queue_lb_ms	cp_lb_nosync_ns	cp_lb_nosync_ms	cp_lb_sync_ns	cp_lb_sync_ms	hop_p50_used_ns	run_clk_p50_cycles	run_clk_max_cycles	run_globaltimer_zero_slots	run_globaltimer_zero_fraction	model	fixture	seq	past	placement	schedule_policy	stage_count	slot_count	event_count	traced_launch	globaltimer_resolution_ns	commit	l1_ms	kernel_span_ns_legacy	kernel_span_ms_legacy	measured_l2_ms_legacy	hop_samples_legacy	hop_p50_ns_legacy	hop_p90_ns_legacy	hop_max_ns_legacy	hop_negative_count_legacy	hop_negative_slots_legacy	workers_used_legacy	grid_legacy	busy_total_ns_legacy	busy_max_worker_ns_legacy	busy_mean_worker_ns_legacy	idle_total_ns_legacy	idle_fraction_of_worker_time_legacy	wait_total_ns_legacy	publish_total_ns_legacy	hol_reclaimable_ns_legacy	hol_fraction_of_kernel_legacy	hol_worker_p50_ns_legacy	hol_worker_p90_ns_legacy	hol_worker_max_ns_legacy	hol_workers_nonzero_legacy	dag_same_worker_edges_legacy	dag_cross_worker_edges_legacy	dag_cross_worker_fraction_legacy	cp_reconstructed_ns_legacy	cp_reconstructed_ms_legacy	cp_nodes_legacy	cp_error_vs_l2_ms_legacy	cp_chain_span_ns_legacy	cp_split_task_ns_legacy	cp_split_wait_ns_legacy	cp_split_prerun_barrier_ns_legacy	cp_split_publish_ns_legacy	cp_split_gap_ns_legacy	cp_with_publish_ns_legacy	cp_with_publish_ms_legacy	cp_with_publish_error_legacy	work_lb_ns_legacy	work_lb_ms_legacy	queue_lb_ns_legacy	queue_lb_ms_legacy	cp_lb_nosync_ns_legacy	cp_lb_nosync_ms_legacy	cp_lb_sync_ns_legacy	cp_lb_sync_ms_legacy	hop_p50_used_ns_legacy	run_clk_p50_cycles_legacy	run_clk_max_cycles_legacy	run_globaltimer_zero_slots_legacy	run_globaltimer_zero_fraction_legacy	model_legacy	fixture_legacy	seq_legacy	past_legacy	placement_legacy	schedule_policy_legacy	stage_count_legacy	slot_count_legacy	event_count_legacy	traced_launch_legacy	globaltimer_resolution_ns_legacy	commit_legacy	l1_ms_legacy	corrected_status	task_dag_source	task_dag_source_sha256	window	cp_corrected_ns	cp_corrected_ms	cp_corrected_nodes	cp_corrected_task_ns	cp_plan_nosync_ns	cp_corrected_path	dump	source	config	candidate	suite
516096	0.516096	0.523264	2454	1024	10240	40960	0	none	256	256	27526144	342016	107524.0	104594432	0.7916589161706349	65525760	6153216	2719744	0.02058531746031746	11264	15360	18432	220	3686	545190	0.993284457691719	516096	0.516096	36	0.01369863013698621	516096	430080	24576	3072	52224	6144	516096	0.516096	0.01369863013698621	107524.0	0.107524	342016	0.342016	349184	0.349184	366592	0.366592	1024	2569	134729	291	0.06589673913043478	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s128_p3	128	3	0	critical_path	30	4416	3412	l2_forward_last_timed_sample	unset	unset	0.565248	516096	0.516096	0.523264	2454	1024	10240	40960	0	none	256	256	27526144	342016	107524.0	104594432	0.7916589161706349	65525760	6153216	48391168	0.3662651909722222	221184	228352	324608	222	1040	252830	0.9959034151337298	382976	0.382976	23	0.26810176125244617	516096	365568	122880	0	35840	-8192	421888	0.421888	0.1937377690802348	107524.0	0.107524	342016	0.342016	175104	0.175104	184320	0.18432	1024	2569	134729	291	0.06589673913043478	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s128_p3	128	3	0	critical_path	30	4416	3412	l2_forward_last_timed_sample	unset	unset	0.565248	available	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_chain.cu	716ed88b883b57a8def96e47223bd1b0fbeb9d1420f7019fe1b97f70ad2ba793	1	349184	0.349184	20	349184	440320	0:0,2:0,5:0,6:0,8:3,9:0,10:1,12:4,13:0,14:0,15:0,17:0,20:0,21:0,23:2,24:0,25:0,26:0,28:0,29:0	docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_chain.cu	a	chain	placement
455680	0.45568	0.461824	2752	1024	11264	12288	0	none	256	256	27515904	154624	107484.0	89138176	0.7641239466292135	64183296	6603776	3232768	0.0277124297752809	13312	14336	14336	256	3624	545252	0.9933974158097639	454656	0.454656	28	0.015521064301552123	454656	381952	30720	2048	38912	1024	454656	0.454656	0.015521064301552123	107484.0	0.107484	154624	0.154624	346112	0.346112	363520	0.36352	1024	2523	134021	349	0.07903079710144928	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s128_p3	128	3	5	critical_path	30	4416	3412	l2_forward_last_timed_sample	unset	unset	0.624800	455680	0.45568	0.461824	2752	1024	11264	12288	0	none	256	256	27515904	154624	107484.0	89138176	0.7641239466292135	64183296	6603776	49565696	0.4248946629213483	197632	202752	205824	256	1040	282084	0.9963266978426414	199680	0.19968	20	0.5676274944567629	454656	195584	269312	0	25600	-35840	230400	0.2304	0.5011086474501109	107484.0	0.107484	154624	0.154624	89088	0.089088	94208	0.094208	1024	2523	134021	349	0.07903079710144928	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s128_p3	128	3	5	critical_path	30	4416	3412	l2_forward_last_timed_sample	unset	unset	0.624800	available	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	017a39b966658b8b5ce3b22cef6528366068806a2503a53110395fe19c5c9b9c	1	346112	0.346112	20	346112	388096	0:0,2:0,5:0,6:0,8:119,9:3,10:0,11:0,13:0,14:0,15:0,17:0,20:1,21:1,23:118,24:0,25:0,26:0,28:0,29:0	docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	a	rotate	placement
292864	0.292864	0.299904	180	1024	1024	2048	0	none	84	256	1801216	241664	21443.04761904762	22799360	0.9267815517815517	9186304	284672	0	0.0	0	0	0	0	128	1164	0.9009287925696594	291840	0.29184	20	0.026888604353393138	291840	241664	20480	0	28672	1024	291840	0.29184	0.026888604353393138	7036.0	0.007036	241664	0.241664	242688	0.242688	260096	0.260096	1024	7396	106667	4	0.02	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s4_p3	4	3	0	critical_path	30	200	188	l2_forward_last_timed_sample	unset	unset	0.405504	292864	0.292864	0.299904	180	1024	1024	2048	0	none	84	256	1801216	241664	21443.04761904762	22799360	0.9267815517815517	9186304	284672	1247232	0.050699300699300696	0	28672	175104	14	36	1164	0.97	260096	0.260096	20	0.13273580879214686	291840	242688	18432	0	29696	1024	295936	0.295936	0.013230900554844306	7036.0	0.007036	241664	0.241664	122880	0.12288	132096	0.132096	1024	7396	106667	4	0.02	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s4_p3	4	3	0	critical_path	30	200	188	l2_forward_last_timed_sample	unset	unset	0.405504	available	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s4_chain.cu	2c1fe30de6a40e9a9b41e74202f65f3860521a7ed21f4892ac837a7d3b56ba52	1	242688	0.242688	20	242688	242688	0:0,2:0,5:0,6:0,8:0,9:0,10:0,11:0,13:0,14:0,15:0,17:0,20:0,21:0,23:0,24:0,25:0,26:0,28:0,29:1	docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s4_chain.cu	a	chain	placement
287744	0.287744	0.293888	196	1024	1024	1024	0	none	200	256	1818624	41984	9093.12	55730176	0.9683985765124555	22544384	252928	0	0.0	0	0	0	0	0	1292	1.0	286720	0.28672	20	0.024390243902439053	286720	242688	16384	0	27648	0	286720	0.28672	0.024390243902439053	7104.0	0.007104	41984	0.041984	242688	0.242688	262144	0.262144	1024	6880	106396	0	0.0	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s4_p3	4	3	5	critical_path	30	200	188	l2_forward_last_timed_sample	unset	unset	0.405504	287744	0.287744	0.293888	196	1024	1024	1024	0	none	200	256	1818624	41984	9093.12	55730176	0.9683985765124555	22544384	252928	0	0.0	0	0	0	0	0	1292	1.0	262144	0.262144	20	0.10801393728222995	286720	242688	2379776	0	27648	-2363392	293888	0.293888	0.0	7104.0	0.007104	41984	0.041984	242688	0.242688	262144	0.262144	1024	6880	106396	0	0.0	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s4_p3	4	3	5	critical_path	30	200	188	l2_forward_last_timed_sample	unset	unset	0.405504	available	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	017a39b966658b8b5ce3b22cef6528366068806a2503a53110395fe19c5c9b9c	1	242688	0.242688	20	242688	242688	0:0,2:0,5:0,6:0,8:0,9:0,10:0,11:0,13:0,14:0,15:0,17:0,20:0,21:0,23:0,24:0,25:0,26:0,28:0,29:0	docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	a	rotate	placement
1083392	1.083392	1.204224	5440	1024	23552	49152	0	none	256	256	53782528	603136	210088.0	223565824	0.8060831167296786	178924544	14431232	6156288	0.02219695179584121	23552	27648	51200	252	12944	2149260	0.9940135158384685	1083392	1.083392	89	0.10034013605442181	1083392	880640	73728	10240	111616	7168	1083392	1.083392	0.10034013605442181	210088.0	0.210088	603136	0.603136	624640	0.62464	662528	0.662528	1024	2396	134774	1388	0.11644295302013423	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s128_p3	128	3	0	critical_path	60	11920	7852	l2_forward_last_timed_sample	unset	unset	1.135456	1083392	1.083392	1.204224	5440	1024	23552	49152	0	none	256	256	53782528	603136	210088.0	223565824	0.8060831167296786	178924544	14431232	163379200	0.5890757915879017	643072	688128	696320	256	4032	1047000	0.9961637704655996	689152	0.689152	44	0.42772108843537415	1083392	652288	100352	2048	51200	277504	747520	0.74752	0.37925170068027214	210088.0	0.210088	603136	0.603136	442368	0.442368	468992	0.468992	1024	2396	134774	1388	0.11644295302013423	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s128_p3	128	3	0	critical_path	60	11920	7852	l2_forward_last_timed_sample	unset	unset	1.135456	available	docs/experiments/PLACE_EFT2/raw/plan/mha4_s128_chain.cu	7cb52e5f1f0523c7fd4d2f7de1ef32840f6b7fe3fbae08c13702a1863efed9f9	1	624640	0.62464	40	624640	917504	0:0,2:0,5:0,6:0,8:376,9:0,10:1,11:1,13:0,14:0,15:0,17:0,20:0,21:0,23:260,24:0,25:0,26:1,28:0,29:0,30:0,32:2,35:1,36:1,38:305,39:0,40:0,41:0,43:0,44:0,45:0,47:0,50:0,51:0,53:168,54:0,55:2,56:3,58:0,59:0	docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s128_chain.cu	a	chain	placement
948224	0.948224	0.956416	5648	1024	14336	15360	0	none	256	256	57731072	296960	225512.0	185014272	0.7621743385529157	147429376	17601536	6107136	0.02515861231101512	23552	27648	30720	256	12416	2149788	0.99425771111329	948224	0.948224	68	0.008565310492505446	948224	777216	64512	2048	99328	5120	948224	0.948224	0.008565310492505446	225512.0	0.225512	296960	0.29696	697344	0.697344	733184	0.733184	1024	2446	134647	1605	0.13464765100671142	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s128_p3	128	3	5	critical_path	60	11920	7852	l2_forward_last_timed_sample	unset	unset	1.138656	948224	0.948224	0.956416	5648	1024	14336	15360	0	none	256	256	57731072	296960	225512.0	185014272	0.7621743385529157	147429376	17601536	132736000	0.5468117238120951	522240	537600	547840	256	4144	1093052	0.9962230996102793	320512	0.320512	49	0.6648822269807281	948224	314368	599040	1024	67584	-33792	400384	0.400384	0.5813704496788009	225512.0	0.225512	296960	0.29696	91136	0.091136	95232	0.095232	1024	2446	134647	1605	0.13464765100671142	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s128_p3	128	3	5	critical_path	60	11920	7852	l2_forward_last_timed_sample	unset	unset	1.138656	available	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	1be74406debdc487b29ad0bdac4a0757d96a683135cac16caf1c9332a8c71cd2	1	697344	0.697344	40	697344	798720	0:0,2:0,5:1,6:1,8:109,9:0,10:0,11:0,13:0,14:2,15:0,17:0,20:0,21:0,23:121,24:2,25:0,26:4,28:0,29:2,30:0,32:0,35:0,36:0,38:43,39:0,40:0,41:4,43:0,44:0,45:0,47:1,50:0,51:0,53:119,54:0,55:0,56:0,58:0,59:0	docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	a	rotate	placement
588800	0.5888	0.596992	444	1024	1024	2048	0	none	228	256	4027392	485376	17664.0	130219008	0.97	57584640	694272	0	0.0	0	0	0	0	312	3796	0.9240506329113924	588800	0.5888	40	0.013722126929674061	588800	483328	36864	3072	60416	5120	588800	0.5888	0.013722126929674061	15732.0	0.015732	485376	0.485376	488448	0.488448	524288	0.524288	1024	4876	105856	21	0.041015625	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s4_p3	4	3	0	critical_path	60	512	412	l2_forward_last_timed_sample	unset	unset	0.809984	588800	0.5888	0.596992	444	1024	1024	2048	0	none	228	256	4027392	485376	17664.0	130219008	0.97	57584640	694272	12096512	0.0901067887109077	0	323584	471040	52	96	3796	0.9753340184994861	524288	0.524288	40	0.12178387650085762	587776	488448	35840	1024	57344	5120	592896	0.592896	0.0068610634648370306	15732.0	0.015732	485376	0.485376	122880	0.12288	132096	0.132096	1024	4876	105856	21	0.041015625	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s4_p3	4	3	0	critical_path	60	512	412	l2_forward_last_timed_sample	unset	unset	0.809984	available	docs/experiments/PLACE_EFT2/raw/plan/mha4_s4_chain.cu	865bb3e7e9095141a7530b02ecba54d76089d057033e2adea88e7b4d41e20ca5	1	488448	0.488448	40	488448	488448	0:0,2:1,5:0,6:0,8:0,9:1,10:0,11:0,13:0,14:0,15:0,17:3,20:0,21:0,23:0,24:0,25:0,26:0,28:0,29:0,30:0,32:0,35:0,36:0,38:0,39:0,40:0,41:1,43:0,44:1,45:0,47:0,50:0,51:0,53:0,54:0,55:0,56:0,58:0,59:0	docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s4_chain.cu	a	chain	placement
572416	0.572416	0.57856	508	1024	1024	1024	0	none	256	256	4062208	84992	15868.0	142476288	0.9722789020572451	99068928	612352	0	0.0	0	0	0	0	0	4108	1.0	572416	0.572416	40	0.010619469026548548	572416	483328	36864	0	52224	0	572416	0.572416	0.010619469026548548	15868.0	0.015868	84992	0.084992	488448	0.488448	528384	0.528384	1024	4700	107358	0	0.0	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s4_p3	4	3	5	critical_path	60	512	412	l2_forward_last_timed_sample	unset	unset	0.811232	572416	0.572416	0.57856	508	1024	1024	1024	0	none	256	256	4062208	84992	15868.0	142476288	0.9722789020572451	99068928	612352	0	0.0	0	0	0	0	0	4108	1.0	306176	0.306176	21	0.4707964601769911	571392	286720	2606080	0	21504	-2342912	333824	0.333824	0.42300884955752205	15868.0	0.015868	84992	0.084992	244736	0.244736	264192	0.264192	1024	4700	107358	0	0.0	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s4_p3	4	3	5	critical_path	60	512	412	l2_forward_last_timed_sample	unset	unset	0.811232	available	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	1be74406debdc487b29ad0bdac4a0757d96a683135cac16caf1c9332a8c71cd2	1	488448	0.488448	40	488448	488448	0:0,2:0,5:0,6:0,8:0,9:0,10:0,11:1,13:0,14:2,15:0,17:0,20:0,21:0,23:0,24:0,25:0,26:0,28:0,29:2,30:0,32:0,35:0,36:0,38:0,39:0,40:0,41:1,43:0,44:0,45:0,47:0,50:0,51:0,53:0,54:0,55:0,56:2,58:0,59:0	docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	a	rotate	placement
555360	0.55536	0.56272	2454	736	9536	42688	0	none	256	256	30428512	380960	118861.375	111743648	0.7859741879141457	71265408	5105248	2647328	0.018620579443964277	11840	15008	16160	220	3686	545190	0.993284457691719	555200	0.5552	36	0.013363662212112545	555200	479456	27520	3392	42368	2464	555200	0.5552	0.013363662212112545	118861.375	0.118861375	380960	0.38096	386688	0.386688	399200	0.3992	736	2462	133904	0	0.0	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s128_p3	128	3	0	critical_path	30	4416	3412	l2_forward_last_timed_sample	unset	unset	0.625184	555360	0.55536	0.56272	2454	736	9536	42688	0	none	256	256	30428512	380960	118861.375	111743648	0.7859741879141457	71265408	5105248	52817920	0.37150677038317487	241440	248288	349280	222	1040	252830	0.9959034151337298	419200	0.4192	23	0.25504691498436166	555296	406688	267040	2240	27680	-148352	447360	0.44736	0.20500426499857838	118861.375	0.118861375	380960	0.38096	193792	0.193792	200416	0.200416	736	2462	133904	0	0.0	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s128_p3	128	3	0	critical_path	30	4416	3412	l2_forward_last_timed_sample	unset	unset	0.625184	available	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_chain.cu	716ed88b883b57a8def96e47223bd1b0fbeb9d1420f7019fe1b97f70ad2ba793	1	386688	0.386688	20	386688	489056	0:1,2:1,5:100,6:100,8:5,9:0,10:35,12:3,13:13,14:0,15:35,17:1,20:227,21:227,23:5,24:1,25:82,27:6,28:117,29:1	docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_chain.cu	b	chain	placement
441344	0.441344	0.448512	2752	1024	9216	10240	0	none	256	256	27680768	157696	108128.0	85303296	0.7550029002320185	62981120	4970496	2626560	0.023247172273781903	10240	11264	12288	256	3624	545252	0.9933974158097639	441344	0.441344	28	0.015981735159817368	441344	382976	22528	0	33792	2048	441344	0.441344	0.015981735159817368	108128.0	0.108128	157696	0.157696	349184	0.349184	366592	0.366592	1024	2515	134076	387	0.08763586956521739	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s128_p3	128	3	5	critical_path	30	4416	3412	l2_forward_last_timed_sample	unset	unset	0.557056	441344	0.441344	0.448512	2752	1024	9216	10240	0	none	256	256	27680768	157696	108128.0	85303296	0.7550029002320185	62981120	4970496	48710656	0.43112855278422274	193536	198656	201728	256	1040	282084	0.9963266978426414	204800	0.2048	20	0.54337899543379	441344	200704	262144	0	21504	-43008	227328	0.227328	0.4931506849315069	108128.0	0.108128	157696	0.157696	90112	0.090112	95232	0.095232	1024	2515	134076	387	0.08763586956521739	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s128_p3	128	3	5	critical_path	30	4416	3412	l2_forward_last_timed_sample	unset	unset	0.557056	available	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	017a39b966658b8b5ce3b22cef6528366068806a2503a53110395fe19c5c9b9c	1	349184	0.349184	20	349184	394240	0:0,2:0,5:0,6:0,8:118,9:0,10:0,11:0,13:0,14:0,15:0,17:0,20:1,21:1,23:118,24:0,25:0,26:0,28:0,29:0	docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	b	rotate	placement
