dump	a_a	a_b	measured_ns	floor_ns	split_sum_ns	reconstructed_ns
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s128_chain	1	1	523263.99999999994	349184	516096	516096
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s128_rotate	1	1	461824.0	346112	454656	454656
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s4_chain	1	1	299904.0	242688	291840	291840
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s4_rotate	1	1	293888.0	242688	286720	286720
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s128_chain	1	1	1204224.0	624640	1083392	1083392
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s128_rotate	1	1	956416.0	697344	948224	948224
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s4_chain	1	1	596992.0	488448	588800	588800
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s4_rotate	1	1	578560.0	488448	572416	572416
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s128_chain	1	1	562720.0	386688	555200	555200
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s128_rotate	1	1	448512.0	349184	441344	441344
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s4_chain	1	1	288544.0	244736	280576	280576
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s4_rotate	1	1	288768.0	242688	282624	282624
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s128_chain	1	1	1154048.0	691200	1149952	1149952
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s128_rotate	1	1	914400.0	695296	909312	909312
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s4_chain	1	1	567584.0	493568	566272	566272
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s4_rotate	1	1	571392.0	491520	567296	567296
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s128_chain	1	1	529408.0	361472	521216	521216
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s128_rotate	1	1	470016.0	351232	462848	462848
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s4_chain	1	1	302080.0	253952	295936	295936
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s4_rotate	1	1	294912.0	250880	289792	289792
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s128_chain	1	1	1209344.0	716800	1204224	1204224
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s128_rotate	1	1	980992.0	710656	972800	972800
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s4_chain	1	1	600064.0	509952	593920	593920
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s4_rotate	1	1	594880.0	507904	586752	586752
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s128_chain	1	1	539648.0	344064	526336	526336
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s128_rotate	1	1	473312.0	342016	466944	466944
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s4_chain	1	1	309248.0	243712	302080	302080
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s4_rotate	1	1	293760.0	244736	286720	286720
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s128_chain	1	1	1239040.0	688128	1232896	1232896
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s128_rotate	1	1	1002496.0	708608	993280	993280
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s4_chain	1	1	609504.0	490496	604160	604160
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s4_rotate	1	1	586752.0	493568	579584	579584
docs/experiments/WINDOW/raw/final/trace_w1_gqa2_s128	1	1	592896.0	500736	585728	585728
docs/experiments/WINDOW/raw/final/trace_w1_gqa2_s4	1	1	428032.0	345088	419840	419840
docs/experiments/WINDOW/raw/final/trace_w1_mha4_s128	1	1	1277952.0	1075200	1269760	1269760
docs/experiments/WINDOW/raw/final/trace_w1_mha4_s4	1	1	849920.0	699392	843776	843776
docs/experiments/WINDOW/raw/final/trace_w2_gqa2_s128	1	1	646144.0	532480	638976	638976
docs/experiments/WINDOW/raw/final/trace_w2_gqa2_s4	1	1	470016.0	371712	461824	461824
docs/experiments/WINDOW/raw/final/trace_w2_mha4_s128	1	1	1324032.0	1069056	1313792	1313792
docs/experiments/WINDOW/raw/final/trace_w2_mha4_s4	1	1	934912.0	743424	926720	926720
docs/experiments/WINDOW/raw/final/trace_w4_gqa2_s128	1	1	647296.0	530432	640000	640000
docs/experiments/WINDOW/raw/final/trace_w4_gqa2_s4	1	1	471904.0	368640	463872	463872
docs/experiments/WINDOW/raw/final/trace_w4_mha4_s128	1	1	1325056.0	1076224	1317888	1317888
docs/experiments/WINDOW/raw/final/trace_w4_mha4_s4	1	1	939104.0	741376	931840	931840
