model	seq	v2	n	l1	l2	gap	wait	notify	barrier	loop	closure_us
gqa2	4	0	25	0.405504	0.446368	0.040960	0.023552	0.065344	0.038144	-0.009024	0.000000
gqa2	4	1	25	0.404576	0.431104	0.026848	0.027616	0.045984	0.037984	-0.008992	0.000000
gqa2	128	0	25	0.566208	0.615168	0.048672	0.022592	0.070560	0.039328	-0.004352	0.000000
gqa2	128	1	25	0.565408	0.599776	0.033792	0.030848	0.046944	0.039840	-0.004160	0.000000
mha4	4	0	25	0.731040	0.806912	0.075584	0.040064	0.114688	0.070656	-0.007360	0.000000
mha4	4	1	25	0.731136	0.783360	0.052224	0.052096	0.080224	0.070432	-0.009216	0.000000
mha4	128	0	25	1.081344	1.202176	0.116640	0.038016	0.151552	0.072768	-0.004416	0.000000
mha4	128	1	25	1.083552	1.172480	0.085920	0.058400	0.099808	0.070656	-0.004416	0.000000

model	seq	n	ratio_on_over_off	ci95_low	ci95_high	delta_ms	p
gqa2	4	25	0.965596	0.963387	0.969905	-0.015360	1.293e-05
gqa2	128	25	0.974938	0.973631	0.976667	-0.015424	1.302e-05
mha4	4	25	0.970885	0.969620	0.972463	-0.023488	2.274e-04
mha4	128	25	0.973170	0.972380	0.974087	-0.031392	2.529e-04
