candidate	model	seq	dump	floor_ms	measured_A_ms	target_ms
a	gqa2	128	trace_a_gqa2_s128_chain	0.342016	0.461824	0.401920
a	gqa2	128	trace_a_gqa2_s128_rotate	0.154624	0.461824	0.308224
a	gqa2	4	trace_a_gqa2_s4_chain	0.241664	0.293888	0.267776
a	gqa2	4	trace_a_gqa2_s4_rotate	0.242688	0.293888	0.268288
a	mha4	128	trace_a_mha4_s128_chain	0.603136	0.956416	0.779776
a	mha4	128	trace_a_mha4_s128_rotate	0.296960	0.956416	0.626688
a	mha4	4	trace_a_mha4_s4_chain	0.485376	0.578560	0.531968
a	mha4	4	trace_a_mha4_s4_rotate	0.244736	0.578560	0.411648
b	gqa2	128	trace_b_gqa2_s128_chain	0.380960	0.461824	0.421392
b	gqa2	128	trace_b_gqa2_s128_rotate	0.157696	0.461824	0.309760
b	gqa2	4	trace_b_gqa2_s4_chain	0.241664	0.293888	0.267776
b	gqa2	4	trace_b_gqa2_s4_rotate	0.242688	0.293888	0.268288
b	mha4	128	trace_b_mha4_s128_chain	0.667648	0.956416	0.812032
b	mha4	128	trace_b_mha4_s128_rotate	0.304128	0.956416	0.630272
b	mha4	4	trace_b_mha4_s4_chain	0.487424	0.578560	0.532992
b	mha4	4	trace_b_mha4_s4_rotate	0.245760	0.578560	0.412160
d	gqa2	128	trace_d_gqa2_s128_chain	0.349184	0.461824	0.405504
d	gqa2	128	trace_d_gqa2_s128_rotate	0.158720	0.461824	0.310272
d	gqa2	4	trace_d_gqa2_s4_chain	0.253952	0.293888	0.273920
d	gqa2	4	trace_d_gqa2_s4_rotate	0.250880	0.293888	0.272384
d	mha4	128	trace_d_mha4_s128_chain	0.685056	0.956416	0.820736
d	mha4	128	trace_d_mha4_s128_rotate	0.307200	0.956416	0.631808
d	mha4	4	trace_d_mha4_s4_chain	0.505856	0.578560	0.542208
d	mha4	4	trace_d_mha4_s4_rotate	0.253952	0.578560	0.416256
w	gqa2	128	trace_w_gqa2_s128_chain	0.338944	0.461824	0.400384
w	gqa2	128	trace_w_gqa2_s128_rotate	0.153600	0.461824	0.307712
w	gqa2	4	trace_w_gqa2_s4_chain	0.242688	0.293888	0.268288
w	gqa2	4	trace_w_gqa2_s4_rotate	0.244736	0.293888	0.269312
w	mha4	128	trace_w_mha4_s128_chain	0.665600	0.956416	0.811008
w	mha4	128	trace_w_mha4_s128_rotate	0.297984	0.956416	0.627200
w	mha4	4	trace_w_mha4_s4_chain	0.486400	0.578560	0.532480
w	mha4	4	trace_w_mha4_s4_rotate	0.247808	0.578560	0.413184
