candidate	model	seq	configuration	floor_ms	target_ms	l2_ms	delta_target_ms	evidence
legacy_grid_stride	gqa2	4	baseline	0.366592000	0.410048000	0.422912	0.012863999999999987	docs/experiments/SYNC_V3/ablation/baseline/paired/gqa2_s4_p0/full
balanced	gqa2	4	baseline	0.277504000	0.462848000	0.584896	0.12204799999999999	docs/experiments/SYNC_V3/target_positions/baseline/paired/gqa2_s4_balanced
rotate	gqa2	4	c1	0.242688000	0.267264000	0.283648	0.01638400000000001	docs/experiments/SYNC_V3/ablation/c1/paired/gqa2_s4_p5/full
eft	gqa2	4	baseline	0.246784000	0.273008000	0.279552	0.00654400000000005	docs/experiments/SYNC_V3/target_positions/baseline/paired/gqa2_s4_eft
wavefront	gqa2	4	baseline	0.242688000	0.271872000	0.2816	0.009728000000000014	docs/experiments/SYNC_V3/target_positions/baseline/paired/gqa2_s4_wavefront
chain	gqa2	4	baseline	0.243712000	0.271872000	0.2792	0.007328000000000001	docs/experiments/SYNC_V3/target_positions/baseline/paired/gqa2_s4_chain
legacy_grid_stride	gqa2	128	baseline	0.531456000	0.578048000	0.596896	0.018847999999999976	docs/experiments/SYNC_V3/ablation/baseline/paired/gqa2_s128_p0/full
balanced	gqa2	128	baseline	0.335872000	0.694272000	0.90624	0.21196800000000005	docs/experiments/SYNC_V3/target_positions/baseline/paired/gqa2_s128_balanced
rotate	gqa2	128	baseline	0.349184000	0.406496000	0.444416	0.037919999999999954	docs/experiments/SYNC_V3/ablation/baseline/paired/gqa2_s128_p5/full
eft	gqa2	128	baseline	0.384000000	0.425472000	0.439264	0.013791999999999971	docs/experiments/SYNC_V3/target_positions/baseline/paired/gqa2_s128_eft
wavefront	gqa2	128	baseline	0.381952000	0.424352000	0.439296	0.014944000000000013	docs/experiments/SYNC_V3/target_positions/baseline/paired/gqa2_s128_wavefront
chain	gqa2	128	baseline	0.349184000	0.438784000	0.49344	0.05465599999999998	docs/experiments/SYNC_V3/target_positions/baseline/paired/gqa2_s128_chain
legacy_grid_stride	mha4	4	baseline	0.745472000	0.823216000	0.8448	0.021584000000000048	docs/experiments/SYNC_V3/ablation/baseline/paired/mha4_s4_p0/full
balanced	mha4	4	baseline	0.491520000	0.864256000	1.014816	0.15055999999999992	docs/experiments/SYNC_V3/target_positions/baseline/paired/mha4_s4_balanced
rotate	mha4	4	c2	0.488448000	0.534528000	0.561088	0.026560000000000028	docs/experiments/SYNC_V3/ablation/c2/paired/mha4_s4_p5/full
eft	mha4	4	baseline	0.490496000	0.543232000	0.509888	-0.03334400000000004	docs/experiments/SYNC_V3/target_positions/baseline/paired/mha4_s4_eft
wavefront	mha4	4	baseline	0.492544000	0.545344000	0.512832	-0.032512000000000096	docs/experiments/SYNC_V3/target_positions/baseline/paired/mha4_s4_wavefront
chain	mha4	4	baseline	0.495616000	0.545312000	0.507968	-0.037344000000000044	docs/experiments/SYNC_V3/target_positions/baseline/paired/mha4_s4_chain
legacy_grid_stride	mha4	128	baseline	1.074176000	1.175552000	1.211392	0.035840000000000094	docs/experiments/SYNC_V3/ablation/baseline/paired/mha4_s128_p0/full
balanced	mha4	128	baseline	0.885760000	2.498512000	3.286016	0.7875040000000002	docs/experiments/SYNC_V3/target_positions/baseline/paired/mha4_s128_balanced
rotate	mha4	128	baseline	0.626688000	0.746496000	0.8704	0.1239039999999999	docs/experiments/SYNC_V3/ablation/baseline/paired/mha4_s128_p5/full
eft	mha4	128	baseline	0.720896000	0.806400000	0.836576	0.03017599999999998	docs/experiments/SYNC_V3/target_positions/baseline/paired/mha4_s128_eft
wavefront	mha4	128	baseline	0.731136000	0.845824000	0.820224	-0.025600000000000067	docs/experiments/SYNC_V3/target_positions/baseline/paired/mha4_s128_wavefront
chain	mha4	128	baseline	0.648192000	0.888832000	1.033216	0.14438399999999996	docs/experiments/SYNC_V3/target_positions/baseline/paired/mha4_s128_chain
