poll_mode	backoff_ns	consumers	rows	per_row	rounds	participants	hop_mean_ns	hop_se_ns	hop_p50_ns	hop_p90_ns	hop_max_ns	last_mean_ns	last_p90_ns	last_max_ns	inversions	hop_trim_mean_ns	hop_trim_se_ns	last_trim_mean_ns
rmw	64	1	1	1	4096	2	407.1	2.01	512.0	512.0	768.0	407.1	512.0	768.0	0	406.8	2.01	406.8
rmw	64	2	1	2	4096	3	435.3	1.42	512.0	512.0	768.0	471.5	512.0	768.0	0	435.0	1.42	471.2
rmw	64	4	1	4	4096	5	443.8	0.89	512.0	512.0	768.0	463.2	512.0	768.0	0	443.5	0.89	462.9
rmw	64	8	1	8	4096	9	466.0	0.71	512.0	512.0	768.0	532.0	768.0	768.0	0	465.7	0.71	531.8
rmw	64	16	1	16	4096	17	454.9	0.45	512.0	512.0	768.0	495.8	512.0	768.0	0	454.6	0.45	495.5
rmw	64	32	1	32	4096	33	461.4	0.35	512.0	512.0	768.0	537.0	768.0	768.0	0	461.1	0.35	536.8
rmw	64	64	1	64	4096	65	443.4	0.27	512.0	512.0	768.0	532.9	768.0	768.0	0	443.0	0.27	532.6
rmw	64	128	1	128	4096	129	442.6	0.19	512.0	512.0	768.0	547.5	768.0	768.0	0	442.2	0.19	547.3
rmw	64	256	1	256	4096	257	470.7	0.13	512.0	512.0	768.0	585.2	768.0	768.0	0	470.4	0.13	585.1
rmw	64	4	4	1	4096	8	469.7	1.03	512.0	512.0	768.0	469.7	512.0	768.0	0	469.4	1.03	469.4
rmw	64	8	4	2	4096	12	470.5	0.74	512.0	512.0	768.0	485.1	512.0	768.0	0	470.2	0.73	484.8
rmw	64	16	4	4	4096	20	472.8	0.52	512.0	512.0	768.0	515.6	768.0	768.0	0	472.5	0.52	515.3
rmw	64	32	4	8	4096	36	461.6	0.37	512.0	512.0	768.0	522.8	768.0	768.0	0	461.3	0.37	522.5
rmw	64	64	4	16	4096	68	445.5	0.26	512.0	512.0	768.0	523.1	768.0	768.0	0	445.2	0.26	522.9
rmw	64	128	4	32	4096	132	445.5	0.19	512.0	512.0	768.0	529.6	768.0	768.0	0	445.2	0.19	529.3
rmw	64	256	4	64	4096	260	455.7	0.13	512.0	512.0	768.0	555.3	768.0	768.0	0	455.4	0.13	555.1
rmw	64	16	16	1	4096	32	470.8	0.52	512.0	512.0	768.0	470.8	512.0	768.0	0	470.5	0.52	470.5
rmw	64	32	16	2	4096	48	459.2	0.37	512.0	512.0	768.0	494.3	512.0	768.0	0	458.9	0.37	494.1
rmw	64	64	16	4	4096	80	446.6	0.27	512.0	512.0	768.0	491.3	512.0	768.0	0	446.3	0.27	491.1
rmw	64	128	16	8	4096	144	440.7	0.19	512.0	512.0	768.0	504.1	512.0	768.0	0	440.4	0.19	503.8
rmw	64	256	16	16	4096	272	440.9	0.13	512.0	512.0	768.0	523.4	768.0	768.0	0	440.5	0.13	523.2
rmw	64	64	64	1	4096	128	447.9	0.27	512.0	512.0	768.0	447.9	512.0	768.0	0	447.6	0.27	447.6
rmw	64	128	64	2	4096	192	453.9	0.19	512.0	512.0	768.0	477.8	512.0	768.0	0	453.6	0.19	477.5
rmw	64	256	64	4	4096	320	454.5	0.13	512.0	512.0	768.0	507.9	768.0	768.0	0	454.2	0.13	507.6
rmw	0	1	1	1	4096	2	406.9	1.97	512.0	512.0	512.0	406.9	512.0	512.0	0	406.8	1.97	406.8
rmw	0	2	1	2	4096	3	403.0	1.40	512.0	512.0	512.0	427.2	512.0	512.0	0	402.9	1.40	427.1
rmw	0	4	1	4	4096	5	407.0	0.98	512.0	512.0	512.0	445.3	512.0	512.0	0	406.9	0.98	445.2
rmw	0	8	1	8	4096	9	422.4	0.67	512.0	512.0	512.0	474.9	512.0	512.0	0	422.4	0.67	474.8
rmw	0	16	1	16	4096	17	410.8	0.49	512.0	512.0	512.0	470.5	512.0	512.0	0	410.7	0.49	470.5
rmw	0	32	1	32	4096	33	415.8	0.34	512.0	512.0	768.0	486.3	512.0	768.0	0	415.7	0.34	486.2
rmw	0	64	1	64	4096	65	406.0	0.25	512.0	512.0	512.0	481.6	512.0	512.0	0	405.9	0.25	481.6
rmw	0	128	1	128	4096	129	403.9	0.17	512.0	512.0	512.0	482.2	512.0	512.0	0	403.8	0.17	482.2
rmw	0	256	1	256	4096	257	405.0	0.12	512.0	512.0	512.0	488.1	512.0	512.0	0	404.9	0.12	488.1
rmw	0	4	4	1	4096	8	422.3	0.95	512.0	512.0	768.0	422.3	512.0	768.0	0	422.2	0.95	422.2
rmw	0	8	4	2	4096	12	425.1	0.67	512.0	512.0	768.0	450.7	512.0	768.0	0	425.0	0.67	450.6
rmw	0	16	4	4	4096	20	422.9	0.48	512.0	512.0	768.0	464.6	512.0	768.0	0	422.8	0.48	464.4
rmw	0	32	4	8	4096	36	408.3	0.35	512.0	512.0	512.0	466.5	512.0	512.0	0	408.2	0.35	466.5
rmw	0	64	4	16	4096	68	405.3	0.25	512.0	512.0	512.0	471.1	512.0	512.0	0	405.2	0.25	471.0
rmw	0	128	4	32	4096	132	405.3	0.17	512.0	512.0	512.0	477.2	512.0	512.0	0	405.2	0.17	477.2
rmw	0	256	4	64	4096	260	406.0	0.12	512.0	512.0	768.0	485.4	512.0	768.0	0	405.9	0.12	485.3
rmw	0	16	16	1	4096	32	421.8	0.48	512.0	512.0	768.0	421.8	512.0	768.0	0	421.6	0.48	421.6
rmw	0	32	16	2	4096	48	414.6	0.34	512.0	512.0	768.0	439.1	512.0	768.0	0	414.4	0.34	439.0
rmw	0	64	16	4	4096	80	406.9	0.25	512.0	512.0	768.0	451.3	512.0	768.0	0	406.8	0.25	451.2
