stage	logical_stage	combine	task_ns	count
0	0	0	2048	2048
1	1	0	5564	2048
2	2	0	6160	1024
3	3	0	6104	1024
4	4	0	1168	8192
5	5	0	1028	4096
6	6	0	868	4096
7	7	0	948	4096
8	8	0	19118	8192
9	9	0	15060	2048
10	10	0	2048	2048
11	11	0	6592	4096
12	12	0	6352	4096
13	13	0	3072	2048
14	14	0	14832	2048
15	15	0	2048	2048
16	16	0	6480	2048
17	17	0	6616	1024
18	18	0	6672	1024
19	19	0	1150	8192
20	20	0	1024	4096
21	21	0	728	4096
22	22	0	920	4096
23	23	0	19394	8192
24	24	0	14784	2048
25	25	0	2048	2048
26	26	0	6536	4096
27	27	0	6480	4096
28	28	0	3072	2048
29	29	0	14792	2048
