slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kind_name	simt_barriers	seg_setup	seg_wait	seg_compute	seg_epilogue
0	0	0	1	1	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1317	0	2816	1867	1737	130	6000	rmsnorm	8	1317	89	2727	1867
1	2	0	0	1	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2129	995	9593	1346	1216	130	14063	gemm	0	2129	2469	8119	1346
2	5	0	2	1	0	0	0	1	0	0	0	1024	0	0	0	1024	1238	0	1524	159	30	129	2921	rope	0	1238	0	1524	159
3	6	0	3	1	0	0	0	1	0	1024	0	0	0	0	0	1024	1115	0	930	159	30	129	2204	kvappend	0	1115	0	930	159
4	8	0	5	1	0	0	0	1	0	1024	0	3072	0	0	0	4096	1633	0	8456	159	30	129	10248	attention	2	1633	52	8404	159
5	9	0	0	1	32	16	64	1	6144	1024	0	4096	1024	1024	0	6144	2153	1104	9461	2283	2153	130	15001	gemm	0	2153	2940	7625	2283
6	10	0	1	0	0	0	0	1	0	0	0	2048	0	0	0	2048	1243	0	2907	1847	1716	131	5997	rmsnorm	8	1243	89	2818	1847
7	11	0	0	1	32	16	64	1	6144	1024	0	4096	1024	0	1024	6144	2174	1105	9317	1104	974	130	13700	gemm	0	2174	2823	7599	1104
8	13	0	4	1	0	0	0	1	0	1024	0	2048	0	0	0	3072	1274	0	6411	159	30	129	7844	elementwise	0	1274	0	6411	159
9	14	0	0	1	32	16	64	1	6144	1024	0	7168	1024	1024	0	9216	2164	1102	18289	2352	2223	129	23907	gemm	0	2164	4402	14989	2352
10	15	0	1	1	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1248	0	2910	1842	1712	130	6000	rmsnorm	8	1248	89	2821	1842
11	17	0	0	1	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2161	1113	9392	1782	1520	262	14448	gemm	0	2161	2422	8083	1782
12	20	0	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1231	0	1526	159	30	129	2916	rope	0	1231	0	1526	159
13	21	0	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1141	0	921	159	30	129	2221	kvappend	0	1141	0	921	159
14	23	0	5	1	0	0	0	1	0	1024	0	3072	0	0	0	4096	1630	0	8370	159	30	129	10159	attention	2	1630	52	8318	159
15	24	0	0	1	32	16	64	1	6144	1024	0	4096	1024	0	1024	6144	2179	1108	9320	1557	1427	130	14164	gemm	0	2179	2746	7682	1557
16	25	0	1	1	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1290	0	2901	1854	1723	131	6045	rmsnorm	8	1290	89	2812	1854
17	26	0	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2159	1105	9532	1504	1227	277	14300	gemm	0	2159	3360	7277	1504
18	28	0	4	1	0	0	0	1	0	0	0	3072	0	0	0	3072	1251	0	6361	160	30	130	7772	elementwise	0	1251	0	6361	160
19	29	0	0	1	32	16	64	1	6144	0	1024	7168	1024	1024	0	9216	2167	1097	18285	2088	1959	129	23637	gemm	0	2167	4495	14887	2088
