2.190336	2.182912	0.996611	2.214912	1.014659
2.067456	2.063456	0.998065	2.104320	1.019804
2.063360	2.064384	1.000496	2.105632	1.019981
2.176064	2.181984	1.002720	2.216768	1.015942
2.176736	2.183328	1.003028	2.217984	1.015873
2.172608	2.182144	1.004389	2.215008	1.015060
2.178048	2.183296	1.002410	2.217984	1.015888
2.180096	2.184192	1.001879	2.216960	1.015002
2.172928	2.195616	1.010441	2.214912	1.008788
2.174784	2.182144	1.003384	2.215936	1.015486
2.173824	2.183296	1.004357	2.216928	1.015404
2.186240	2.185408	0.999619	2.215936	1.013969
2.184192	2.183680	0.999766	2.217952	1.015695
2.193408	2.185248	0.996280	2.216896	1.014483
2.181120	2.183360	1.001027	2.214688	1.014349
2.194368	2.185216	0.995829	2.214912	1.013590
2.184192	2.183968	0.999897	2.217984	1.015575
2.192128	2.187264	0.997781	2.219968	1.014952
2.185216	2.182336	0.998682	2.216960	1.015865
2.180096	2.186976	1.003156	2.216960	1.013710
2.191264	2.403328	1.096777	2.222080	0.924585
2.085888	2.068320	0.991578	2.113536	1.021861
2.078720	2.066400	0.994073	2.106592	1.019450
2.067456	2.064384	0.998514	2.104320	1.019345
2.067456	2.064512	0.998576	2.103296	1.018786
