round	execution_index	model	chunk	seq	hash	status	l05_ms	l1_ms	l2_ms	grid	block	ctas_per_sm	task_smem	reg	occupancy_smem	static_smem	task_refs	waits	resource_json	schedule_json	log_sha256
0	0	gqa2	1	4	4c544373c0add101	PASS	0.396224	0.398560	0.444416	256	128	2	24576	212	24576	0	232	524	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""80"", ""max_span"": ""10"", ""max_worker_span"": ""31"", ""max_worker_task_refs"": ""30"", ""normalization_dummies_lb"": ""320"", ""raw_polls"": ""604"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""6496"", ""task_refs"": ""232"", ""variant_stages"": ""30"", ""wait_bytes"": ""4192"", ""waiting_tasks"": ""204"", ""waits"": ""524"", ""workers"": ""256""}"	024734152b26f0d7dfa9e01cdd48432ed21ae75a64821ef2c21df70a579d52e1
0	1	gqa2	2	4	4c544373c0add101	PASS	0.410624	0.412672	0.464896	256	128	2	24576	212	24576	0	392	806	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""80"", ""max_span"": ""13"", ""max_worker_span"": ""31"", ""max_worker_task_refs"": ""36"", ""normalization_dummies_lb"": ""444"", ""raw_polls"": ""886"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""10976"", ""task_refs"": ""392"", ""variant_stages"": ""30"", ""wait_bytes"": ""6448"", ""waiting_tasks"": ""362"", ""waits"": ""806"", ""workers"": ""256""}"	a39c86ced427cc4534405ec1a47773c0b261c7de0b05aee44fbf69c80d49bac8
0	2	gqa2	4	4	4c544373c0add101	PASS	0.410624	0.413568	0.466816	256	128	2	24576	212	24576	0	520	1190	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""80"", ""max_span"": ""13"", ""max_worker_span"": ""48"", ""max_worker_task_refs"": ""36"", ""normalization_dummies_lb"": ""700"", ""raw_polls"": ""1270"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""14560"", ""task_refs"": ""520"", ""variant_stages"": ""30"", ""wait_bytes"": ""9520"", ""waiting_tasks"": ""490"", ""waits"": ""1190"", ""workers"": ""256""}"	68e9390eba25ec476e5bdcb7ab6cdb82e73ae4c5d4f8fb2912ed5a4dad49e023
0	3	gqa2	8	4	4c544373c0add101	PASS	0.410624	0.414912	0.466944	256	128	2	24576	212	24576	0	776	1958	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""80"", ""max_span"": ""13"", ""max_worker_span"": ""112"", ""max_worker_task_refs"": ""36"", ""normalization_dummies_lb"": ""1212"", ""raw_polls"": ""2038"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""21728"", ""task_refs"": ""776"", ""variant_stages"": ""30"", ""wait_bytes"": ""15664"", ""waiting_tasks"": ""746"", ""waits"": ""1958"", ""workers"": ""256""}"	dde12e6c4052c0f4644dc5917a53a389dd38ee693536d68458507657efe6722c
0	4	mha4	1	4	9f91d43bd2f0b35f	PASS	0.790368	0.795648	0.885792	256	128	2	24576	212	24576	0	560	1140	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""208"", ""max_span"": ""10"", ""max_worker_span"": ""31"", ""max_worker_task_refs"": ""60"", ""normalization_dummies_lb"": ""648"", ""raw_polls"": ""1348"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""15680"", ""task_refs"": ""560"", ""variant_stages"": ""60"", ""wait_bytes"": ""9120"", ""waiting_tasks"": ""492"", ""waits"": ""1140"", ""workers"": ""256""}"	210edf2dda34e50b8e3d81d9c07eac51b7b1f8a24a594944efb3b3df07c22d99
0	5	mha4	2	4	9f91d43bd2f0b35f	PASS	0.821248	0.826560	0.925696	256	128	2	24576	212	24576	0	880	1704	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""208"", ""max_span"": ""13"", ""max_worker_span"": ""31"", ""max_worker_task_refs"": ""72"", ""normalization_dummies_lb"": ""896"", ""raw_polls"": ""1912"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""24640"", ""task_refs"": ""880"", ""variant_stages"": ""60"", ""wait_bytes"": ""13632"", ""waiting_tasks"": ""808"", ""waits"": ""1704"", ""workers"": ""256""}"	4536600194b2689caaac92a7ea00c25754dd1dff5056f85b4e605277a289622a
0	6	mha4	4	4	9f91d43bd2f0b35f	PASS	0.819200	0.829312	0.926720	256	128	2	24576	212	24576	0	1136	2472	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""208"", ""max_span"": ""13"", ""max_worker_span"": ""48"", ""max_worker_task_refs"": ""72"", ""normalization_dummies_lb"": ""1408"", ""raw_polls"": ""2680"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""31808"", ""task_refs"": ""1136"", ""variant_stages"": ""60"", ""wait_bytes"": ""19776"", ""waiting_tasks"": ""1064"", ""waits"": ""2472"", ""workers"": ""256""}"	84b873163b875b1946ff191ee04853178f5a74a176674a8a512ff734ff7f5a7b
0	7	mha4	8	4	9f91d43bd2f0b35f	PASS	0.819200	0.830464	0.927488	256	128	2	24576	212	24576	0	1648	4008	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""208"", ""max_span"": ""13"", ""max_worker_span"": ""112"", ""max_worker_task_refs"": ""72"", ""normalization_dummies_lb"": ""2432"", ""raw_polls"": ""4216"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""46144"", ""task_refs"": ""1648"", ""variant_stages"": ""60"", ""wait_bytes"": ""32064"", ""waiting_tasks"": ""1576"", ""waits"": ""4008"", ""workers"": ""256""}"	dfd0f071b2ba02883a4683dd37fa2206e398e35d13db2fdefa47c2162c5ab7d1
0	8	gqa2	1	128	03f67925c71ded7e	PASS	0.558080	0.566272	0.621568	256	128	2	24576	212	24576	0	5440	13012	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""7656"", ""max_span"": ""10"", ""max_worker_span"": ""255"", ""max_worker_task_refs"": ""38"", ""normalization_dummies_lb"": ""9772"", ""raw_polls"": ""20668"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""152320"", ""task_refs"": ""5440"", ""variant_stages"": ""30"", ""wait_bytes"": ""104096"", ""waiting_tasks"": ""3240"", ""waits"": ""13012"", ""workers"": ""256""}"	17ff2f2eabbd3111f0513075134b6bb9d2046e6f07ae8ff9e4dd7067dbef0807
0	9	gqa2	2	128	03f67925c71ded7e	PASS	0.628736	0.640000	0.732160	256	128	2	24576	212	24576	0	10560	19132	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""10728"", ""max_span"": ""13"", ""max_worker_span"": ""255"", ""max_worker_task_refs"": ""58"", ""normalization_dummies_lb"": ""11804"", ""raw_polls"": ""29860"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""295680"", ""task_refs"": ""10560"", ""variant_stages"": ""30"", ""wait_bytes"": ""153056"", ""waiting_tasks"": ""7328"", ""waits"": ""19132"", ""workers"": ""256""}"	eefd4efca414ad66b41724f77cce81d7631f9feb3222a5b67753258e4d7a35f4
