model	variant	arm	seq	past	round	pass	l1_ms	l2_ms
gqa2	base	full	4	3	0	1	0.408768	0.444416
gqa2	base	nowait	4	3	0	0	0.410624	0.416768
gqa2	base	neither	4	3	0	0	0.409600	0.356352
gqa2	base	l1nosync	4	3	0	0	0.366592	0.444416
gqa2	load	full	4	3	0	1	0.408576	0.442368
gqa2	load	nowait	4	3	0	0	0.411808	0.417792
gqa2	load	neither	4	3	0	0	0.412672	0.368640
gqa2	load	l1nosync	4	3	0	0	0.367616	0.444160
gqa2	lines	full	4	3	0	1	0.408576	0.442368
gqa2	lines	nowait	4	3	0	0	0.409600	0.418816
gqa2	lines	neither	4	3	0	0	0.409760	0.358336
gqa2	lines	l1nosync	4	3	0	0	0.369664	0.444416
gqa2	load_lines	full	4	3	0	1	0.414720	0.445440
gqa2	load_lines	nowait	4	3	0	0	0.409376	0.417792
gqa2	load_lines	neither	4	3	0	0	0.410624	0.355328
gqa2	load_lines	l1nosync	4	3	0	0	0.365568	0.439296
gqa2	base	nowait	4	3	1	0	0.411648	0.416608
gqa2	base	neither	4	3	1	0	0.408800	0.356352
gqa2	base	l1nosync	4	3	1	0	0.366496	0.442272
gqa2	load	full	4	3	1	1	0.412672	0.443392
gqa2	load	nowait	4	3	1	0	0.413888	0.417824
gqa2	load	neither	4	3	1	0	0.407552	0.356192
gqa2	load	l1nosync	4	3	1	0	0.367392	0.443392
gqa2	lines	full	4	3	1	1	0.409568	0.446464
gqa2	lines	nowait	4	3	1	0	0.408736	0.414720
gqa2	lines	neither	4	3	1	0	0.409600	0.358208
gqa2	lines	l1nosync	4	3	1	0	0.367616	0.447488
gqa2	load_lines	full	4	3	1	1	0.410752	0.445440
gqa2	load_lines	nowait	4	3	1	0	0.411552	0.418816
gqa2	load_lines	neither	4	3	1	0	0.407552	0.357376
gqa2	load_lines	l1nosync	4	3	1	0	0.367648	0.443392
gqa2	base	full	4	3	1	1	0.424960	0.445440
gqa2	base	neither	4	3	2	0	0.410624	0.357376
gqa2	base	l1nosync	4	3	2	0	0.367552	0.445632
gqa2	load	full	4	3	2	1	0.409728	0.446464
gqa2	load	nowait	4	3	2	0	0.411648	0.415744
gqa2	load	neither	4	3	2	0	0.410528	0.358400
gqa2	load	l1nosync	4	3	2	0	0.365568	0.443392
gqa2	lines	full	4	3	2	1	0.410816	0.446272
gqa2	lines	nowait	4	3	2	0	0.410368	0.415744
gqa2	lines	neither	4	3	2	0	0.410624	0.357376
gqa2	lines	l1nosync	4	3	2	0	0.366592	0.445312
gqa2	load_lines	full	4	3	2	1	0.408384	0.444416
gqa2	load_lines	nowait	4	3	2	0	0.409824	0.415744
gqa2	load_lines	neither	4	3	2	0	0.409600	0.356128
gqa2	load_lines	l1nosync	4	3	2	0	0.365632	0.440320
gqa2	base	full	4	3	2	1	0.407552	0.445440
gqa2	base	nowait	4	3	2	0	0.409760	0.416704
gqa2	base	l1nosync	4	3	3	0	0.367616	0.446464
gqa2	load	full	4	3	3	1	0.410624	0.448512
gqa2	load	nowait	4	3	3	0	0.411808	0.415616
gqa2	load	neither	4	3	3	0	0.409600	0.356352
gqa2	load	l1nosync	4	3	3	0	0.360224	0.449536
gqa2	lines	full	4	3	3	1	0.410624	0.445440
gqa2	lines	nowait	4	3	3	0	0.412672	0.415744
gqa2	lines	neither	4	3	3	0	0.408576	0.356352
gqa2	lines	l1nosync	4	3	3	0	0.367616	0.446464
gqa2	load_lines	full	4	3	3	1	0.409600	0.444416
gqa2	load_lines	nowait	4	3	3	0	0.410848	0.415744
gqa2	load_lines	neither	4	3	3	0	0.410624	0.357376
gqa2	load_lines	l1nosync	4	3	3	0	0.365568	0.442368
gqa2	base	full	4	3	3	1	0.410592	0.446464
gqa2	base	nowait	4	3	3	0	0.411648	0.416768
gqa2	base	neither	4	3	3	0	0.410368	0.356352
gqa2	load	full	4	3	4	1	0.411648	0.446464
gqa2	load	nowait	4	3	4	0	0.410496	0.414720
gqa2	load	neither	4	3	4	0	0.409600	0.355584
gqa2	load	l1nosync	4	3	4	0	0.367552	0.444416
gqa2	lines	full	4	3	4	1	0.411648	0.443296
gqa2	lines	nowait	4	3	4	0	0.408576	0.414784
gqa2	lines	neither	4	3	4	0	0.410560	0.358112
gqa2	lines	l1nosync	4	3	4	0	0.369664	0.456608
gqa2	load_lines	full	4	3	4	1	0.411904	0.444416
gqa2	load_lines	nowait	4	3	4	0	0.408736	0.416768
gqa2	load_lines	neither	4	3	4	0	0.408800	0.357376
gqa2	load_lines	l1nosync	4	3	4	0	0.365696	0.439296
gqa2	base	full	4	3	4	1	0.408576	0.442368
