cell	arm	control_ratio	control_ci_lo	control_ci_hi	champion_ratio	champion_ci_lo	champion_ci_hi	l2_ms	l2_l1_ratio	predicted_top1_rank	top3_cp_ns	top3_queue_lb_ns	top3_floor_ns	top3_nodes	top3_node_mean_ns	top3_queue_over_cp	top3_dump	champion_cp_ns	champion_queue_lb_ns	champion_floor_ns	champion_nodes	champion_node_mean_ns	champion_queue_over_cp	champion_dump	control_cp_ns	control_queue_lb_ns	control_floor_ns	control_nodes	control_node_mean_ns	control_queue_over_cp	control_dump	measured_floor_ratio
gqa2_s4	top3	0.5057471264367817	0.5019305019305019	0.5059760956175299	1.090909090909091	1.062	1.1074986890403775	0.134144	0.7237569060773481	3	83968	81920.0	83968	28	2998.8571428571427	0.975609756097561	/root/TileMega/docs/experiments/JOINT2/bounded_search/gqa2_s4/trace/top3/dump	91136	86016.0	91136	20	4556.8	0.9438202247191011	/root/TileMega/docs/experiments/JOINT2/bounded_search/gqa2_s4/trace/champion/dump	228352	38912.0	228352	20	11417.6	0.17040358744394618	/root/TileMega/docs/experiments/JOINT2/bounded_search/gqa2_s4/trace/control/dump	1.5975609756097562
gqa2_s128	top3	0.7281868811881188	0.7245657568238214	0.7344913151364764	1.3300339366515836	1.3083700440528636	1.3546078992558672	0.302912	0.964549180327869	1	200704	207872.0	207872.0	28	7168	1.0357142857142858	/root/TileMega/docs/experiments/JOINT2/bounded_search/gqa2_s128/trace/top3/dump	184320	166912.0	184320	20	9216	0.9055555555555556	/root/TileMega/docs/experiments/JOINT2/bounded_search/gqa2_s128/trace/champion/dump	330752	147456.0	330752	20	16537.6	0.4458204334365325	/root/TileMega/docs/experiments/JOINT2/bounded_search/gqa2_s128/trace/control/dump	1.457204433497537
mha4_s4	top3	0.5373152558934897	0.5319420008493599	0.5416161125940306	1.1758417958311065	1.1643241823197163	1.2263260205498472	0.283648	0.7675070028011204	3	163840	160768.0	163840	56	2925.714285714286	0.98125	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump	161792	154624.0	161792	40	4044.8	0.9556962025316456	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/champion/dump	490496	86016.0	490496	40	12262.4	0.17536534446764093	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/control/dump	1.73125
mha4_s128	top3	0.7233009708737864	0.6815068493150684	0.7266775198187995	1.3092981557377048	1.3013100436681222	1.314176	0.612512	0.9639639639639639	2	403456	430080.0	430080.0	56	7204.571428571428	1.0659898477157361	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s128/trace/top3/dump	411648	374784.0	411648	40	10291.2	0.9104477611940298	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s128/trace/champion/dump	696320	301056.0	696320	40	17408	0.4323529411764706	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s128/trace/control/dump	1.4241815476190476
