seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	0	2	1	88	524	565	88
1	3	2	1	88	524	565	88
1	512	2	1	88	524	565	88
4	0	2	1	88	800	1384	88
4	3	2	1	88	800	1384	88
4	512	2	1	88	800	1384	88
128	0	2	1	88	12208	33352	108
128	3	2	1	88	12208	33352	108
128	512	2	1	88	12208	33352	108
512	0	2	1	88	48832	118572	240
512	3	2	1	88	48832	118572	240
512	512	2	1	88	48832	118572	240
2048	0	2	1	88	195328	459012	792
2048	3	2	1	88	195328	459012	792
2048	512	2	1	88	195328	459012	792
