seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	0	4	1	44	354	465	44
1	3	4	1	44	354	465	44
1	512	4	1	44	354	465	44
4	0	4	1	44	456	1038	44
4	3	4	1	44	456	1038	44
4	512	4	1	44	456	1038	44
128	0	4	1	44	4672	24678	48
128	3	4	1	44	4672	24678	48
128	512	4	1	44	4672	24678	48
512	0	4	1	44	18688	97546	96
512	3	4	1	44	18688	97546	96
512	512	4	1	44	18688	97546	96
2048	0	4	1	44	74752	388638	304
2048	3	4	1	44	74752	388638	304
2048	512	4	1	44	74752	388638	304
